,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Additional Time:
30,6598918,Low-Sugar Date Brownies,10 mins,20 mins,,50 mins,16 ,16 brownies,16,131,8g,5g,39mg,87mg,15g,2g,10g,2g,,15mg,1mg,141mg,4.6,22,,20 mins
31,6650469,Apple Brownies,25 mins,35 mins,, 1 hr,12 ,,12,227,12g,5g,36mg,177mg,30g,2g,20g,3g,2mg,23mg,1mg,79mg,4.5,509,,
32,6589730,Classic Ghirardelli Chocolate Brownies,10 mins,30 mins,,50 mins,16 ,16 brownies,16,197,10g,6g,39mg,76mg,27g,1g,20g,2g,,22mg,1mg,36mg,4.8,9,,10 mins
33,6650679,Easy Brownie Mix Cookies,15 mins,10 mins,,25 mins,24 ,2 dozen cookies,24,165,8g,2g,16mg,77mg,23g,1g,4g,2g,0mg,9mg,1mg,83mg,4.2,131,,
34,6603506,Milly's Oatmeal Brownies,20 mins,20 mins,,45 mins,12 ,1 9x13-inch pan,12,447,23g,12g,72mg,371mg,58g,3g,35g,6g,0mg,67mg,2mg,206mg,4.6,330,,5 mins
35,6737089,Coconut Flour Chocolate Brownies,10 mins,40 mins,,55 mins,12 ,,12,162,9g,7g,82mg,129mg,19g,1g,17g,4g,,17mg,1mg,85mg,4.1,100,,5 mins
36,6573317,Chocolate Caramel Brownies,15 mins,30 mins,,45 mins,15 ,15 brownies,15,460,22g,12g,35mg,398mg,64g,0g,48g,6g,0mg,108mg,1mg,223mg,4.7,345,,
37,6737014,Best-Ever Buckeye Brownies!,15 mins,35 mins,, 1 hr 20 mins,36 ,3 dozen,36,233,16g,6g,22mg,113mg,22g,1g,10g,3g,,10mg,1mg,100mg,4.7,89,,30 mins
38,6738622,Nesquik® Brownie in a Mug,5 mins,2 mins,,9 mins,1 ,1 brownie,1,471,28g,4g,,219mg,51g,2g,25g,4g,0mg,17mg,3mg,208mg,3.9,31,,2 mins
39,6579277,Brown Sugar Blondies,15 mins,25 mins,,50 mins,16 ,1 9x13-inch pan,16,260,12g,4g,46mg,194mg,37g,1g,27g,4g,0mg,72mg,1mg,96mg,4.6,34,,10 mins
40,6739412,Red Velvet Cheesecake Swirl Brownies,20 mins,30 mins,, 1 hr 20 mins,12 ,1 8x8-inch pan,12,265,16g,10g,87mg,123mg,28g,1g,21g,4g,,28mg,1mg,78mg,4.6,144,,30 mins
41,6740863,The Best Brownies,15 mins,30 mins,, 1 hr 20 mins,9 ,9 brownies,9,296,16g,10g,68mg,179mg,38g,2g,28g,4g,,20mg,2mg,107mg,4.6,53,,35 mins
42,6650673,Lemon Brownies,15 mins,23 mins,,53 mins,16 ,16 servings,16,154,7g,4g,50mg,69mg,22g,0g,17g,2g,3mg,9mg,1mg,29mg,4.2,86,,15 mins
43,6582971,Vegan Pumpkin Pie Blondies,10 mins,20 mins,,30 mins,36 ,36 blondies,36,61,2g,0g,,94mg,11g,1g,5g,1g,1mg,13mg,1mg,35mg,4.5,55,,
44,6586540,Sugar Free Brownies,20 mins,25 mins,,45 mins,25 ,25 squares,25,74,6g,1g,15mg,70mg,5g,1g,1g,2g,,25mg,0mg,58mg,3.1,95,,
45,6599403,Chewy Brownies,10 mins,30 mins,,40 mins,36 ,36 servings,36,155,9g,1g,21mg,55mg,18g,1g,12g,2g,,16mg,1mg,46mg,4.5,210,,
46,6574245,Peanut Butter Cup Brownies,,,,,6 ,1 1/2 dozen,6,628,32g,7g,33mg,374mg,85g,4g,12g,7g,0mg,43mg,2mg,303mg,4.4,151,,
47,6577607,White Chocolate Blondie Brownies,15 mins,30 mins,,55 mins,24 ,1 9x13-inch pan,24,244,12g,7g,54mg,174mg,31g,0g,23g,3g,,37mg,1mg,35mg,4.3,71,,10 mins
48,6603118,Oreo®-Stuffed Brownies,15 mins,20 mins,,35 mins,12 ,12 servings,12,353,21g,4g,31mg,191mg,40g,2g,4g,3g,0mg,15mg,1mg,124mg,4.7,24,,
49,6575914,Brown Sugar Brownies,,,,,20 ,20 brownies,20,136,7g,3g,22mg,122mg,18g,0g,11g,2g,,30mg,1mg,42mg,4.3,260,,
50,6589945,One Bowl Brownies,10 mins,35 mins,,45 mins,12 ,2 dozen,12,398,24g,11g,77mg,102mg,46g,3g,34g,6g,0mg,31mg,3mg,153mg,4.2,961,,
51,6581205,Snickers Brownies,15 mins,30 mins,, 1 hr 15 mins,12 ,12 servings,12,387,20g,11g,81mg,276mg,50g,2g,39g,5g,0mg,48mg,1mg,175mg,4.8,6,,30 mins
52,6581780,Vanilla Brownies,15 mins,45 mins,, 1 hr,36 ,1 - 10x15 inch pan,36,169,7g,4g,26mg,76mg,26g,1g,20g,2g,,33mg,1mg,60mg,4.3,110,,
53,6599515,Peanut Butter Blondie Brownies,5 mins,35 mins,, 1 hr,24 ,24 servings,24,209,10g,4g,41mg,97mg,26g,1g,19g,5g,,27mg,1mg,126mg,4.5,35,,20 mins
54,6580872,High Altitude Deep Dish Brownies,15 mins,35 mins,,50 mins,9 ,9 brownies,9,459,27g,14g,103mg,284mg,55g,3g,42g,6g,0mg,42mg,2mg,193mg,4.5,113,,
55,6648856,Baileys Irish Cream Brownies,15 mins,20 mins,,55 mins,30 ,30 brownies,30,367,17g,6g,29mg,118mg,50g,1g,21g,2g,0mg,11mg,1mg,88mg,4.6,38,,20 mins
56,6569594,Chocolate Brownie Cake,20 mins,30 mins,, 1 hr 20 mins,16 ,1 9x13-inch baking pan,16,270,12g,3g,6mg,215mg,41g,2g,23g,3g,,40mg,1mg,92mg,3.3,3,,30 mins
57,6596778,Keto Brownies,10 mins,30 mins,,40 mins,12 ,12 brownies,12,222,21g,12g,31mg,114mg,18g,3g,1g,5g,,12mg,1mg,94mg,3.8,63,,
