,id_recipe,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:,Rise Time:,Stand Time:,Cool Time:,Marinate Time:,Rest Time:,Refrigerate Time:,Other Time Time:,Bake Time:,Roast Time:,Soak Time:
50,7109372,45 mins,,, 3 hrs 17 mins,12 ,12 semla buns,12,515,28g,13g,76mg,193mg,58g,3g,,9g,,,,230mg,5.0,2,, 2 hrs 20 mins,,,,,,,12 mins,,
51,7093286,10 mins,30 mins,,40 mins,4 ,,4,598,44g,19g,137mg,1082mg,24g,2g,,26g,,,,566mg,4.8,41,,,,,,,,,,,
52,7106545,10 mins, 5 hrs,, 13 hrs 10 mins,4 ,,4,1582,99g,41g,328mg,3212mg,81g,5g,,87g,,,,1511mg,5.0,1,,,,,,, 8 hrs,,,,
53,7098472,20 mins,35 mins,,55 mins,4 ,,4,381,26g,12g,71mg,1164mg,13g,2g,,25g,,,,468mg,,,,,,,,,,,,,
54,7111023,5 mins,5 mins,, 3 hrs 10 mins,4 ,8 flatbreads,4,177,1g,0g,,487mg,30g,15g,,13g,,,,479mg,4.7,11,,,,,,,,,,, 3 hrs
55,7105151,20 mins,,, 2 hrs 15 mins,10 ,,10,336,21g,12g,106mg,128mg,29g,2g,,9g,,,,270mg,5.0,6,,,, 1 hr 30 mins,,,,,25 mins,,
56,7097350,,,,,8 ,8 breakfast bars,8,264,12g,3g,,247mg,38g,4g,,5g,,,,226mg,4.5,4,,,,,,,,,,,
57,7095787,30 mins,,,50 mins,14 ,14 biscuits,14,188,9g,5g,23mg,411mg,24g,1g,,3g,,,,73mg,5.0,2,,,,,,,,,20 mins,,
58,7094874,15 mins, 2 hrs 15 mins,, 2 hrs 30 mins,6 ,,6,519,23g,7g,103mg,820mg,44g,7g,,34g,,,,1206mg,5.0,4,,,,,,,,,,,
59,7099950,20 mins,20 mins,, 1 hr 20 mins,4 ,,4,80,1g,0g,,927mg,11g,1g,,7g,,,,43mg,5.0,1,,,10 mins,,,,,,,,30 mins
60,7101025,5 mins,25 mins,,30 mins,4 ,,4,384,18g,3g,,1244mg,50g,5g,,9g,,,,960mg,4.8,23,,,,,,,,,,,
