,id_recipe,name,Prep Time:,Cook Time:,Marinate Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
10,6586118,Teriyaki and Pineapple Chicken,15 mins,25 mins,,40 mins,8 ,8,187,6g,1g,35mg,1413mg,18g,2g,11g,16g,62mg,28mg,2mg,384mg,4.4,322,8 servings,
11,6565364,Gluten-Free Teriyaki Sauce,10 mins,,,10 mins,6 ,6,30,,,,665mg,7g,0g,6g,1g,2mg,3mg,0mg,37mg,3.9,10,,
12,6663908,Grilled Teriyaki Chicken Tenders,10 mins,10 mins,, 1 hr 20 mins,4 ,4,169,3g,1g,64mg,1863mg,10g,0g,7g,25g,0mg,26mg,2mg,280mg,4.0,2,4 servings, 1 hr
13,6594434,Kevin's Teriyaki Chicken,10 mins,15 mins,,1 day 25 mins,4 ,4,257,2g,1g,99mg,1917mg,15g,1g,10g,42g,12mg,38mg,2mg,636mg,4.3,92,4 servings,1 day
14,6597406,Instant Pot® Teriyaki Chicken Breast,5 mins,25 mins,,35 mins,4 ,4,259,2g,1g,59mg,2009mg,33g,0g,30g,24g,1mg,45mg,2mg,260mg,4.5,4,4 servings,5 mins
15,6589684,Slow Cooker Teriyaki Pulled Chicken,10 mins, 4 hrs 5 mins,, 4 hrs 15 mins,8 ,8,298,13g,4g,103mg,592mg,11g,0g,9g,32g,0mg,19mg,2mg,301mg,3.0,2,8 servings,
16,6582250,Grilled Teriyaki Beer Chicken,15 mins,20 mins,, 1 hr 35 mins,10 ,10,412,19g,4g,143mg,3524mg,14g,1g,10g,44g,2mg,42mg,4mg,531mg,4.5,23,10 servings, 1 hr
17,6589248,Teriyaki Chicken Thigh Skewers,15 mins,25 mins,, 2 hrs 40 mins,4 ,4,352,12g,3g,71mg,1073mg,43g,0g,37g,20g,3mg,23mg,2mg,263mg,4.3,9,4 servings, 2 hrs
18,6584952,Chicken Teriyaki Stir-Fry Sauce,10 mins,,,10 mins,4 ,4,65,1g,0g,1mg,1019mg,14g,0g,10g,3g,1mg,17mg,1mg,78mg,4.6,5,1 cup,
19,6587552,Sweet Onion and Pineapple Chicken Teriyaki,15 mins,30 mins,,45 mins,4 ,4,490,25g,8g,85mg,3017mg,29g,3g,18g,38g,55mg,277mg,3mg,595mg,4.2,10,4 servings,
20,6583083,Teriyaki Chicken Meatballs,20 mins,14 mins,,34 mins,4 ,4,167,7g,1g,20mg,558mg,11g,1g,7g,9g,5mg,17mg,1mg,162mg,3.0,6,4 servings,
21,6584601,Teriyaki Drumettes,10 mins, 1 hr 5 mins,, 1 hr 15 mins,6 ,6,308,6g,2g,24mg,2430mg,55g,1g,51g,11g,1mg,22mg,2mg,179mg,4.7,27,6 servings,
22,6600414,Grilled Teriyaki Chicken Thigh Skewers,10 mins,15 mins,, 1 hr 25 mins,4 ,4,284,14g,4g,80mg,522mg,15g,0g,12g,23g,0mg,23mg,2mg,197mg,,,4 servings, 1 hr
23,6739058,Chicken Teriyaki Tacos,25 mins,23 mins,, 1 hr 13 mins,6 ,6,422,25g,9g,88mg,1976mg,23g,3g,8g,23g,3mg,112mg,2mg,330mg,5.0,1,6 servings,25 mins
24,6604649,Bob's Teriyaki Sauce and Marinade,10 mins,5 mins,,15 mins,8 ,8,69,,,,902mg,8g,0g,7g,1g,,5mg,0mg,37mg,4.4,8,8 servings,
25,6601441,Teriyaki Chicken Cordon Bleu,20 mins,35 mins,, 18 hrs 55 mins,4 ,4,501,25g,9g,126mg,3288mg,32g,0g,11g,43g,1mg,184mg,3mg,451mg,4.7,19,4 servings, 18 hrs
26,6599115,Chicken Teriyaki with Asparagus,15 mins,30 mins,, 1 hr 45 mins,4 ,4,312,11g,6g,93mg,2185mg,13g,1g,9g,37g,4mg,266mg,3mg,486mg,4.3,44,4 servings, 1 hr
27,6604979,Chicken Teriyaki,15 mins,50 mins,, 1 hr 5 mins,4 ,4,738,24g,7g,154mg,8306mg,76g,3g,61g,55g,16mg,82mg,6mg,924mg,4.0,46,4 servings,
28,6588490,Pineapple Chicken Teriyaki,20 mins,30 mins,,50 mins,6 ,6,390,18g,4g,65mg,1604mg,36g,5g,9g,24g,13mg,56mg,3mg,520mg,3.0,1,6 servings,
29,6573220,Boar's Head Bold Ichiban Teriyaki Style Chicken Salad,15 mins,,,15 mins,2 ,2,127,1g,0g,30mg,2259mg,17g,1g,12g,13g,24mg,31mg,1mg,232mg,,,,
30,6664724,Baked Teriyaki Chicken,10 mins,55 mins,, 1 hr 5 mins,6 ,6,272,10g,3g,85mg,1282mg,20g,0g,17g,25g,0mg,17mg,2mg,273mg,4.7,"7,788",,
31,6650957,Simple Teriyaki Sauce,5 mins,6 mins,,11 mins,12 ,12,21,,,,302mg,5g,0g,3g,0g,,4mg,0mg,17mg,4.3,392,2 cups,
32,6566994,Teriyaki Marinade and Sauce,10 mins,10 mins,,20 mins,8 ,8,86,5g,1g,,904mg,11g,0g,8g,2g,0mg,30mg,1mg,59mg,4.4,136,1 cup,
33,6587655,Homemade Teriyaki Sauce,5 mins,13 mins,,18 mins,8 ,8,65,,,,532mg,15g,0g,13g,1g,0mg,5mg,0mg,43mg,4.8,43,1 cup,
34,7104127,Teriyaki Shrimp Noodles,10 mins,10 mins,,20 mins,4 ,4,491,7g,1g,173mg,2311mg,67g,5g,,34g,,,,924mg,5.0,1,,
35,6663617,Teriyaki Salmon,10 mins,15 mins,, 1 hr 25 mins,4 ,4,411,26g,5g,83mg,973mg,10g,1g,7g,34g,9mg,50mg,1mg,684mg,4.6,193,, 1 hr
36,6650439,Grilled Teriyaki Shrimp and Pineapple Skewers,25 mins,20 mins,,45 mins,4 ,4,223,2g,0g,173mg,654mg,32g,3g,25g,20g,84mg,88mg,4mg,392mg,4.5,75,4 servings,
37,6597258,Pineapple Teriyaki Sauce,10 mins,30 mins,,40 mins,12 ,12,43,0g,,,95mg,11g,0g,9g,0g,4mg,8mg,0mg,63mg,4.0,2,12 servings,
38,6738295,Teriyaki Sauce and Marinade,10 mins,20 mins,,30 mins,8 ,8,105,1g,0g,,1805mg,18g,0g,15g,2g,1mg,13mg,1mg,87mg,4.6,308,1 2/3 cups,
39,6586976,Teriyaki Ground Beef Skillet,15 mins,10 mins,,25 mins,4 ,4,303,14g,6g,79mg,2142mg,16g,1g,13g,26g,5mg,42mg,3mg,482mg,4.3,24,4 servings,
40,6596420,Easiest Teriyaki Marinade Ever,10 mins,,, 2 hrs 10 mins,8 ,,,,,,,,,,,,,,,4.5,269,1 cup, 2 hrs
41,6562004,Japanese Teriyaki Sauce,5 mins,5 mins,,10 mins,4 ,4,57,,,,902mg,7g,0g,7g,1g,,4mg,0mg,35mg,4.6,54,1/2 cup,
42,6585065,Slow-Cooker Teriyaki Ribs,10 mins, 4 hrs 5 mins,, 4 hrs 15 mins,4 ,4,507,37g,14g,146mg,1966mg,9g,0g,7g,33g,1mg,73mg,3mg,511mg,4.6,11,,
43,6741773,4-Ingredient Teriyaki Sauce,5 mins,3 mins,,11 mins,8 ,8,125,0g,,,1072mg,30g,0g,27g,2g,,30mg,1mg,105mg,4.4,8,8 servings,3 mins
44,6592702,Grilled Teriyaki Salmon,5 mins,10 mins,, 4 hrs 15 mins,2 ,2,345,6g,1g,72mg,2846mg,36g,0g,32g,35g,4mg,108mg,3mg,859mg,,,2 servings, 4 hrs
45,6565190,Teriyaki Sauce,1 mins,,,1 mins,6 ,6,43,,,,1663mg,8g,0g,5g,2g,0mg,7mg,1mg,74mg,4.4,156,6 to 8 servings,
46,6584386,Teriyaki Grilled Shrimp,5 mins,20 mins,,55 mins,4 ,4,239,2g,0g,173mg,1428mg,34g,1g,30g,20g,6mg,67mg,4mg,300mg,,,4 servings,30 mins
47,6582708,Instant Pot® Teriyaki-Pineapple Pork Chops,10 mins,25 mins,,55 mins,4 ,4,350,10g,3g,49mg,2051mg,45g,1g,34g,22g,7mg,42mg,2mg,382mg,,,4 servings,20 mins
48,6563714,Sweet Island Teriyaki Sauce,10 mins,10 mins,,20 mins,10 ,10,63,,,,731mg,14g,0g,13g,1g,2mg,5mg,0mg,42mg,5.0,4,10 servings,
49,6572296,Beef Teriyaki Noodles,15 mins,15 mins,,30 mins,4 ,4,515,19g,6g,41mg,1855mg,64g,5g,16g,24g,71mg,57mg,4mg,747mg,,,4 servings,
50,6570789,Teriyaki Grilled Vegetables,20 mins,5 mins,,25 mins,4 ,4,74,0g,0g,,930mg,15g,3g,7g,4g,14mg,40mg,1mg,597mg,,,4 servings,
51,6561578,Japanese Style Teriyaki Sauce,10 mins,25 mins,,35 mins,12 ,12,137,0g,,,3608mg,24g,1g,19g,4g,15mg,24mg,1mg,195mg,4.4,11,12 servings,
52,6593554,Air Fryer Teriyaki Snap Peas and Mushrooms,5 mins,12 mins,,17 mins,4 ,4,67,3g,0g,,519mg,8g,2g,2g,3g,7mg,32mg,1mg,119mg,5.0,1,4 servings,
53,6567462,Texas Teriyaki Marinade,10 mins,,,10 mins,32 ,,,,,,,,,,,,,,,3.0,4,2 cups,
54,6601516,Ground Beef Teriyaki,20 mins,20 mins,,40 mins,4 ,4,336,14g,6g,79mg,2063mg,26g,3g,18g,26g,43mg,54mg,3mg,767mg,5.0,4,4 servings,
55,6567886,Mango Teriyaki Marinade,10 mins,,, 2 hrs 10 mins,8 ,,,,,,,,,,,,,,,4.3,12,3 3/4 cups, 2 hrs
56,6572716,Teriyaki Chicken Kabobs,15 mins,10 mins,,55 mins,4 ,4,305,2g,1g,49mg,2086mg,48g,2g,44g,23g,66mg,37mg,1mg,590mg,,,4 servings,30 mins
57,6591347,Easy Slow Cooker Teriyaki Pulled Pork,5 mins, 5 hrs,, 5 hrs 5 mins,8 ,8,146,5g,2g,43mg,1733mg,7g,0g,6g,17g,0mg,25mg,1mg,285mg,4.0,1,8 servings,
58,6565735,The Professor's Tangy Teriyaki Sauce,10 mins,10 mins,,20 mins,20 ,20,55,1g,0g,,723mg,10g,0g,8g,1g,0mg,4mg,0mg,35mg,4.0,4,20 servings,
59,6567534,Teriyaki Marinade II,10 mins,,,10 mins,6 ,,,,,,,,,,,,,,,4.7,37,1 cup,
60,6576444,Instant Pot® Teriyaki Shrimp,15 mins,15 mins,,35 mins,6 ,6,239,3g,1g,115mg,860mg,36g,2g,6g,17g,29mg,67mg,4mg,424mg,3.0,1,6 servings,5 mins
