,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Servings:,Servings Per Recipe,Rise Time:,Yield:,Cool Time:,Additional Time:
36,6663549,Chicago Deep-Dish Pizza,35 mins,35 mins, 2 hrs 30 mins,613,32g,14g,75mg,1487mg,53g,3g,5g,25g,10mg,416mg,4mg,215mg,4.7,43,10 ,10,,1 12-inch pizza,, 1 hr 20 mins
37,6650461,Buffalo-Style Chicken Pizza,15 mins,5 mins,25 mins,428,24g,7g,28mg,1085mg,40g,1g,,14g,4mg,176mg,0mg,28mg,4.5,"1,382",10 ,10,,1 16-inch pizza,,5 mins
38,6650093,Detroit-Style Pizza,25 mins,15 mins, 1 hr 45 mins,474,27g,12g,63mg,1146mg,36g,3g,,21g,2mg,313mg,3mg,403mg,4.7,54,9 ,9,,1 14x10-inch pizza,, 1 hr 5 mins
39,6736480,Easy Pepperoni Pizza Muffins,5 mins,10 mins,25 mins,126,6g,2g,7mg,439mg,14g,0g,3g,4g,2mg,75mg,1mg,57mg,4.5,70,10 ,10,,10 pizza muffins,,10 mins
40,6579046,BBQ Pulled Pork Pizza,15 mins,15 mins,30 mins,259,6g,2g,19mg,591mg,39g,2g,5g,13g,3mg,7mg,0mg,94mg,4.7,26,6 ,6,,1 pizza,,
41,6663446,True Cheeseburger Pizza,15 mins,25 mins,45 mins,740,34g,17g,112mg,2012mg,67g,4g,14g,45g,14mg,611mg,2mg,499mg,4.6,45,4 ,4,,,,5 mins
42,6650739,Naan Bread Margherita Pizza with Prosciutto,15 mins,10 mins,25 mins,626,29g,14g,92mg,1222mg,50g,9g,5g,41g,7mg,946mg,1mg,217mg,4.8,27,2 ,2,,2 pizzas,,
43,6648437,Mexican Pizza I,17 mins,30 mins,50 mins,770,48g,23g,150mg,1542mg,42g,10g,4g,42g,24mg,534mg,5mg,866mg,4.5,239,4 ,4,,4 pizzas,,3 mins
44,6591603,Pizza Cupcakes,15 mins,15 mins,35 mins,149,4g,1g,8mg,435mg,21g,1g,3g,7g,5mg,81mg,1mg,56mg,5.0,6,8 ,8,,8 pizza cupcakes,,5 mins
45,6664877,Easy Mini Bagel Pizzas,10 mins,10 mins,20 mins,232,6g,3g,33mg,788mg,30g,1g,1g,14g,1mg,49mg,3mg,142mg,4.6,26,4 ,4,,16 mini bagel pizzas,,
