,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rest Time:,Marinate Time:,Yield:,Active Time:,Stand Time:,Additional Time:
38,6649205,Oven-Roasted Turkey Breast,15 mins, 1 hr 35 mins, 1 hr 50 mins,2 ,2,1356,45g,23g,624mg,1076mg,15g,1g,2g,210g,1mg,93mg,6mg,1897mg,4.8,293,,,,,,
39,6651006,Chef John's Italian Meatballs,20 mins,35 mins, 2 hrs 15 mins,8 ,8,390,31g,12g,91mg,617mg,5g,1g,,21g,4mg,62mg,2mg,349mg,4.8,"2,322",,,,,, 1 hr 20 mins
40,6650737,Pesto Pasta,5 mins,10 mins,15 mins,8 ,8,225,7g,2g,44mg,71mg,32g,3g,0g,8g,1mg,59mg,2mg,131mg,4.3,225,,,,,,
41,6664915,Chicken Stir-Fry,20 mins,20 mins,40 mins,6 ,6,700,12g,3g,161mg,1790mg,77g,5g,14g,68g,66mg,109mg,6mg,1001mg,4.5,"1,396",,,,,,
42,6663665,A Simply Perfect Roast Turkey,25 mins, 4 hrs, 4 hrs 45 mins,24 ,24,828,38g,11g,383mg,756mg,15g,1g,2g,100g,0mg,71mg,4mg,922mg,4.9,532,,,,,,20 mins
43,6648983,Best Tuna Casserole,10 mins,20 mins,30 mins,6 ,6,595,26g,12g,99mg,1061mg,58g,4g,5g,32g,7mg,319mg,5mg,602mg,4.3,"2,851",,,,,,
44,6648412,Tater Tot Casserole,5 mins,40 mins,45 mins,4 ,4,345,24g,10g,65mg,700mg,17g,1g,1g,19g,1mg,213mg,2mg,313mg,4.5,564,,,,,,
45,6663227,Roast Spatchcock Turkey,15 mins, 1 hr 45 mins, 2 hrs 10 mins,10 ,10,777,43g,11g,268mg,921mg,0g,0g,,92g,1mg,89mg,6mg,922mg,4.9,59,,,,,,10 mins
46,6648365,Authentic Louisiana Red Beans and Rice,25 mins, 3 hrs 5 mins, 11 hrs 30 mins,8 ,8,630,24g,7g,33mg,604mg,79g,10g,3g,24g,17mg,97mg,7mg,1027mg,4.5,"1,406",,,8 servings,,, 8 hrs
47,6649620,Baked Ziti,15 mins,45 mins, 1 hr,10 ,10,578,25g,13g,71mg,914mg,58g,6g,14g,28g,4mg,359mg,4mg,721mg,4.7,"8,735",,,1 9x13-inch casserole,,,
