,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Soak Time:
51,6570237,Kansas Baked Beans,20 mins, 1 hr 10 mins, 1 hr 30 mins,8 ,8,465,9g,3g,35mg,1160mg,78g,11g,44g,21g,7mg,140mg,5mg,597mg,4.9,41,8 servings,,
52,6601036,Vegetarian Baked Beans with Canned Beans,10 mins, 1 hr, 1 hr 15 mins,4 ,4,420,4g,1g,,1659mg,73g,13g,22g,18g,11mg,158mg,6mg,1116mg,4.5,2,4 servings,5 mins,
53,6599109,Bar-B-Q Baked Beans,10 mins, 1 hr, 1 hr 10 mins,14 ,14,166,3g,1g,5mg,403mg,27g,5g,6g,7g,1mg,56mg,2mg,307mg,4.3,53,14 servings,,
54,6576966,Cowboy Baked Beans,15 mins, 3 hrs, 3 hrs 15 mins,16 ,16,346,7g,2g,24mg,1051mg,61g,9g,34g,14g,17mg,136mg,4mg,673mg,5.0,2,16 servings,,
55,6604253,Slow-Cooked Baked Beans,10 mins, 8 hrs, 16 hrs 10 mins,12 ,12,302,5g,1g,11mg,1185mg,51g,13g,19g,16g,13mg,115mg,4mg,919mg,4.5,17,12 servings, 8 hrs,
56,6600164,Chuckwagon Beans,10 mins,30 mins,40 mins,6 ,6,241,6g,2g,14mg,841mg,35g,9g,11g,13g,6mg,65mg,3mg,232mg,4.1,8,6 servings,,
57,6601134,Slow Cooker BBQ Baked Beans,15 mins, 5 hrs, 5 hrs 15 mins,24 ,24,169,4g,1g,11mg,591mg,27g,5g,14g,7g,7mg,48mg,2mg,384mg,4.6,88,24 servings,,
58,6591106,Ranch Beans with Beef,10 mins, 1 hr 10 mins, 1 hr 20 mins,8 ,8,413,9g,4g,46mg,985mg,68g,7g,47g,18g,9mg,124mg,4mg,665mg,4.8,4,8 servings,,
59,6574150,Home-Style Vegetarian Baked Beans,15 mins,20 mins,35 mins,8 ,8,243,2g,0g,,805mg,50g,12g,16g,12g,12mg,88mg,3mg,396mg,4.0,1,8 servings,,
60,6592467,Gramma Beaton's Brown Sugar Beans,10 mins, 6 hrs, 14 hrs 10 mins,12 ,12,326,6g,2g,14mg,273mg,53g,9g,19g,17g,3mg,64mg,4mg,805mg,4.5,13,12 servings, 8 hrs,
