,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Bake Time:,Additional Time:
42,6579774,Mexican-Style Sweet Cornbread,5 mins,45 mins,50 mins,8 ,8 servings,8,237,10g,5g,16mg,592mg,36g,3g,8g,3g,2mg,21mg,1mg,104mg,5.0,5,,,
43,6596725,Cranberry Corn Bread,15 mins,20 mins, 1 hr 5 mins,15 ,1 (8-inch) pan,15,151,4g,2g,33mg,214mg,26g,1g,9g,4g,1mg,86mg,1mg,73mg,4.6,28,,,30 mins
44,6601608,Cheesy Cornbread,10 mins,40 mins, 1 hr,16 ,16 pieces,16,127,4g,2g,33mg,233mg,18g,1g,3g,5g,0mg,114mg,1mg,68mg,4.2,12,,,10 mins
45,6600859,Cast Iron Skillet Buttermilk Cornbread,10 mins,15 mins,30 mins,8 ,1 10-inch round,8,202,9g,3g,29mg,635mg,27g,2g,2g,5g,0mg,177mg,2mg,124mg,4.4,18,,,5 mins
46,6582158,Savory Corn Muffins,,,,12 ,12 muffins,12,240,9g,5g,52mg,612mg,35g,2g,4g,5g,2mg,79mg,2mg,137mg,3.9,86,,,
47,6663215,Karen's Sweet Corn Bread,15 mins,30 mins,45 mins,12 ,12 servings,12,227,10g,6g,54mg,258mg,31g,1g,10g,5g,0mg,90mg,2mg,94mg,4.7,212,,,
48,6584348,Cracklin' Bread II,20 mins,30 mins,50 mins,9 ,1 - 9x9 inch pan,9,206,9g,3g,31mg,662mg,22g,1g,5g,10g,0mg,105mg,1mg,99mg,3.8,4,,,
49,6574889,Amusement Park Cornbread,10 mins,20 mins,30 mins,8 ,1 to 8 - inch skillet,8,328,10g,6g,70mg,567mg,52g,2g,19g,7g,0mg,164mg,2mg,148mg,4.6,605,,,
50,6571025,Best Ever Corn Muffins,8 mins,30 mins,38 mins,12 ,1 dozen,12,164,7g,4g,42mg,234mg,22g,0g,11g,3g,,44mg,1mg,58mg,4.5,305,,,
51,6740902,Savory Thanksgiving Cupcakes,15 mins,20 mins,40 mins,6 ,6 cupcakes,6,351,9g,3g,63mg,912mg,50g,4g,5g,17g,6mg,72mg,2mg,435mg,,,,,5 mins
52,6664312,Grandma's Buttermilk Cornbread,15 mins,25 mins,45 mins,8 ,1 10-inch round cornbread,8,257,12g,2g,49mg,520mg,33g,2g,,6g,,,,160mg,5.0,5,,,5 mins
53,6565047,High-Altitude Cornbread,10 mins,20 mins,30 mins,12 ,12 servings,12,153,5g,3g,43mg,332mg,23g,1g,5g,4g,,81mg,1mg,72mg,4.7,3,,,
54,6599580,Ultimate Gluten-Free Cornbread,10 mins,16 mins,36 mins,12 ,12 servings,12,233,11g,6g,64mg,405mg,30g,3g,6g,6g,0mg,113mg,2mg,172mg,4.6,21,,,10 mins
55,6595524,Broccoli Cornbread,10 mins,30 mins,40 mins,15 ,15 servings,15,136,6g,2g,41mg,439mg,15g,1g,1g,6g,11mg,105mg,1mg,107mg,3.9,64,,,
56,6603681,Cornbread Made with Coconut Oil,15 mins,30 mins,50 mins,15 ,1 9x3-inch pan,15,225,10g,8g,28mg,286mg,31g,1g,9g,5g,0mg,110mg,1mg,123mg,4.6,10,,,5 mins
57,6574824,Corn Muffins,15 mins,15 mins,40 mins,12 ,12 muffins,12,195,9g,5g,37mg,358mg,27g,1g,10g,3g,0mg,75mg,1mg,68mg,4.7,135,,,10 mins
58,6649437,Chef John's Blueberry Cornbread,10 mins,50 mins, 1 hr,12 ,,12,386,14g,8g,64mg,637mg,60g,3g,,7g,,,,171mg,4.9,8,,,
59,6591305,Mom's Sweet Buttermilk Corn Bread,10 mins,25 mins,35 mins,10 ,10 servings,10,231,8g,2g,39mg,589mg,36g,2g,9g,6g,1mg,187mg,2mg,168mg,4.7,69,,,
