,id_recipe,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Additional Time:,Yield:
31,6600202,20 mins, 1 hr 10 mins,20 ,20,263,13g,5g,12mg,162mg,35g,4g,15g,5g,0mg,30mg,2mg,180mg,4.9,8,20 mins,30 mins,20 1/4 cup servings
32,6585072,10 mins,35 mins,16 ,16,131,4g,1g,,38mg,20g,3g,4g,4g,0mg,28mg,1mg,123mg,3.9,25,25 mins,,8 cups
33,6595620,10 mins,10 mins,2 ,2,772,37g,13g,85mg,234mg,80g,10g,50g,36g,31mg,72mg,4mg,599mg,2.0,1,,,2 servings
34,6569862,10 mins,10 mins,1 ,1,244,12g,5g,5mg,446mg,18g,3g,11g,17g,21mg,116mg,1mg,149mg,,,,,1 serving
35,6595682,15 mins, 1 hr 50 mins,20 ,20,251,8g,3g,0mg,130mg,44g,3g,26g,4g,0mg,44mg,2mg,206mg,3.7,3,35 mins, 1 hr,20 servings
36,6595841,10 mins, 1 hr 45 mins,6 ,6,379,15g,1g,,11mg,57g,6g,29g,7g,0mg,62mg,2mg,287mg,4.7,27,35 mins, 1 hr,6 servings
37,6581903,5 mins,25 mins,16 ,16,180,9g,3g,,41mg,22g,4g,6g,6g,0mg,24mg,2mg,194mg,5.0,1,20 mins,,16 servings
38,6581384,10 mins,50 mins,8 ,8,341,23g,14g,,371mg,31g,5g,12g,5g,1mg,34mg,2mg,208mg,4.5,2,20 mins,20 mins,2 cups
39,6569559,10 mins,15 mins,2 ,2,366,10g,3g,5mg,31mg,70g,18g,30g,7g,15mg,227mg,3mg,761mg,4.0,3,5 mins,,2 servings
40,6605450,10 mins,35 mins,24 ,24,156,8g,2g,,43mg,18g,3g,6g,4g,0mg,28mg,1mg,128mg,,,25 mins,,6 cups
41,6586444,25 mins,56 mins,88 ,88,154,8g,3g,1mg,60mg,20g,3g,10g,3g,1mg,33mg,1mg,121mg,4.0,1,26 mins,5 mins,22 cups
42,6570322,10 mins,55 mins,16 ,16,294,15g,6g,23mg,67mg,38g,4g,18g,4g,1mg,37mg,2mg,222mg,3.5,2,45 mins,,8 cups
43,6603753,15 mins, 1 hr 20 mins,12 ,12,339,10g,2g,,108mg,62g,4g,26g,6g,1mg,81mg,3mg,463mg,4.5,2,45 mins,20 mins,6 cups
44,6592928,10 mins,55 mins,20 ,20,242,18g,2g,3mg,59mg,19g,3g,13g,5g,1mg,56mg,1mg,225mg,3.0,1,45 mins,,20 servings
45,6587504,10 mins,56 mins,16 ,16,404,26g,6g,8mg,165mg,42g,5g,26g,6g,0mg,59mg,2mg,283mg,,,31 mins,15 mins,16 1/2-cup servings
46,6579516,15 mins,50 mins,10 ,10,272,9g,1g,,124mg,40g,6g,15g,8g,0mg,65mg,3mg,243mg,4.2,5,35 mins,,5 cups
47,6571596,10 mins,50 mins,12 ,12,254,12g,2g,,84mg,34g,3g,16g,5g,,22mg,1mg,114mg,4.7,3,,40 mins,6 cups
48,6649896,10 mins, 1 hr 10 mins,16 ,16,406,25g,14g,,132mg,41g,7g,,8g,,,,342mg,5.0,2, 1 hr,,8 cups
49,6591667,10 mins, 2 hrs 27 mins,96 ,96,172,10g,4g,,58mg,21g,3g,11g,3g,0mg,16mg,2mg,102mg,2.5,2, 1 hr 17 mins, 1 hr,24 cups
50,6588708,15 mins, 3 hrs,36 ,36,143,7g,1g,,3mg,20g,3g,10g,3g,1mg,36mg,1mg,129mg,4.5,2,45 mins, 2 hrs,9 cups
