,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Cool Time:
34,6576358,20 mins,45 mins, 1 hr 5 mins,4 ,4 servings,4,525,43g,22g,320mg,722mg,23g,2g,2g,28g,22mg,385mg,2mg,755mg,4.4,159,,
35,6580274,15 mins, 1 hr 10 mins, 1 hr 35 mins,12 ,12 servings,12,607,55g,29g,291mg,956mg,4g,,1g,26g,1mg,370mg,1mg,318mg,4.9,37,10 mins,
36,6591837,20 mins,30 mins,55 mins,12 ,3 dozen quiches,12,261,21g,10g,177mg,467mg,4g,0g,1g,15g,4mg,175mg,1mg,203mg,4.6,50,5 mins,
37,6578899,20 mins,30 mins,50 mins,6 ,6 servings,6,612,50g,19g,167mg,1101mg,21g,3g,2g,20g,11mg,176mg,4mg,540mg,4.5,194,,
38,6592810,20 mins, 1 hr 45 mins, 2 hrs 25 mins,8 ,1 9-inch quiche,8,390,33g,17g,124mg,506mg,14g,1g,1g,11g,1mg,188mg,1mg,161mg,4.5,43,20 mins,
39,6600828,15 mins,35 mins,50 mins,6 ,1 10-inch quiche,6,275,16g,7g,129mg,682mg,16g,2g,4g,17g,12mg,311mg,2mg,414mg,4.7,35,,
40,6572000,10 mins,30 mins,40 mins,8 ,8 servings,8,212,16g,6g,91mg,211mg,13g,1g,1g,5g,1mg,59mg,1mg,82mg,4.5,120,,
41,6581104,15 mins,55 mins, 1 hr 10 mins,8 ,1 to 9 - inch pie,8,283,20g,8g,103mg,621mg,14g,1g,1g,11g,1mg,156mg,1mg,159mg,4.7,357,,
42,6575036,15 mins,35 mins,50 mins,8 ,1 9-inch quiche,8,520,41g,21g,180mg,727mg,17g,1g,1g,20g,3mg,268mg,2mg,199mg,5.0,4,,
43,6650377,10 mins,45 mins,55 mins,8 ,1 quiche,8,338,25g,12g,139mg,391mg,15g,2g,1g,14g,43mg,297mg,2mg,274mg,4.8,19,,
44,6569398,15 mins,45 mins, 1 hr 15 mins,6 ,1 (9-inch) pie,6,366,28g,15g,182mg,647mg,18g,2g,5g,12g,15mg,226mg,2mg,403mg,4.7,223,15 mins,
45,6582357,25 mins,35 mins, 1 hr,6 ,6 servings,6,368,28g,12g,115mg,788mg,14g,1g,2g,15g,2mg,273mg,2mg,304mg,4.6,101,,
46,6738636,15 mins, 1 hr, 1 hr 25 mins,16 ,2 (9 inch) pies,16,444,34g,15g,156mg,1078mg,15g,2g,1g,22g,8mg,370mg,2mg,332mg,4.7,"1,311",10 mins,
47,6605374,10 mins,30 mins,40 mins,6 ,6 mini quiches,6,111,7g,4g,108mg,358mg,3g,1g,1g,9g,16mg,42mg,1mg,114mg,4.9,15,,
48,6600525,10 mins,50 mins, 1 hr,4 ,4 servings,4,761,54g,21g,179mg,971mg,34g,1g,5g,35g,3mg,523mg,3mg,418mg,4.5,21,,
49,6594785,10 mins,20 mins,30 mins,12 ,12 servings,12,123,4g,2g,68mg,233mg,15g,1g,3g,6g,1mg,109mg,1mg,98mg,3.9,148,,
50,6571249,20 mins,40 mins, 1 hr,6 ,1 (9-inch) quiche,6,379,26g,12g,127mg,698mg,23g,1g,4g,14g,7mg,62mg,2mg,244mg,4.5,240,,
51,6575309,15 mins,15 mins,30 mins,24 ,24 mini quiches,24,95,7g,3g,38mg,261mg,3g,0g,0g,4g,1mg,61mg,0mg,41mg,4.1,182,,
52,6593751,15 mins,35 mins,50 mins,8 ,1 to 9 - inch quiche,8,534,42g,21g,183mg,694mg,17g,1g,3g,21g,4mg,439mg,2mg,333mg,4.5,200,,
53,6575869,30 mins, 1 hr, 1 hr 30 mins,6 ,1 (9 inch) quiche,6,718,61g,23g,213mg,1451mg,19g,1g,4g,23g,2mg,336mg,2mg,285mg,4.6,90,,
54,6598400,20 mins,40 mins, 1 hr,6 ,6 servings,6,214,15g,8g,186mg,235mg,11g,3g,3g,12g,47mg,168mg,2mg,460mg,4.0,11,,
55,6585182,15 mins,40 mins,55 mins,8 ,1 9-inch quiche,8,208,19g,11g,131mg,324mg,4g,1g,1g,8g,5mg,147mg,1mg,178mg,4.8,18,,
56,6589435,15 mins,50 mins, 1 hr 15 mins,8 ,1 10-inch quiche,8,437,31g,14g,185mg,423mg,20g,2g,3g,19g,4mg,376mg,3mg,272mg,4.7,57,10 mins,
57,6592559,20 mins,20 mins,40 mins,10 ,10 servings,10,247,16g,6g,83mg,719mg,16g,0g,3g,11g,2mg,39mg,1mg,173mg,4.5,737,,
58,6571447,20 mins,55 mins, 1 hr 25 mins,8 ,1 9-inch quiche,8,528,36g,19g,197mg,1011mg,21g,2g,5g,30g,7mg,102mg,2mg,364mg,4.4,32,10 mins,
59,6739717,20 mins, 1 hr, 1 hr 20 mins,6 ,1 9-inch quiche,6,297,21g,10g,195mg,406mg,13g,2g,4g,18g,77mg,406mg,2mg,541mg,4.8,211,,
