,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
11,6650691,German Chocolate Cake Frosting,5 mins,15 mins,,20 mins,12 ,12,280,19g,9g,78mg,107mg,26g,2g,23g,3g,1mg,85mg,1mg,162mg,4.7,389,,
12,6650794,Lemon Icing,5 mins,,,5 mins,12 ,12,191,8g,5g,20mg,55mg,32g,,31g,0g,1mg,3mg,,6mg,4.5,379,2 cups,
13,6649159,Whipped Cream Cream Cheese Frosting,15 mins,,,15 mins,12 ,12,233,18g,11g,61mg,91mg,18g,,17g,2g,0mg,35mg,0mg,45mg,4.7,"1,800","enough frosting for a 2 layer, 9-inch cake",
14,6740953,Creamy Chocolate Frosting,15 mins,,,15 mins,12 ,12,179,7g,4g,17mg,9mg,31g,1g,,1g,0mg,24mg,0mg,65mg,4.7,"2,432",,
15,6596684,Best Chocolate Frosting,10 mins,,,10 mins,16 ,16,154,6g,4g,16mg,44mg,26g,1g,23g,1g,,13mg,1mg,65mg,4.7,371,2 cups,
16,6568761,The Best Chocolate Glaze,5 mins,5 mins,,10 mins,12 ,12,90,5g,3g,13mg,35mg,12g,1g,10g,1g,,5mg,0mg,43mg,4.7,83,3/4 cup,
17,6740868,Creamy Frosting,5 mins,10 mins,,15 mins,15 ,15,173,13g,8g,34mg,94mg,15g,,14g,1g,,23mg,0mg,30mg,3.8,774,3 1/2 cups,
18,6663196,Gingerbread Cookie Frosting,10 mins,,,10 mins,4 ,4,126,1g,0g,2mg,7mg,31g,,30g,1g,,18mg,,22mg,3.3,58,1/2 cup,
19,6573224,Caramel Frosting,10 mins,5 mins,,15 mins,12 ,12,93,2g,1g,5mg,18mg,19g,,19g,0g,,13mg,0mg,19mg,4.6,313,,
20,6567952,One Minute Chocolate Icing,5 mins,10 mins,,15 mins,12 ,12,110,4g,3g,11mg,30mg,19g,1g,17g,1g,,12mg,1mg,64mg,4.3,406,2 cups,
21,6737522,Satiny Chocolate Glaze,,10 mins,,10 mins,4 ,4,243,18g,11g,23mg,68mg,24g,2g,19g,1g,,13mg,1mg,118mg,4.8,"1,620",1 cup,
22,6663467,Sturdy Whipped Cream Frosting,10 mins,,,10 mins,20 ,20,132,11g,7g,41mg,54mg,6g,,,2g,0mg,24mg,,31mg,4.4,"1,210",5 cups,
23,6563264,Strawberry Pie Filling,5 mins,20 mins,,25 mins,8 ,8,119,0g,,,75mg,30g,2g,24g,1g,63mg,18mg,1mg,166mg,4.7,84,,
24,6737896,Cream Cheese Frosting,10 mins,,,10 mins,24 ,24,140,10g,7g,31mg,83mg,11g,,10g,1g,,16mg,0mg,24mg,4.7,"5,101",3 cups,
25,6567222,Lemon Cream Cheese Frosting,15 mins,,,15 mins,15 ,15,236,8g,5g,25mg,67mg,41g,,39g,1g,1mg,14mg,0mg,23mg,4.6,347,3 2/3 cups,
26,6664370,Real Strawberry Frosting,20 mins,20 mins,,40 mins,18 ,18,177,10g,6g,27mg,82mg,22g,0g,21g,0g,6mg,5mg,0mg,19mg,4.6,457,,
27,6738040,Mincemeat,10 mins,10 mins,,50 mins,24 ,24,156,5g,3g,10mg,33mg,22g,2g,20g,1g,1mg,19mg,0mg,151mg,4.1,10,2 12-ounce jars,30 mins
28,6663860,Royal Icing,10 mins,,,10 mins,32 ,32,63,,,,7mg,16g,,15g,1g,,0mg,,7mg,4.6,297,2 cups,
29,6563985,Cream Cheese Frosting without Powdered Sugar,10 mins,,,10 mins,8 ,8,147,13g,8g,38mg,84mg,6g,,6g,2g,,26mg,0mg,41mg,4.3,112,1 cup,
30,6565427,Fluffy White Frosting,15 mins,10 mins,,25 mins,12 ,12,68,,,,9mg,17g,,17g,1g,,1mg,,20mg,4.4,659,,
31,6600907,Butter Icing for Sugar Cookies,10 mins,,,10 mins,8 ,8,131,4g,3g,12mg,32mg,23g,,,0g,,4mg,,7mg,4.4,296,1 cup,
32,6599624,Easy Chocolate Bundt Cake Glaze,5 mins,5 mins,,10 mins,12 ,12,173,7g,4g,11mg,43mg,27g,1g,25g,3g,1mg,97mg,1mg,173mg,4.7,350,1 1/4 cups,
33,6562753,Fresh Lime Curd,10 mins,30 mins,,40 mins,8 ,8,172,7g,4g,62mg,59mg,27g,0g,26g,2g,8mg,13mg,0mg,47mg,4.7,100,,
34,6580275,Homemade Chocolate Frosting,5 mins,,,5 mins,20 ,20,119,5g,3g,12mg,39mg,18g,1g,16g,1g,0mg,8mg,1mg,10mg,4.7,72,2 1/2 cups,
35,6663805,Sugar Cookie Glaze,10 mins,,,10 mins,24 ,24,22,,,,1mg,6g,,5g,,,0mg,,0mg,4.4,437,1/2 cup of glaze,
36,6739822,Cool Whipped Frosting,15 mins,,,15 mins,10 ,10,121,6g,5g,2mg,157mg,16g,,14g,1g,0mg,31mg,,42mg,4.6,687,2 cups,
37,6566180,Mascarpone Frosting,10 mins,,,10 mins,16 ,16,88,9g,5g,29mg,9mg,2g,,2g,1g,0mg,20mg,,12mg,4.0,9,1 cup,
38,6574976,Glossy Royal Icing,10 mins,,,10 mins,60 ,60,24,,,,0mg,6g,,6g,,,0mg,,0mg,4.5,121,2 1/2 cups,
39,6568405,Simple Orange Glaze,5 mins,,,5 mins,8 ,8,62,,,,0mg,16g,,16g,,1mg,1mg,,4mg,4.6,67,,
40,6563599,Anko (Sweet Red Bean Paste),5 mins, 1 hr 55 mins,, 2 hrs,8 ,8,222,0g,,,9mg,51g,6g,38g,5g,1mg,37mg,2mg,325mg,4.3,16,,
41,6563007,Chocolate Frosting with Cocoa Powder,10 mins,,,10 mins,12 ,12,188,4g,1g,1mg,48mg,39g,1g,36g,1g,,14mg,1mg,68mg,4.4,724,2 cups,
42,6563099,Cheese Filling,10 mins,,,10 mins,24 ,24,100,7g,4g,29mg,56mg,9g,,8g,2g,,16mg,0mg,23mg,4.9,94,1 1/2 pounds,
43,6663247,Buttercream Icing,15 mins,,,15 mins,20 ,20,181,10g,4g,12mg,34mg,24g,,24g,0g,,3mg,,5mg,4.5,"1,489",2 1/2 cups,
44,6569400,Dairy-Free Vanilla Frosting,5 mins,,,5 mins,16 ,16,99,4g,1g,,41mg,16g,,15g,,,0mg,,1mg,4.6,18,2 cups frosting,
45,6576071,Good Meringue,15 mins,,,15 mins,8 ,8,79,,,,21mg,19g,,19g,1g,,1mg,,36mg,4.5,60,,
46,6563192,Bavarian Cream,15 mins,15 mins,, 2 hrs,8 ,8,312,25g,15g,189mg,52mg,17g,,16g,5g,1mg,121mg,0mg,146mg,3.4,47,4 cups, 1 hr 30 mins
47,6566826,Coconut Pecan Frosting,,10 mins,,40 mins,20 ,20,160,11g,5g,16mg,62mg,15g,1g,,2g,0mg,39mg,0mg,82mg,4.9,93,2 1/2 cups,30 mins
48,6577869,Holland Cream (White Cream Filling),15 mins,5 mins,,35 mins,100 ,100,102,6g,1g,,0mg,12g,,12g,,,0mg,,0mg,4.4,75,,15 mins
49,6585926,3-Ingredient Whipped Cream,5 mins,,,10 mins,4 ,4,462,44g,27g,163mg,45mg,16g,,13g,2g,1mg,78mg,,91mg,5.0,21,,5 mins
50,6738457,Microwave Lemon Curd,5 mins,5 mins,,10 mins,16 ,16,117,7g,4g,50mg,14mg,14g,0g,13g,1g,9mg,9mg,0mg,35mg,4.8,668,2 cups,
51,6569118,Best Buttercream Frosting,20 mins,10 mins,, 1 hr,18 ,18,147,11g,7g,28mg,78mg,13g,,12g,1g,,19mg,0mg,26mg,4.1,557,,30 mins
52,6567792,No-Cook Icing,10 mins,,,10 mins,24 ,24,34,,,,3mg,8g,,,0g,,0mg,,8mg,4.0,168,3 cups,
53,6648879,Easy Royal Icing,10 mins,,,10 mins,64 ,64,23,,,,2mg,6g,,6g,0g,,0mg,,4mg,4.6,267,4 cups,
54,6650666,Chef John's Apple Butter,15 mins, 10 hrs,, 10 hrs 15 mins,32 ,32,82,,,,75mg,22g,2g,20g,0g,4mg,9mg,0mg,86mg,4.9,99,4 cups,
55,6587835,Brownie Frosting,5 mins,5 mins,,10 mins,12 ,12,219,10g,6g,16mg,46mg,34g,1g,33g,1g,,15mg,0mg,65mg,4.7,542,1 9x13-inch pan of brownies,
56,6567879,Best White Icing Ever,10 mins,,,10 mins,20 ,20,184,10g,3g,,0mg,24g,,24g,,,0mg,,1mg,4.1,440,4 to 5 cups,
57,6562971,Lemon Custard Filling,5 mins,10 mins,,15 mins,12 ,12,70,3g,2g,39mg,64mg,12g,0g,9g,1g,3mg,5mg,0mg,12mg,3.9,67,1 1/2 cups,
58,6648201,Royal Icing with Meringue Powder,10 mins,,,10 mins,48 ,48,43,,,,3mg,11g,,10g,0g,,0mg,,0mg,4.7,195,3 cups,
59,6565369,Wedding Cake Icing,10 mins,,,10 mins,32 ,32,165,6g,3g,4mg,34mg,27g,0g,27g,0g,0mg,0mg,0mg,1mg,4.5,281,4 cups,
60,6663141,Grocery Store Frosting,20 mins,,,20 mins,16 ,16,388,19g,7g,15mg,60mg,57g,,56g,0g,,3mg,,5mg,4.5,239,2 cups,
61,6563255,Homemade Blueberry Pie Filling,10 mins,10 mins,,20 mins,8 ,8,150,3g,2g,8mg,23mg,32g,4g,23g,1g,16mg,14mg,1mg,129mg,4.6,66,,
62,6574801,Basic Chocolate Buttercream Icing,10 mins,,,10 mins,16 ,16,154,4g,3g,11mg,30mg,30g,1g,28g,1g,,11mg,0mg,52mg,4.6,50,16 servings,
