,id_recipe,name,Prep Time:,Cook Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Active Time:,Yield:,Additional Time:
22,6579510,German Apple Pancake,15 mins,30 mins,, 1 hr 15 mins,4 ,4,517,23g,13g,235mg,197mg,69g,5g,51g,11g,8mg,161mg,2mg,383mg,4.5,590,,,30 mins
23,6736311,Buckwheat Pancakes,10 mins,10 mins,,25 mins,4 ,4,196,6g,3g,57mg,444mg,26g,6g,6g,9g,1mg,164mg,2mg,309mg,4.8,190,,,5 mins
24,6604384,Apple Pancakes,10 mins,25 mins,,35 mins,4 ,4,322,14g,9g,82mg,238mg,41g,2g,9g,8g,2mg,153mg,2mg,188mg,4.4,421,,,
25,6650038,Lemon-Ricotta Pancakes,10 mins,10 mins,,35 mins,2 ,2,554,26g,12g,141mg,1399mg,63g,2g,7g,17g,7mg,417mg,4mg,211mg,4.8,196,,,15 mins
26,6583193,Baked Pancakes,10 mins,25 mins,,35 mins,2 ,2,392,24g,13g,237mg,509mg,33g,1g,9g,12g,3mg,108mg,2mg,204mg,4.7,257,,1 9-inch pancake,
27,6648684,Cinnamon Roll Pancakes,30 mins,10 mins,,55 mins,8 ,8,327,18g,11g,71mg,406mg,38g,1g,,4g,0mg,89mg,1mg,88mg,4.5,105,,8 pancakes,15 mins
28,6648442,Fluffy Gluten-Free Pancakes,10 mins,10 mins,,25 mins,8 ,8,90,3g,1g,25mg,191mg,14g,2g,1g,3g,,40mg,0mg,33mg,3.6,20,,,5 mins
29,6650359,Mom's Buttermilk Pancakes,15 mins,15 mins,,30 mins,4 ,4,210,8g,5g,65mg,1027mg,27g,1g,4g,7g,1mg,93mg,2mg,156mg,4.3,"1,207",,12 6-inch pancakes,
30,6739207,Dutch Babies,10 mins,15 mins,,25 mins,2 ,2,349,18g,10g,221mg,178mg,35g,1g,11g,12g,0mg,107mg,2mg,197mg,4.6,732,,,
31,6739061,Spelt Pancakes,5 mins,10 mins,,20 mins,4 ,4,172,6g,3g,58mg,561mg,25g,1g,4g,7g,2mg,129mg,1mg,91mg,4.9,17,,,5 mins
32,6599618,Mini Chocolate Chip Pancakes,10 mins,20 mins,,30 mins,3 ,3,456,20g,12g,89mg,613mg,63g,3g,,10g,0mg,308mg,4mg,297mg,4.4,75,,6 pancakes,
33,6582889,100% Whole Wheat Pancakes,10 mins,20 mins,,30 mins,4 ,4,410,15g,3g,99mg,875mg,57g,7g,13g,16g,1mg,329mg,3mg,485mg,4.7,211,,,
