,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Soak Time:,Yield:
43,6591777, 2 hrs,20 mins,, 2 hrs 20 mins,12 ,12,404,4g,2g,5mg,406mg,78g,4g,1g,13g,,25mg,5mg,212mg,5.0,4,,4 flatbreads
44,6590022,30 mins,10 mins,40 mins, 1 hr 20 mins,4 ,4,299,8g,1g,,149mg,50g,2g,1g,7g,0mg,13mg,3mg,121mg,3.0,4,,1 focaccia
45,6663677,45 mins,40 mins, 15 hrs 30 mins, 16 hrs 55 mins,8 ,8,203,2g,0g,,483mg,40g,2g,,6g,,,,63mg,5.0,1,,2 fougasse
46,6598518,25 mins,20 mins, 5 hrs, 5 hrs 45 mins,8 ,8,270,12g,2g,0mg,479mg,34g,2g,1g,6g,3mg,23mg,6mg,122mg,5.0,1,,1 12x16-inch focaccia
47,6566272,30 mins,25 mins, 1 hr 25 mins, 2 hrs 20 mins,12 ,12,289,4g,2g,8mg,602mg,53g,2g,4g,9g,0mg,60mg,3mg,168mg,5.0,2,,12 flatbreads
48,6577026,25 mins,5 mins, 1 hr 25 mins, 1 hr 55 mins,8 ,8,113,11g,7g,,684mg,4g,1g,1g,1g,,36mg,0mg,30mg,4.5,2,,8 pieces
49,6577180,15 mins,15 mins,45 mins, 1 hr 15 mins,10 ,10,93,8g,4g,17mg,501mg,4g,0g,4g,3g,0mg,77mg,0mg,53mg,4.9,50,,10 servings
50,6651196,10 mins,20 mins,,30 mins,12 ,12,144,8g,1g,,337mg,16g,1g,,3g,,,,25mg,,,,1 9x13-inch focaccia
51,6580554, 3 hrs 30 mins,35 mins,, 4 hrs 5 mins,4 ,4,377,8g,1g,,295mg,63g,2g,0g,11g,,15mg,4mg,99mg,4.5,4,,1 - 8x8 inch loaf
52,6569497,30 mins,6 mins,30 mins, 1 hr 6 mins,6 ,6,222,6g,1g,,393mg,36g,2g,1g,5g,3mg,21mg,2mg,109mg,3.0,2,,6 pancakes
53,6562086,30 mins,10 mins, 2 hrs 10 mins, 2 hrs 50 mins,40 ,40,113,2g,0g,0mg,119mg,20g,1g,0g,3g,,5mg,1mg,43mg,5.0,1,,40 small flatbreads
54,6567630,20 mins,5 mins, 2 hrs 25 mins, 2 hrs 50 mins,10 ,10,124,3g,0g,0mg,122mg,21g,1g,2g,3g,0mg,14mg,1mg,52mg,,,,10 pita breads
55,6606445,30 mins,25 mins, 2 hrs 35 mins, 3 hrs 30 mins,12 ,12,386,12g,2g,,1296mg,59g,4g,4g,10g,16mg,43mg,4mg,405mg,,,,1 9x13-inch focaccia
56,6574522,20 mins,15 mins, 9 hrs 30 mins, 10 hrs 5 mins,6 ,6,322,19g,3g,,404mg,34g,2g,0g,5g,1mg,62mg,6mg,92mg,4.7,7,,1 9x13-inch flatbread
57,6594712, 2 hrs,40 mins,, 2 hrs 40 mins,12 ,12,315,21g,10g,99mg,680mg,25g,2g,2g,8g,7mg,66mg,2mg,219mg,4.5,4,,1 baking sheet
58,6579091, 2 hrs,20 mins,, 2 hrs 20 mins,16 ,16,83,2g,0g,,219mg,15g,1g,0g,3g,,10mg,1mg,34mg,4.3,22,,2 loaves
59,6648338,20 mins,25 mins, 1 hr 5 mins, 1 hr 50 mins,8 ,8,229,4g,1g,4mg,398mg,41g,2g,5g,7g,0mg,77mg,3mg,94mg,4.0,1,,8 servings
