,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Cholesterol
20,6649618,10 mins,20 mins,,30 mins,8 ,8,45,0g,0g,193mg,10g,4g,5g,2g,55mg,67mg,3mg,280mg,4.6,67,,
21,6568751,10 mins,20 mins,,30 mins,6 ,6,66,1g,0g,312mg,13g,4g,5g,3g,34mg,105mg,3mg,468mg,4.5,60,,
22,6582587,20 mins,,,20 mins,6 ,6,27,0g,,19mg,7g,2g,3g,1g,28mg,34mg,0mg,166mg,4.6,75,,
23,6586450,10 mins,35 mins,,45 mins,8 ,8,131,2g,0g,120mg,21g,5g,2g,8g,27mg,98mg,3mg,595mg,4.7,"1,049",,0mg
24,6650820,20 mins,, 3 hrs 45 mins, 4 hrs 5 mins,8 ,8,69,0g,,26mg,17g,2g,14g,1g,67mg,19mg,1mg,175mg,4.8,37,,
25,6587315,20 mins,35 mins,,55 mins,8 ,8,152,2g,1g,128mg,28g,5g,4g,7g,107mg,78mg,2mg,822mg,5.0,9,12 cups,2mg
26,6738070,10 mins,1 mins,,11 mins,2 ,2,33,0g,0g,9mg,7g,2g,5g,2g,23mg,19mg,1mg,437mg,4.5,19,2 servings,
27,6649691,10 mins,20 mins,,30 mins,4 ,4,120,4g,0g,153mg,20g,3g,1g,2g,22mg,15mg,1mg,485mg,4.7,38,,
28,6663636,15 mins,25 mins,,40 mins,20 ,20,63,0g,,60mg,17g,2g,14g,0g,5mg,11mg,0mg,93mg,4.9,47,5 quarts,
29,6585275,5 mins,10 mins,,15 mins,3 ,3,32,0g,0g,161mg,6g,3g,3g,3g,9mg,36mg,3mg,316mg,4.7,395,3 servings,
30,6663662,10 mins,15 mins,,25 mins,5 ,5,100,1g,0g,8mg,24g,4g,5g,2g,43mg,98mg,1mg,719mg,4.6,7,,
31,6650238,5 mins,,,5 mins,2 ,2,126,0g,0g,27mg,30g,3g,18g,3g,10mg,83mg,0mg,518mg,3.0,5,2 servings,1mg
32,6574904,5 mins,20 mins,5 mins,30 mins,4 ,4,64,0g,,413mg,15g,7g,2g,4g,19mg,62mg,2mg,490mg,4.0,21,,
33,6597622,10 mins,15 mins,,25 mins,4 ,4,49,1g,0g,448mg,8g,2g,3g,3g,21mg,16mg,1mg,340mg,4.3,37,4 servings,
34,6584298,15 mins, 2 hrs,, 2 hrs 15 mins,10 ,10,65,0g,0g,144mg,11g,5g,2g,5g,7mg,17mg,1mg,274mg,4.4,86,10 servings,
35,6737361,10 mins,30 mins,,40 mins,8 ,8,135,5g,1g,289mg,21g,5g,1g,4g,7mg,51mg,2mg,218mg,4.3,726,8 servings,
36,6604547,5 mins,25 mins,,30 mins,4 ,4,78,1g,0g,14mg,17g,2g,3g,3g,6mg,2mg,1mg,243mg,4.7,104,4 ears,
37,6596053,5 mins,35 mins,10 mins,50 mins,7 ,7,118,1g,0g,2mg,22g,5g,1g,8g,,43mg,2mg,514mg,5.0,4,3 1/2 cups,
38,6737349,15 mins,10 mins,,25 mins,6 ,6,91,3g,0g,108mg,15g,3g,0g,5g,164mg,185mg,2mg,615mg,4.5,427,6 servings,
39,6584260,15 mins,, 8 hrs, 8 hrs 15 mins,10 ,10,93,2g,0g,359mg,9g,2g,1g,10g,6mg,37mg,2mg,207mg,4.4,82,10 servings,23mg
40,6592675,30 mins,10 mins,,40 mins,9 ,9,101,1g,0g,34mg,22g,6g,15g,5g,66mg,62mg,2mg,1213mg,4.6,79,7 pints,
41,6587684,,,,,5 ,5,103,4g,1g,267mg,16g,5g,4g,4g,20mg,40mg,2mg,278mg,4.1,119,4 to 6 servings,
42,6593543,30 mins,45 mins,, 1 hr 15 mins,6 ,6,143,5g,1g,95mg,21g,4g,5g,3g,18mg,57mg,2mg,538mg,4.5,171,6 servings,
43,6664936,10 mins,25 mins,,35 mins,4 ,4,95,2g,0g,264mg,19g,3g,4g,3g,14mg,92mg,1mg,252mg,4.1,35,4 servings,
44,6602117,5 mins,15 mins,10 mins,30 mins,4 ,4,171,3g,1g,297mg,33g,5g,5g,5g,2mg,17mg,2mg,43mg,4.3,22,4 servings,
45,6573955,10 mins,,,10 mins,6 ,6,45,0g,,1mg,11g,4g,6g,1g,28mg,17mg,0mg,128mg,4.6,22,6 servings,
46,6572856,5 mins,20 mins,,25 mins,4 ,4,110,1g,0g,11mg,24g,2g,0g,3g,,2mg,1mg,88mg,4.3,92,4 servings,
47,6602350,15 mins,25 mins,,40 mins,12 ,12,98,3g,1g,216mg,17g,1g,2g,3g,1mg,81mg,2mg,60mg,3.8,11,1 dozen muffins,16mg
48,6605919,5 mins,30 mins,,35 mins,3 ,3,173,3g,,90mg,31g,3g,13g,4g,,117mg,0mg,111mg,4.2,86,3 servings,
49,6601451,20 mins,5 mins,20 mins,45 mins,4 ,4,50,0g,0g,47mg,11g,5g,6g,2g,57mg,92mg,1mg,346mg,4.4,35,3 cups,
50,6589713,15 mins,17 mins, 2 hrs, 2 hrs 32 mins,18 ,18,101,3g,1g,32mg,17g,3g,2g,2g,8mg,65mg,2mg,154mg,4.7,3,18 tortillas,
51,6577253,10 mins,,,10 mins,4 ,4,43,1g,0g,192mg,9g,3g,3g,2g,29mg,118mg,2mg,395mg,4.4,24,4 servings,
52,6576542,10 mins,10 mins, 4 hrs, 4 hrs 20 mins,4 ,4,89,0g,,236mg,22g,2g,19g,1g,6mg,21mg,2mg,184mg,4.8,100,4 servings,
53,6575972,5 mins,10 mins,,15 mins,6 ,6,77,1g,0g,153mg,12g,2g,3g,5g,0mg,69mg,1mg,131mg,4.1,21,6 servings,1mg
54,6580664,20 mins,, 1 hr, 1 hr 20 mins,10 ,10,42,0g,0g,139mg,10g,4g,5g,2g,51mg,55mg,1mg,310mg,4.3,17,10 servings,
55,6576700,10 mins,3 mins,,13 mins,2 ,2,72,1g,0g,271mg,12g,2g,2g,4g,3mg,31mg,3mg,82mg,4.8,65,2 servings,
56,6588668,25 mins,40 mins,, 1 hr 5 mins,48 ,48,70,2g,0g,27mg,12g,1g,5g,1g,0mg,20mg,1mg,49mg,4.4,413,4 dozen,12mg
57,6605646,5 mins,10 mins,,15 mins,4 ,4,112,1g,0g,63mg,13g,2g,3g,13g,25mg,64mg,1mg,585mg,4.1,31,4 servings,21mg
