,id_recipe,name,Prep Time:,Cook Time:,Rest Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
49,6588266,Easy Roasted Vegetable Lasagna,35 mins,35 mins,, 1 hr 20 mins,10 ,10,410,15g,7g,38mg,1184mg,48g,6g,17g,22g,30mg,509mg,3mg,830mg,4.8,88,10 mins,1 9x13-inch lasagna
50,6588850,Leftover Spaghetti Lasagna,15 mins,40 mins,,55 mins,6 ,6,560,17g,8g,49mg,1476mg,70g,6g,19g,32g,3mg,542mg,3mg,748mg,4.5,67,,6 servings
51,6739854,Instant Pot Lasagna,15 mins,35 mins,, 1 hr,4 ,4,756,41g,21g,135mg,1600mg,46g,4g,11g,51g,6mg,570mg,5mg,750mg,4.6,29,10 mins,
52,6592228,Easy Spinach Lasagna with White Sauce,,,,,9 ,9,492,34g,14g,81mg,1048mg,31g,3g,7g,20g,4mg,296mg,2mg,427mg,4.4,252,,9 servings
53,6572899,Kim's Lasagna,15 mins, 2 hrs 15 mins,, 2 hrs 45 mins,10 ,10,594,29g,14g,115mg,1898mg,43g,5g,10g,41g,18mg,647mg,5mg,1008mg,4.7,114,15 mins,1 9x13-inch pan
54,6601323,Pasta Lasagna,10 mins,50 mins,, 1 hr,5 ,5,644,27g,14g,127mg,1087mg,59g,5g,15g,40g,3mg,681mg,4mg,806mg,4.4,494,,5 servings
55,6579483,Zucchini Lasagna With Beef and Sausage,30 mins, 1 hr 45 mins,, 2 hrs 25 mins,8 ,8,386,21g,10g,112mg,1712mg,23g,4g,14g,29g,38mg,540mg,4mg,1067mg,4.7,78,10 mins,8 servings
56,6579731,Johnsonville® Italian Sausage Lasagna,35 mins,45 mins,, 1 hr 20 mins,6 ,6,889,43g,20g,159mg,1866mg,71g,7g,18g,52g,8mg,825mg,4mg,935mg,4.5,73,,6 servings
57,6737788,Lasagna Cupcakes,15 mins,25 mins,,45 mins,12 ,12,200,9g,5g,35mg,495mg,14g,1g,2g,14g,1mg,312mg,1mg,153mg,4.6,96,5 mins,
58,6739419,Bettie's Lasagna Roll Ups,30 mins,30 mins,, 1 hr,12 ,12,455,19g,9g,48mg,775mg,42g,5g,8g,31g,3mg,852mg,3mg,541mg,4.6,390,,12 servings
59,6573793,Creamy Potato Lasagna,25 mins, 1 hr 10 mins,, 1 hr 45 mins,8 ,8,373,16g,10g,56mg,773mg,39g,6g,4g,20g,55mg,331mg,2mg,937mg,4.2,151,10 mins,
60,6737709,Pesto Polenta Lasagna,10 mins,30 mins,,40 mins,8 ,8,179,9g,3g,12mg,515mg,17g,2g,5g,8g,2mg,176mg,1mg,193mg,4.4,298,,
