,id_recipe,name,Prep Time:,Chill Time:,Bake Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Cook Time:,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron
23,6596196,Gingerbread Pizzelle,20 mins,,,,22 mins,60 ,5 dozen,60,86,4g,2g,27mg,63mg,12g,1g,2g,64mg,2.0,2,2 mins,,6g,0mg,29mg,1mg
24,6589858,Basic Gingersnap Cookies,15 mins,,,, 1 hr 53 mins,36 ,6 dozen cookies,36,176,6g,3g,24mg,147mg,29g,1g,3g,175mg,4.7,12,8 mins, 1 hr 30 mins,11g,0mg,36mg,2mg
25,6584749,Gluten-Free Gingersnaps,20 mins,,,,40 mins,36 ,36 cookies,36,95,4g,1g,5mg,120mg,14g,1g,1g,58mg,3.5,4,15 mins,5 mins,10g,,34mg,0mg
26,6598707,Gingerbread Cookies with Orange Buttercream Frosting,20 mins,,,, 1 hr 20 mins,24 ,2 dozen cookies,24,353,16g,10g,48mg,334mg,51g,1g,3g,252mg,3.0,1,20 mins,40 mins,32g,1mg,51mg,2mg
27,6599619,Healthier Big Soft Ginger Cookies,15 mins,,,,40 mins,24 ,2 dozen,24,135,6g,4g,23mg,83mg,19g,1g,2g,90mg,4.2,19,10 mins,15 mins,10g,,15mg,1mg
28,6592804,Oma's Ginger Cookies,10 mins,,,,25 mins,24 ,24 cookies,24,139,6g,4g,22mg,227mg,20g,0g,1g,68mg,,,15 mins,,11g,0mg,13mg,1mg
29,6579417,Gingerbread Cookies with Cream Cheese Frosting,30 mins,,,, 1 hr 45 mins,30 ,30 cookies,30,94,3g,2g,14mg,97mg,15g,0g,2g,79mg,4.0,2,15 mins, 1 hr,7g,0mg,18mg,1mg
30,6564089,Classic Gingerbread Cookies,20 mins,,,,50 mins,30 ,30 cookies,30,97,3g,2g,14mg,31mg,16g,0g,1g,67mg,,,30 mins,,9g,,12mg,1mg
31,6649671,Gingerbread People, 1 hr,,,, 1 hr 30 mins,36 ,3 dozen,36,142,5g,3g,19mg,112mg,23g,0g,1g,25mg,3.9,28,6 mins,24 mins,15g,,6mg,1mg
32,6584437,Gluten-Free Vegan Gingerbread Cookies,10 mins,,,,58 mins,18 ,18 cookies,18,107,7g,2g,,166mg,11g,1g,2g,27mg,3.0,2,8 mins,40 mins,7g,,8mg,0mg
33,6581294,Gingerbread Straws,,,,,,56 ,56 cookies,56,84,3g,2g,7mg,69mg,15g,0g,1g,82mg,4.0,9,,,7g,,16mg,1mg
34,6591882,Orange-Gingerbread Cheesecake Bars,40 mins,,,, 1 hr 15 mins,20 ,20 cheesecake bars,20,258,13g,8g,65mg,183mg,31g,1g,4g,189mg,5.0,2,35 mins,,18g,0mg,52mg,2mg
35,6584842,Spiced Cutouts,,,,,,54 ,9 dozen,54,83,4g,2g,13mg,73mg,12g,0g,1g,22mg,4.7,20,,,6g,1mg,6mg,0mg
36,6573137,Basic Gingerbread Cookies,25 mins,,,,45 mins,25 ,25 cookies,25,134,6g,3g,15mg,131mg,20g,0g,1g,28mg,,,15 mins,5 mins,12g,,9mg,1mg
37,6565577,Gingerbread Crinkle Cookies,30 mins,,,, 2 hrs 55 mins,24 ,24 cookies,24,192,6g,4g,15mg,95mg,34g,1g,2g,184mg,,,15 mins, 2 hrs 10 mins,19g,0mg,36mg,1mg
38,6573912,Grandpa's Easy Vegan Gingerbread Cookies,30 mins,,,,55 mins,36 ,36 cookies,36,157,2g,1g,1mg,142mg,32g,1g,2g,233mg,5.0,2,15 mins,10 mins,14g,0mg,38mg,2mg
39,6572717,Gingerbread Men Cookies with Nutella® hazelnut spread,45 mins,,,, 2 hrs 10 mins,20 ,20 gingerbread men cookies,20,123,5g,2g,16mg,60mg,18g,1g,2g,18mg,4.5,2,9 mins, 1 hr 16 mins,11g,0mg,6mg,1mg
40,6571854,Ginger Cookies with Orange Glaze,30 mins,,,,43 mins,24 ,24 large cookies,24,203,8g,1g,8mg,185mg,31g,0g,2g,82mg,3.0,1,8 mins,5 mins,21g,,20mg,1mg
41,6649584,Cranberry-Ginger Linzer Torte Cookies,30 mins,,,, 2 hrs 25 mins,24 ,24 cookies,24,282,12g,7g,31mg,57mg,43g,1g,2g,55mg,3.0,1,50 mins, 1 hr 5 mins,27g,12mg,20mg,1mg
42,6604855,Vegan Gingerbread Cookies with Soy Milk,15 mins,,,,30 mins,36 ,36 cookies,36,134,4g,1g,,71mg,24g,0g,1g,94mg,,,15 mins,,13g,,24mg,1mg
43,6600514,Monika's Oma's Lebkuchen Men,20 mins,,,, 3 hrs,30 ,30 gingerbread cookies,30,160,9g,2g,13mg,68mg,19g,2g,3g,102mg,4.0,1,15 mins, 2 hrs 25 mins,12g,,38mg,1mg
44,6572925,Peanut-Ginger Double-Deckers,25 mins,,,,45 mins,12 ,2 dozen,12,435,19g,11g,73mg,262mg,62g,1g,6g,234mg,4.8,8,20 mins,,34g,1mg,48mg,2mg
45,6572491,Chocolate-Gingerbread Cookies,20 mins,,,, 2 hrs 55 mins,24 ,2 dozen cookies,24,142,7g,4g,10mg,56mg,20g,1g,2g,80mg,1.0,1,10 mins, 2 hrs 25 mins,13g,,15mg,1mg
46,6648792,White Chocolate Gingersnaps,15 mins,,,,45 mins,60 ,60 gingersnaps,60,161,8g,2g,1mg,98mg,23g,0g,1g,90mg,,,25 mins,5 mins,,1mg,26mg,1mg
47,6568288,Becel Anything Goes Cookie Dough Festive Gingerbread Cookie Bars,10 mins,,,,44 mins,30 ,30 bars,30,156,8g,1g,13mg,156mg,19g,1g,2g,49mg,4.0,2,24 mins,10 mins,11g,0mg,15mg,1mg
48,6562966,Aunt Mabel's Super Easy Gingerbread Cookies,15 mins,,,,45 mins,9 ,1 9-inch square pan,9,481,14g,1g,41mg,358mg,84g,2g,6g,625mg,,,30 mins,,45g,0mg,132mg,4mg
49,6737616,Gingerbread Cookies,30 mins,,,, 1 hr 40 mins,30 ,about 2 1/2 dozen,30,88,3g,1g,7mg,103mg,14g,0g,1g,93mg,4.6,"1,484",10 mins, 1 hr,6g,0mg,19mg,1mg
50,6589155,Gingerbread Folk,,,,,,15 ,30 cookies,15,270,7g,4g,29mg,137mg,50g,1g,3g,78mg,3.6,7,,,31g,0mg,21mg,1mg
51,6567922,Gingerbread Chocolate Chunk Cookies,15 mins,,,, 2 hrs 45 mins,48 ,4 dozen cookies,48,99,6g,4g,10mg,55mg,11g,1g,1g,59mg,,,10 mins, 2 hrs 20 mins,7g,,10mg,1mg
