,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:,Active Time:,Chill Time:,Cool Time:
12,7091238,Cold Green Bean Salad with Lemon Vinaigrette,15 mins,3 mins,18 mins,4 ,4,170,12g,4g,11mg,111mg,10g,5g,,6g,,,,300mg,4.5,2,,,,,
13,6891719,TikTok Green Goddess Salad,,,15 mins,8 ,8,56,3g,0g,,12mg,7g,3g,,3g,,,,265mg,4.0,1,,,15 mins,,
14,6822450,Romaine Salad with Orange and Olives,10 mins,,10 mins,4 ,4,314,26g,4g,,306mg,18g,6g,,6g,,,,798mg,5.0,1,,,,,
15,7563288,Pimento Salad,10 mins,5 mins,45 mins,8 ,8,136,4g,2g,10mg,229mg,24g,1g,21g,3g,18mg,73mg,1mg,154mg,,,,,,,30 mins
16,7511300,"Celebrate Summer with Watermelon, Feta, and Mint Salad",15 mins,,15 mins,4 ,4,273,20g,6g,25mg,422mg,21g,1g,17g,6g,23mg,162mg,1mg,320mg,4.3,3,,,,,
17,6825452,Roasted Cauliflower Salad,10 mins,15 mins,30 mins,5 ,5,359,29g,5g,16mg,534mg,22g,4g,,6g,,,,548mg,4.7,3,,,,,5 mins
18,6738552,Bodacious Broccoli Salad,15 mins,15 mins,30 mins,12 ,12,273,24g,8g,35mg,543mg,7g,2g,3g,8g,45mg,153mg,1mg,235mg,4.6,"1,703",,,,,
19,6737537,Jamie's Cranberry Spinach Salad,10 mins,5 mins,15 mins,8 ,8,338,24g,3g,4mg,58mg,30g,4g,23g,5g,16mg,127mg,3mg,423mg,4.8,"4,376",,,,,
20,6568495,Roasted Beet Salad with Feta,15 mins,45 mins, 1 hr 15 mins,4 ,4,149,10g,3g,14mg,243mg,11g,2g,7g,4g,7mg,98mg,1mg,327mg,4.7,427,15 mins,,,,
21,6599605,Waldorf Salad,20 mins,,20 mins,6 ,6,248,20g,3g,8mg,174mg,17g,3g,12g,2g,5mg,24mg,0mg,190mg,4.7,383,,,,,
22,6651026,Best Homemade Caesar Salad Dressing,20 mins,15 mins,35 mins,6 ,6,384,34g,6g,18mg,549mg,16g,2g,2g,6g,16mg,126mg,2mg,212mg,4.8,"1,900",,,,,
23,6650948,Hot German Potato Salad,10 mins,50 mins, 1 hr,12 ,12,205,7g,2g,10mg,512mg,33g,3g,4g,4g,11mg,17mg,1mg,518mg,4.6,983,,,,,
24,6650128,Best Chicken Salad,5 mins,5 mins,10 mins,2 ,2,779,63g,9g,126mg,403mg,8g,3g,2g,44g,4mg,100mg,3mg,572mg,4.6,781,,,,,
25,6738780,Sweet Restaurant Slaw,15 mins,, 2 hrs 15 mins,8 ,8,200,12g,2g,11mg,253mg,23g,1g,15g,1g,19mg,29mg,0mg,108mg,4.8,"3,334", 2 hrs,,,,
26,6664591,Classic Macaroni Salad,20 mins,10 mins, 4 hrs 30 mins,10 ,10,390,19g,3g,8mg,529mg,49g,3g,16g,7g,13mg,21mg,2mg,134mg,4.4,"2,821", 4 hrs,,,,
27,6650403,Dad's Creamy Cucumber Salad,10 mins,, 2 hrs 10 mins,8 ,8,320,33g,5g,16mg,897mg,7g,1g,3g,1g,4mg,21mg,8mg,153mg,4.7,460, 2 hrs,,,,
28,6649982,Delicious Egg Salad for Sandwiches,10 mins,15 mins,35 mins,4 ,4,344,32g,6g,383mg,351mg,2g,0g,1g,13g,1mg,61mg,2mg,160mg,4.7,"2,223",10 mins,,,,
29,6649364,Greek Orzo Salad,15 mins,10 mins, 1 hr 25 mins,6 ,6,326,10g,4g,22mg,615mg,49g,5g,5g,13g,22mg,157mg,2mg,233mg,4.5,648, 1 hr,,,,
30,6583533,Coronation Chicken,20 mins,40 mins, 2 hrs,6 ,6,476,30g,5g,70mg,302mg,28g,2g,19g,27g,22mg,35mg,2mg,452mg,4.7,39, 1 hr,,,,
31,6648727,Pasta Salad,20 mins,10 mins, 8 hrs 30 mins,6 ,6,400,25g,4g,3mg,1904mg,39g,4g,8g,8g,79mg,54mg,3mg,298mg,4.6,321, 8 hrs,,,,
32,6663936,Watermelon Feta Salad,20 mins,,20 mins,8 ,8,131,8g,3g,13mg,284mg,12g,1g,9g,3g,15mg,96mg,1mg,237mg,4.7,44,,,,,
33,6664089,Cobb Salad,20 mins,10 mins,30 mins,6 ,6,525,40g,10g,179mg,915mg,10g,4g,5g,32g,13mg,153mg,2mg,720mg,4.7,491,,,,,
34,6649729,Perfect Summer Fruit Salad,25 mins,5 mins, 3 hrs 30 mins,10 ,10,155,1g,0g,,5mg,39g,5g,29g,2g,94mg,45mg,1mg,451mg,4.6,583, 3 hrs,,,,
35,6648682,Authentic German Potato Salad,15 mins,25 mins,40 mins,4 ,4,183,4g,1g,10mg,796mg,32g,2g,11g,5g,10mg,16mg,1mg,426mg,4.7,"1,598",,,,,
36,6663171,Old-Fashioned Potato Salad,15 mins,15 mins, 1 hr,8 ,8,206,8g,2g,72mg,335mg,31g,4g,6g,6g,28mg,37mg,2mg,647mg,4.5,"1,343",,8 servings,,30 mins,
37,6651034,Seven Layer Salad,15 mins,10 mins,25 mins,12 ,12,387,33g,10g,51mg,667mg,10g,2g,6g,15g,11mg,243mg,1mg,264mg,4.7,699,,,,,
38,6664449,"Marinated Cucumber, Onion, and Tomato Salad",15 mins,, 2 hrs 15 mins,6 ,6,156,10g,2g,,784mg,18g,3g,12g,2g,15mg,37mg,1mg,394mg,4.7,767, 2 hrs,,,,
39,6588360,Grilled Asparagus Salad,10 mins,5 mins,15 mins,6 ,6,110,10g,2g,2mg,50mg,3g,2g,1g,3g,13mg,61mg,2mg,264mg,4.6,78,,,,,
40,6739448,Turkey Salad,20 mins,, 8 hrs 20 mins,24 ,24,40,2g,0g,11mg,78mg,1g,0g,0g,4g,4mg,6mg,0mg,60mg,4.6,187, 8 hrs,3 cups,,,
41,6738034,Peach and Tomato Caprese Salad,15 mins,,15 mins,4 ,4,254,19g,9g,45mg,569mg,8g,1g,7g,11g,33mg,341mg,1mg,237mg,4.7,19,,,,,
42,6579634,Creamy Avocado Chicken Salad,10 mins,,10 mins,4 ,4,217,15g,5g,49mg,197mg,7g,4g,1g,15g,6mg,51mg,1mg,413mg,4.6,17,,,,,
43,6786854,Oregon Fall Salad,20 mins,,20 mins,2 ,2,458,35g,7g,23mg,334mg,30g,10g,17g,13g,31mg,286mg,6mg,857mg,4.5,2,,,,,
44,6650752,Pasta Salad with Homemade Dressing,30 mins,15 mins,45 mins,8 ,8,443,32g,10g,39mg,836mg,25g,4g,3g,16g,35mg,242mg,3mg,259mg,4.7,276,,,,,
45,6576814,Classic Caesar Salad,20 mins,,20 mins,2 ,2,362,33g,6g,116mg,587mg,10g,2g,2g,8g,26mg,171mg,2mg,308mg,4.6,81,,,,,
46,6587601,Greek-Style Chicken Salad,30 mins,, 2 hrs,4 ,4,385,22g,9g,115mg,1327mg,9g,1g,5g,37g,9mg,188mg,2mg,436mg,4.8,6, 1 hr 30 mins,,,,
47,6664230,Three Bean Salad,15 mins,, 12 hrs 15 mins,16 ,16,112,5g,1g,,299mg,16g,2g,11g,2g,2mg,20mg,1mg,12mg,4.6,304, 12 hrs,,,,
48,6737319,Black Bean and Corn Salad,25 mins,,25 mins,6 ,6,391,25g,3g,,830mg,35g,12g,4g,11g,45mg,71mg,4mg,468mg,4.7,"1,967",,,,,
49,6575247,Weeknight Skillet Slaw,15 mins,10 mins,25 mins,4 ,4,302,18g,4g,88mg,682mg,13g,2g,2g,24g,40mg,82mg,3mg,414mg,4.5,158,,4 servings,,,
50,6664146,Beet Salad with Goat Cheese,10 mins,30 mins,40 mins,6 ,6,348,26g,5g,8mg,108mg,25g,3g,21g,5g,43mg,86mg,2mg,558mg,4.7,568,,,,,
51,6738737,Ham Salad,15 mins,,15 mins,12 ,12,230,22g,5g,57mg,579mg,1g,0g,1g,8g,12mg,10mg,1mg,124mg,4.7,215,,,,,
52,6650323,Authentic Russian Salad 'Olivye',30 mins,20 mins,50 mins,10 ,10,261,12g,3g,82mg,1307mg,31g,5g,4g,8g,33mg,43mg,2mg,757mg,4.9,17,,,,,
53,6664101,Green Salad,15 mins,15 mins,30 mins,8 ,8,47,2g,0g,3mg,163mg,5g,2g,2g,3g,22mg,45mg,1mg,303mg,4.7,18,,,,,
54,6738941,Caprese Salad with Balsamic Reduction,15 mins,10 mins,25 mins,4 ,4,580,39g,18g,89mg,331mg,35g,2g,32g,22g,19mg,692mg,2mg,400mg,4.7,192,,,,,
55,6589426,Quick Italian Pasta Salad,15 mins,10 mins,25 mins,12 ,12,371,21g,7g,46mg,1893mg,29g,2g,5g,15g,11mg,61mg,2mg,210mg,4.7,159,,,,,
56,6739820,Frog Eye Salad,15 mins,20 mins, 9 hrs 35 mins,10 ,10,581,11g,7g,37mg,648mg,114g,4g,75g,9g,30mg,55mg,3mg,388mg,4.6,281, 9 hrs,,,,
57,6737902,Strawberry Spinach Salad,10 mins,, 1 hr 20 mins,4 ,4,491,35g,5g,,63mg,43g,6g,34g,6g,110mg,191mg,4mg,725mg,4.8,"2,974", 1 hr 10 mins,,,,
58,6595246,Watermelon Cucumber Salad,15 mins,,25 mins,10 ,10,203,7g,3g,13mg,172mg,36g,2g,29g,5g,39mg,110mg,1mg,529mg,4.6,78,10 mins,,,,
59,6604700,Greek Pasta Salad,20 mins,10 mins, 3 hrs 30 mins,8 ,8,307,24g,5g,14mg,258mg,19g,2g,3g,5g,37mg,104mg,1mg,200mg,4.7,398, 3 hrs,,,,
60,6592700,Best Vinegar Coleslaw,15 mins,5 mins, 2 hrs 20 mins,8 ,8,224,9g,1g,0mg,352mg,35g,3g,30g,2g,60mg,90mg,1mg,339mg,4.7,522, 2 hrs,,,,
61,6663934,Napa Cabbage Salad,15 mins,15 mins,30 mins,6 ,6,632,51g,12g,27mg,653mg,40g,6g,22g,9g,60mg,262mg,3mg,732mg,4.7,426,,,,,
62,6650742,Simple Pasta Salad,15 mins,15 mins, 1 hr,12 ,12,289,14g,3g,8mg,764mg,35g,4g,7g,10g,13mg,153mg,2mg,324mg,4.6,171,30 mins,,,,
