,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Cool Time:,Additional Time:
17,6650569,15 mins,10 mins,25 mins,24 ,2 dozen,24,147,6g,4g,19mg,64mg,22g,1g,15g,2g,,23mg,0mg,19mg,4.7,"1,444",,,
18,6665059,20 mins,15 mins,35 mins,48 ,48 cookies,48,110,5g,3g,14mg,67mg,16g,1g,11g,1g,2mg,7mg,0mg,26mg,4.7,"1,312",,,
19,6648944,20 mins,10 mins,30 mins,6 ,6 sandwich cookies,6,873,46g,12g,65mg,527mg,110g,3g,75g,9g,0mg,115mg,3mg,200mg,4.3,157,,,
20,6739397,10 mins,10 mins,20 mins,36 ,36 cookies,36,87,4g,1g,14mg,107mg,12g,0g,7g,1g,,8mg,0mg,16mg,4.6,"1,892",,,
21,6649247,15 mins,10 mins,25 mins,24 ,24 cookies,24,560,28g,22g,72mg,397mg,64g,2g,42g,13g,,19mg,2mg,112mg,4.7,766,,,
22,6603320,20 mins,10 mins,30 mins,48 ,48 cookies,48,119,5g,3g,15mg,81mg,16g,1g,10g,1g,,8mg,0mg,41mg,4.5,667,,,
23,6604563,15 mins,20 mins,40 mins,24 ,24 cookies,24,98,3g,1g,,188mg,17g,1g,10g,2g,1mg,16mg,1mg,63mg,4.4,352,,,5 mins
24,6569320,10 mins,15 mins,25 mins,12 ,12 cookies,12,166,6g,3g,24mg,186mg,26g,1g,12g,3g,2mg,9mg,1mg,104mg,4.8,64,,,
25,6663969,15 mins,15 mins,30 mins,36 ,3 dozen,36,105,5g,2g,12mg,83mg,15g,1g,,2g,0mg,8mg,1mg,55mg,4.6,123,,,
26,6650854,15 mins,10 mins,25 mins,48 ,48 cookies,48,120,7g,2g,8mg,152mg,13g,1g,8g,2g,,9mg,0mg,55mg,4.6,"3,122",,,
27,6651093,30 mins,10 mins,40 mins,18 ,3 dozen,18,425,22g,4g,21mg,295mg,56g,2g,38g,3g,1mg,56mg,2mg,117mg,4.7,505,,,
28,6663111,15 mins,15 mins,30 mins,36 ,36 cookies,36,170,11g,7g,27mg,86mg,16g,0g,6g,2g,1mg,6mg,1mg,57mg,4.0,39,,,
29,6737821,10 mins,15 mins,25 mins,12 ,12 cookies,12,55,1g,0g,16mg,53mg,10g,1g,3g,2g,2mg,26mg,1mg,110mg,3.9,116,,,
30,6601114,10 mins,10 mins,20 mins,72 ,6 dozen,72,85,5g,3g,12mg,77mg,11g,1g,7g,1g,,5mg,0mg,33mg,4.7,586,,,
31,6580466,5 mins,15 mins,20 mins,24 ,2 dozen,24,168,10g,5g,29mg,199mg,18g,0g,1g,2g,,39mg,0mg,33mg,4.6,607,,,
32,6736540,10 mins,15 mins,25 mins,24 ,2 dozen,24,111,8g,5g,20mg,55mg,10g,0g,3g,1g,,4mg,0mg,11mg,4.3,"1,514",,,
33,6664935,20 mins,5 mins,40 mins,18 ,3 dozen,18,118,5g,3g,14mg,92mg,18g,0g,9g,1g,1mg,2mg,2mg,7mg,4.3,182,,,15 mins
34,6663429,10 mins,15 mins,25 mins,24 ,4 dozen,24,238,9g,5g,36mg,234mg,39g,1g,24g,3g,0mg,32mg,1mg,101mg,4.7,739,,,
35,6738461,15 mins,5 mins,20 mins,24 ,4 dozen,24,173,7g,1g,0mg,71mg,25g,2g,18g,3g,,16mg,1mg,92mg,4.6,"2,419",,,
36,6739748,15 mins,10 mins,30 mins,30 ,5 dozen,30,256,14g,7g,29mg,141mg,32g,2g,20g,4g,0mg,26mg,1mg,125mg,4.8,576,,,5 mins
37,6604188,15 mins,10 mins,30 mins,54 ,4 1/2 dozen,54,113,6g,4g,17mg,78mg,15g,1g,11g,1g,,20mg,0mg,27mg,4.6,668,,,5 mins
38,6649744,15 mins,15 mins,30 mins,48 ,4 dozen,48,122,5g,3g,22mg,84mg,18g,1g,11g,2g,,9mg,1mg,34mg,4.4,353,,,
39,6581883,15 mins,15 mins,30 mins,24 ,4 dozen,24,233,9g,2g,16mg,59mg,36g,1g,20g,3g,0mg,6mg,1mg,37mg,4.2,182,,,
40,6664622,15 mins,10 mins, 1 hr 25 mins,36 ,3 dozen,36,81,3g,1g,5mg,99mg,13g,0g,6g,1g,1mg,5mg,0mg,33mg,4.4,238,,, 1 hr
41,6602318,10 mins,10 mins,20 mins,18 ,3 dozen,18,177,7g,4g,28mg,216mg,26g,0g,18g,3g,,17mg,1mg,34mg,4.3,279,,,
42,6587812,15 mins,20 mins,35 mins,18 ,3 dozen,18,240,11g,7g,48mg,169mg,33g,1g,20g,3g,,23mg,1mg,48mg,4.7,299,,,
43,6594372,10 mins,5 mins,45 mins,25 ,25 cookies,25,85,4g,1g,2mg,59mg,13g,0g,7g,2g,1mg,4mg,1mg,37mg,4.7,89,,,30 mins
44,6577741,15 mins,15 mins,30 mins,42 ,3 1/2 dozen,42,126,7g,3g,21mg,107mg,15g,1g,8g,2g,,15mg,1mg,50mg,4.6,364,,,
45,6573671,15 mins,10 mins,25 mins,72 ,6 dozen,72,126,8g,3g,9mg,71mg,14g,1g,8g,1g,,7mg,1mg,41mg,4.4,51,,,
46,6600865,15 mins,20 mins,45 mins,60 ,5 dozen,60,95,4g,3g,14mg,74mg,14g,1g,9g,1g,,12mg,1mg,33mg,4.6,496,,,10 mins
47,6649170,10 mins,10 mins,20 mins,10 ,10 cookies,10,187,10g,6g,43mg,146mg,22g,1g,15g,2g,0mg,17mg,1mg,42mg,4.4,79,,,
48,6571488,45 mins,15 mins, 1 hr,36 ,6 dozen cookies,36,179,6g,4g,28mg,197mg,27g,0g,16g,3g,0mg,84mg,1mg,38mg,4.5,202,,,
49,6592532,15 mins,25 mins,40 mins,36 ,3 dozen,36,24,0g,0g,0mg,5mg,5g,0g,5g,0g,0mg,1mg,0mg,12mg,4.4,282,,,
50,6601257,,,,36 ,6 dozen,36,223,11g,6g,26mg,166mg,28g,1g,17g,3g,,49mg,1mg,50mg,4.6,843,,,
51,6664287,20 mins, 1 hr 30 mins, 5 hrs,48 ,4 dozen,48,13,,,,9mg,3g,,3g,0g,,0mg,,4mg,4.6,689,,, 3 hrs 10 mins
52,6738007,40 mins,10 mins,50 mins,36 ,3 dozen,36,202,10g,5g,24mg,131mg,26g,1g,13g,2g,,13mg,1mg,39mg,4.8,456,,,
53,6648735,15 mins,12 mins,50 mins,36 ,3 dozen,36,144,6g,3g,17mg,92mg,21g,1g,11g,2g,0mg,15mg,1mg,74mg,4.7,"5,250",,,23 mins
54,6650786,15 mins,15 mins,45 mins,48 ,4 dozen,48,96,4g,1g,4mg,99mg,14g,1g,8g,1g,0mg,12mg,1mg,38mg,4.5,261,,,15 mins
55,6664271,15 mins,10 mins,25 mins,24 ,2 dozen cookies,24,303,14g,4g,16mg,334mg,43g,2g,25g,4g,1mg,63mg,2mg,119mg,4.6,78,,,
56,6569365,20 mins,, 1 hr 30 mins,14 ,,14,319,19g,9g,23mg,206mg,35g,1g,26g,4g,0mg,67mg,1mg,142mg,4.8,45,,, 1 hr 10 mins
57,6594395,,,,18 ,3 dozen,18,315,13g,4g,10mg,215mg,49g,2g,30g,3g,,20mg,1mg,52mg,4.4,33,,,
58,6603744,,,,12 ,2 dozen,12,119,4g,3g,,35mg,21g,1g,20g,1g,,5mg,0mg,66mg,4.2,169,,,
59,6604275,15 mins,15 mins,30 mins,18 ,3 dozen,18,176,8g,2g,10mg,166mg,24g,1g,13g,2g,0mg,26mg,1mg,55mg,4.4,137,,,
60,6601322,20 mins,20 mins,40 mins,12 ,2 dozen,12,222,10g,6g,20mg,174mg,33g,1g,19g,2g,,8mg,1mg,55mg,4.7,144,,,
61,6588505,20 mins,10 mins,30 mins,60 ,5 dozen,60,78,4g,1g,3mg,33mg,11g,0g,6g,1g,0mg,8mg,0mg,43mg,4.5,78,,,
62,6606137,25 mins,10 mins,35 mins,36 ,3 dozen,36,173,9g,6g,26mg,87mg,22g,1g,16g,2g,,40mg,1mg,64mg,4.5,699,,,
