,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Active Time:,Bake Time:,Additional Time:
24,6602012,Busy Day Chicken Rice Casserole,10 mins, 2 hrs, 2 hrs 10 mins,8 ,8,291,6g,1g,73mg,988mg,28g,1g,2g,31g,2mg,41mg,3mg,405mg,4.1,479,8 servings,,,
25,6570011,My Mom's Sausage and Rice Casserole,25 mins, 1 hr 30 mins, 1 hr 55 mins,6 ,6,414,32g,11g,54mg,619mg,20g,1g,2g,12g,18mg,37mg,2mg,294mg,4.4,52,6 servings,,,
26,6737440,Delicious Chicken Casserole,15 mins, 1 hr 15 mins, 1 hr 30 mins,8 ,8,385,26g,13g,79mg,967mg,21g,1g,2g,16g,1mg,61mg,2mg,207mg,4.3,560,8 servings,,,
27,6591222,Chicken Spectacular,15 mins, 1 hr 20 mins, 1 hr 35 mins,10 ,10,317,21g,3g,47mg,776mg,17g,2g,4g,16g,12mg,36mg,2mg,232mg,4.4,124,10 servings,,,
28,6603968,Minnesota Pork Chops,20 mins, 2 hrs, 2 hrs 20 mins,4 ,4,352,14g,5g,56mg,791mg,29g,3g,3g,27g,0mg,37mg,3mg,523mg,4.2,159,4 servings,,,
29,6596302,Seven Layer Casserole,10 mins,45 mins,55 mins,5 ,5,672,38g,14g,64mg,1366mg,63g,8g,6g,19g,42mg,88mg,4mg,1147mg,3.5,20,4 to 6 servings,,,
30,6588194,Brown Rice and Black Bean Casserole,15 mins, 1 hr 35 mins, 1 hr 50 mins,8 ,8,337,21g,12g,77mg,363mg,12g,1g,3g,25g,15mg,500mg,1mg,252mg,4.5,527,8 servings,,,
31,6650541,Chef John's Chicken and Rice Casserole,30 mins, 1 hr, 5 hrs 40 mins,8 ,8,362,15g,5g,72mg,1126mg,32g,1g,3g,24g,4mg,72mg,2mg,265mg,4.9,35,8 servings,,, 4 hrs 10 mins
32,6582484,Granny's Cherokee Casserole,10 mins,30 mins,40 mins,11 ,11,241,15g,7g,46mg,523mg,13g,1g,3g,12g,5mg,101mg,2mg,180mg,4.0,110,,,,
33,6594097,"Chicken, Rice, and Biscuit Casserole",10 mins,40 mins,50 mins,5 ,5,680,28g,12g,96mg,1832mg,68g,1g,7g,37g,0mg,301mg,5mg,463mg,4.6,78,,,,
34,6737548,Oh-So-Good Chicken,,,,5 ,5,357,19g,9g,65mg,718mg,25g,2g,3g,22g,2mg,221mg,2mg,504mg,4.3,750,4 to 6 - servings,,,
35,6599051,Cheesy Turkey Rice Casserole,20 mins,45 mins, 1 hr 5 mins,6 ,6,460,26g,15g,159mg,607mg,28g,2g,8g,29g,18mg,478mg,2mg,493mg,4.1,36,6 servings,,,
36,6599750,Rice Lasagna,20 mins,25 mins,45 mins,8 ,8,461,20g,10g,118mg,975mg,35g,3g,9g,32g,2mg,409mg,3mg,523mg,4.4,55,,,,
37,6600974,"Pork, Broccoli and Rice Casserole",20 mins,45 mins, 1 hr 5 mins,8 ,8,373,18g,4g,76mg,714mg,26g,2g,2g,26g,20mg,58mg,3mg,539mg,4.4,80,,,,
38,6586165,Shrimp and Crab Casserole,10 mins,40 mins, 1 hr,6 ,6,960,68g,11g,249mg,915mg,41g,2g,6g,44g,8mg,234mg,5mg,726mg,4.1,76,1 3-quart casserole,,,10 mins
39,6663225,Spicy Sausage and Rice Casserole,20 mins, 1 hr, 1 hr 20 mins,6 ,6,704,53g,19g,89mg,1557mg,37g,2g,5g,19g,65mg,83mg,4mg,638mg,4.3,284,,,,
40,6576951,Chicken Divine Bake,15 mins, 1 hr 15 mins, 1 hr 30 mins,8 ,8,639,46g,15g,98mg,1112mg,25g,3g,4g,32g,35mg,370mg,3mg,441mg,4.7,10,,,,
41,6574304,Chicken and Rice in Creamy Sauce,15 mins,50 mins, 1 hr 5 mins,12 ,12,578,40g,22g,163mg,642mg,30g,0g,0g,26g,0mg,57mg,1mg,282mg,4.7,11,12 servings,,,
42,6597424,Chicken and Black Bean Casserole,10 mins,55 mins, 1 hr 5 mins,4 ,4,452,9g,5g,51mg,329mg,65g,11g,7g,29g,45mg,145mg,7mg,1322mg,4.0,80,,,,
43,6573663,Crunchy Chicken Casserole with Mayo,15 mins,30 mins,45 mins,8 ,8,689,54g,19g,95mg,868mg,25g,1g,1g,26g,3mg,487mg,2mg,450mg,4.3,81,,,,
44,6586120,Chicken Florentine Rice Casserole,15 mins, 1 hr 20 mins, 1 hr 35 mins,8 ,8,370,18g,5g,47mg,1041mg,25g,4g,1g,28g,6mg,220mg,3mg,496mg,4.1,128,,,,
45,6591612,Consommé Pork Chops,15 mins, 1 hr 40 mins, 1 hr 55 mins,6 ,6,323,12g,3g,40mg,3304mg,31g,1g,1g,22g,2mg,26mg,2mg,317mg,4.3,66,,,,
46,6579052,Pesto Chicken and Rice Bake,10 mins,45 mins,55 mins,4 ,4,443,16g,5g,76mg,1117mg,40g,2g,3g,34g,1mg,229mg,3mg,294mg,4.8,13,1 8-inch casserole,,,
