,id_recipe,Prep Time:,Cook Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Servings:,Servings Per Recipe,Yield:
34,6664609,10 mins,15 mins,25 mins,507,27g,12g,60mg,1440mg,48g,6g,16g,18g,12mg,227mg,3mg,909mg,5.0,1,,4 ,4,4 servings
35,6573516,15 mins,20 mins,35 mins,204,3g,1g,23mg,19mg,40g,4g,1g,6g,32mg,25mg,2mg,698mg,3.8,89,,8 ,8,8 servings
36,6664033,15 mins,35 mins,50 mins,245,16g,10g,48mg,344mg,18g,1g,2g,9g,1mg,222mg,1mg,158mg,,,,8 ,8,8 servings
37,6592182,15 mins,40 mins,55 mins,519,28g,7g,68mg,673mg,41g,6g,17g,30g,107mg,99mg,3mg,793mg,5.0,1,,6 ,6,6 servings
38,6648767,15 mins,30 mins,45 mins,844,48g,23g,166mg,942mg,70g,8g,23g,39g,78mg,222mg,6mg,1292mg,4.5,2,,2 ,2,2 servings
39,6574435,20 mins,30 mins,50 mins,660,45g,18g,97mg,1668mg,37g,4g,3g,30g,19mg,434mg,5mg,791mg,4.4,85,,4 ,4,4 servings
40,6598844,15 mins,15 mins,30 mins,334,15g,9g,198mg,374mg,27g,2g,3g,24g,8mg,140mg,4mg,483mg,4.4,77,,4 ,4,4 servings
41,6569656,5 mins,20 mins,25 mins,706,60g,36g,204mg,724mg,24g,1g,0g,17g,5mg,390mg,1mg,294mg,4.0,5,,4 ,4,4 servings
42,6601749,25 mins,10 mins,35 mins,276,14g,7g,55mg,313mg,22g,3g,4g,18g,14mg,162mg,2mg,406mg,4.8,8,,4 ,4,4 servings
43,6650505,5 mins,10 mins,15 mins,421,34g,22g,95mg,352mg,26g,2g,,7g,,,,394mg,5.0,6,,4 ,4,
44,6601929,10 mins,20 mins,30 mins,358,24g,13g,63mg,421mg,29g,5g,6g,10g,76mg,186mg,2mg,607mg,4.5,2,,5 ,5,5 servings
45,6565227,25 mins,15 mins,40 mins,266,7g,4g,22mg,881mg,33g,4g,12g,19g,9mg,518mg,3mg,549mg,,,,4 ,4,4 servings
46,6576470,10 mins,35 mins,45 mins,450,28g,15g,103mg,706mg,25g,3g,9g,24g,3mg,327mg,2mg,570mg,4.3,3,,8 ,8,1 9-inch square casserole
47,6648236,45 mins,35 mins, 1 hr 50 mins,742,33g,18g,137mg,1401mg,79g,7g,12g,28g,48mg,445mg,8mg,1594mg,5.0,2,30 mins,4 ,4,4 servings
48,6564356,5 mins,15 mins,20 mins,595,40g,21g,91mg,571mg,46g,4g,2g,15g,25mg,301mg,3mg,645mg,3.0,1,,2 ,2,2 servings
49,6591208,30 mins,50 mins, 2 hrs 35 mins,468,19g,12g,58mg,1395mg,56g,4g,1g,18g,,283mg,2mg,78mg,4.3,3, 1 hr 15 mins,6 ,6,6 servings
50,6739352,30 mins,30 mins, 2 hrs,277,11g,5g,117mg,749mg,27g,3g,2g,16g,11mg,242mg,3mg,218mg,3.6,9, 1 hr,6 ,6,6 servings
51,6605812,35 mins,35 mins, 1 hr 20 mins,572,23g,10g,81mg,1484mg,79g,9g,4g,18g,73mg,319mg,9mg,1467mg,1.0,1,10 mins,4 ,4,4 servings
52,6664538,10 mins,45 mins,55 mins,375,25g,14g,58mg,815mg,29g,2g,2g,10g,11mg,206mg,2mg,495mg,,,,4 ,4,4 servings
53,6580759,25 mins,27 mins,52 mins,303,13g,6g,24mg,936mg,38g,6g,11g,8g,99mg,154mg,6mg,604mg,5.0,2,,4 ,4,4 servings
54,6664259,10 mins,20 mins,30 mins,703,45g,25g,171mg,916mg,37g,2g,,29g,,,,525mg,5.0,1,,3 ,3,
55,6576565,5 mins,25 mins,30 mins,512,34g,15g,75mg,987mg,30g,2g,2g,19g,5mg,164mg,2mg,660mg,4.7,3,,4 ,4,4 servings
56,6663707,10 mins,40 mins, 1 hr,541,42g,19g,116mg,1190mg,25g,3g,,18g,,,,691mg,5.0,3,10 mins,6 ,6,
57,6576103,20 mins,35 mins, 1 hr 10 mins,423,32g,18g,190mg,789mg,13g,0g,12g,22g,1mg,579mg,1mg,451mg,,,15 mins,4 ,4,4 servings
58,6561344,20 mins,15 mins,35 mins,336,19g,7g,30mg,186mg,32g,3g,6g,10g,20mg,188mg,2mg,194mg,,,,5 ,5,5 servings
