,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:,Rest Time:,Freeze Time:,Marinate Time:,Chill Time:,Stand Time:,Soak Time:,Release Pressure Time:
49,7489389,Stuffed Acorn Squash with Sausage,10 mins, 1 hr, 1 hr 10 mins,4 servings,4,524,37g,11g,98mg,1079mg,28g,7g,13g,25g,48mg,111mg,3mg,1042mg,4.0,1,,,,,,,,,
50,7507438,Rhubarb Poppy Seed Muffins,20 mins,20 mins,40 mins,22 ,22,148,6g,3g,38mg,107mg,21g,1g,12g,3g,1mg,55mg,1mg,65mg,5.0,1,,22 muffins,,,,,,,
51,7506789,Grilled Okra and Grape Tomatoes,15 mins,5 mins,55 mins,4 ,4,325,6g,1g,0mg,372mg,61g,33g,32g,25g,218mg,994mg,4mg,1888mg,5.0,1,,,,,,,,30 mins,
52,7506656,Grilled Stuffed Poblanos,20 mins,30 mins, 1 hr,4 ,4,385,11g,6g,25mg,1104mg,61g,14g,10g,18g,29mg,237mg,5mg,1043mg,5.0,2,,,,,,,10 mins,,
53,7506653,Zucchini Fritters with Lemony Sour Cream,15 mins,5 mins,30 mins,6 ,6,98,7g,2g,42mg,409mg,6g,1g,2g,3g,10mg,42mg,1mg,235mg,3.0,2,,6 zucchini fritters,,,,,10 mins,,
54,7508155,Bok Choy with Ginger Chili Sauce,10 mins,5 mins,15 mins,4 ,4,66,4g,0g,0mg,1368mg,6g,2g,2g,4g,61mg,170mg,2mg,731mg,5.0,2,,,,,,,,,
55,7507083,Add Some Color to Your Plate With Roasted Rainbow Carrots,10 mins,20 mins,30 mins,4 ,4,88,4g,1g,0mg,264mg,14g,4g,8g,1g,4mg,38mg,1mg,280mg,,,,,,,,,,,
56,7505087,Tex-Mex Ground Beef and Potato Skillet,15 mins,15 mins,30 mins,4 ,4,199,11g,4g,35mg,661mg,14g,2g,2g,12g,43mg,154mg,2mg,452mg,4.6,5,,,,,,,,,
57,7503843,This Bruschetta Pizza Recipe Is Full of Irresistible Italian Flavor,15 mins,5 mins,20 mins,4 ,4,443,15g,5g,28mg,712mg,61g,4g,9g,16g,22mg,212mg,4mg,486mg,,,,,,,,,,,
58,7498826,Sautéed Broccolini,8 mins,7 mins,15 mins,4 ,4,141,8g,1g,0mg,168mg,23g,7g,7g,3g,130mg,88mg,2mg,455mg,,,,,,,,,,,
59,7107552,Air Fryer Buffalo Cauliflower,15 mins,15 mins,30 mins,4 ,4,180,4g,2g,8mg,1034mg,33g,6g,,7g,,,,712mg,5.0,4,,,,,,,,,
60,7105002,Roasted Broccoli Soup,15 mins,40 mins,55 mins,4 ,4,196,17g,7g,31mg,517mg,8g,1g,,3g,,,,84mg,5.0,2,,,,,,,,,
61,6562112,Pumpkin Protein Muffins,20 mins,15 mins,35 mins,24 ,24,171,8g,5g,31mg,321mg,23g,3g,10g,5g,1mg,29mg,2mg,137mg,,,,24 muffins,,,,,,,
