,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Bake Time:,Cool Time:
48,6594545,,,,8 ,2 to 9 - inch pies,8,785,45g,16g,124mg,378mg,94g,5g,49g,9g,0mg,42mg,2mg,202mg,4.6,41,,,
49,6585326,25 mins, 1 hr, 1 hr 25 mins,10 ,1 9-inch pie,10,365,21g,6g,78mg,438mg,43g,3g,25g,6g,2mg,43mg,2mg,200mg,,,,,
50,6663621,,,,8 ,1 pie,8,578,32g,13g,136mg,109mg,71g,3g,32g,8g,0mg,60mg,2mg,240mg,4.8,13,,,
51,6569024,,,,8 ,1 pie,8,579,28g,14g,116mg,206mg,80g,2g,33g,8g,0mg,34mg,3mg,139mg,4.4,19,,,
52,6664075,45 mins,45 mins, 4 hrs 30 mins,8 ,1 to 9 inch pie,8,890,50g,14g,137mg,516mg,104g,3g,44g,11g,0mg,60mg,4mg,226mg,4.7,19, 3 hrs,,
53,6592970,20 mins,50 mins, 1 hr 10 mins,8 ,1 to 9 - inch pie,8,462,21g,4g,52mg,312mg,66g,2g,32g,5g,0mg,46mg,1mg,151mg,4.0,2,,,
54,6565319,10 mins,40 mins,50 mins,8 ,1 9-inch pie,8,477,31g,11g,102mg,153mg,47g,2g,32g,5g,0mg,60mg,2mg,184mg,,,,,
55,6603946,25 mins,25 mins, 2 hrs,24 ,24 servings,24,106,7g,4g,23mg,40mg,9g,0g,5g,1g,,11mg,0mg,30mg,4.0,1, 1 hr 10 mins,,
56,6601827,10 mins,40 mins,50 mins,8 ,1 to 9 - inch pie,8,624,39g,19g,77mg,291mg,58g,2g,39g,12g,0mg,23mg,2mg,100mg,3.8,4,,,
57,6596587,,,,8 ,8 servings,8,313,16g,2g,,312mg,42g,5g,20g,5g,2mg,63mg,2mg,302mg,4.0,38,,,
58,6592275,,,,8 ,1 pie,8,506,28g,9g,94mg,226mg,64g,2g,35g,5g,0mg,44mg,1mg,101mg,4.6,79,,,
59,6587228,30 mins, 1 hr, 2 hrs 30 mins,16 ,2 9-inch pies,16,353,19g,5g,70mg,236mg,43g,2g,20g,6g,0mg,40mg,2mg,142mg,4.3,6, 1 hr,,
