,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rise Time:,Stand Time:,Active Time:,Fry Time:,Cool Time:,Chill Time:,Additional Time:
30,6580677,10 mins,13 mins,38 mins,24 ,24 fritters,24,129,4g,1g,8mg,71mg,23g,0g,19g,1g,1mg,26mg,0mg,29mg,4.1,17,,,,,,,15 mins
31,6604795,10 mins,10 mins,20 mins,8 ,8 doughnuts,8,310,14g,6g,16mg,613mg,44g,1g,23g,4g,,40mg,2mg,105mg,4.4,10,,,,,,,
32,6578125,30 mins,15 mins, 4 hrs,60 ,5 dozen,60,107,4g,1g,10mg,74mg,15g,0g,4g,2g,,14mg,1mg,35mg,4.6,16,,,,,,, 3 hrs 15 mins
33,6568978,15 mins,15 mins, 2 hrs 10 mins,15 ,15 fried breads,15,103,6g,1g,,1mg,11g,0g,1g,2g,,3mg,1mg,23mg,2.9,17,,,,,,, 1 hr 40 mins
34,6600745,15 mins,10 mins,25 mins,16 ,16 servings,16,124,6g,3g,20mg,216mg,17g,0g,8g,2g,,31mg,1mg,32mg,3.4,14,,,,,,,
35,6580885,20 mins,30 mins, 1 hr,24 ,,24,219,8g,2g,29mg,160mg,34g,1g,19g,3g,,34mg,1mg,30mg,4.0,12,,,,,,,10 mins
36,6599150, 2 hrs,15 mins, 2 hrs 15 mins,16 ,16 doughnuts and holes,16,257,15g,4g,21mg,167mg,29g,1g,13g,3g,,61mg,1mg,51mg,4.1,224,,,,,,,
37,6576221,10 mins,15 mins,25 mins,12 ,4 cakes,12,147,8g,1g,17mg,91mg,16g,0g,5g,2g,,37mg,1mg,41mg,4.4,122,,,,,,,
38,6595549,15 mins,30 mins,45 mins,8 ,,8,303,15g,3g,93mg,97mg,41g,0g,37g,4g,0mg,49mg,1mg,50mg,3.1,8,,,,,,,
39,6602590,25 mins,16 mins,41 mins,9 ,9 doughnuts,9,276,10g,6g,66mg,390mg,44g,1g,19g,4g,0mg,74mg,2mg,59mg,2.8,20,,,,,,,
40,6587427,15 mins,20 mins,35 mins,16 ,16 servings,16,80,4g,1g,35mg,159mg,9g,0g,0g,2g,,7mg,1mg,25mg,4.1,9,,,,,,,
41,6736371,30 mins,30 mins, 1 hr 30 mins,12 ,12 servings,12,503,15g,3g,37mg,231mg,81g,2g,21g,11g,0mg,73mg,4mg,179mg,4.6,259,,,,,,,30 mins
42,6574475,20 mins,35 mins, 2 hrs,24 ,24 doughnuts,24,194,7g,2g,23mg,54mg,29g,1g,13g,3g,,20mg,1mg,52mg,3.9,122,,,,,,, 1 hr 5 mins
43,6590428,25 mins,10 mins,35 mins,24 ,24 mini doughnuts,24,211,9g,4g,27mg,177mg,31g,1g,18g,3g,1mg,45mg,1mg,52mg,4.8,16,,,,,,,
44,6603848,20 mins,5 mins,25 mins,36 ,,36,172,5g,2g,18mg,189mg,30g,1g,17g,3g,0mg,30mg,1mg,46mg,4.1,38,,,,,,,
45,6591508,10 mins,20 mins,30 mins,6 ,,6,365,13g,2g,34mg,906mg,52g,2g,4g,9g,0mg,333mg,4mg,141mg,4.3,7,,,,,,,
46,6573718,30 mins,40 mins, 3 hrs 30 mins,16 ,16 doughnuts,16,198,14g,3g,14mg,172mg,16g,1g,4g,2g,,13mg,1mg,36mg,4.2,61,,,,,,, 2 hrs 20 mins
47,6590849,20 mins,25 mins, 1 hr,12 ,12 donuts,12,247,6g,2g,32mg,276mg,46g,1g,28g,4g,0mg,55mg,1mg,66mg,4.4,17,,,,,,,15 mins
48,6573268,10 mins,45 mins,55 mins,48 ,,48,145,11g,3g,34mg,115mg,10g,0g,2g,3g,0mg,31mg,1mg,56mg,4.7,17,,,,,,,
49,6648628,20 mins,5 mins,50 mins,6 ,6 donuts,6,595,25g,6g,74mg,580mg,84g,2g,36g,10g,0mg,113mg,3mg,155mg,4.2,6,,,,,,,25 mins
50,6593035,15 mins,10 mins,25 mins,4 ,4 servings,4,391,30g,7g,47mg,20mg,30g,3g,19g,4g,0mg,10mg,1mg,60mg,4.4,16,,,,,,,
51,6663674,15 mins,10 mins,45 mins,6 ,6 donuts,6,246,19g,2g,62mg,307mg,14g,3g,7g,8g,,85mg,1mg,70mg,4.5,15,,,,,,,20 mins
52,6588534,25 mins,2 mins,27 mins,36 ,3 dozen,36,107,5g,1g,9mg,111mg,15g,0g,10g,1g,0mg,45mg,1mg,30mg,4.8,9,,,,,,,
53,6576816,10 mins,5 mins,15 mins,18 ,18 fritters,18,491,49g,6g,,28mg,14g,1g,7g,1g,3mg,18mg,0mg,146mg,4.1,34,,,,,,,
54,6606027,10 mins,5 mins,15 mins,6 ,,6,916,79g,6g,62mg,285mg,52g,2g,30g,5g,4mg,68mg,1mg,217mg,4.3,226,,,,,,,
55,6585852,15 mins,15 mins,30 mins,48 ,4 dozen,48,374,38g,3g,8mg,43mg,8g,0g,4g,1g,1mg,13mg,0mg,17mg,4.3,81,,,,,,,
56,6737721,10 mins,10 mins,20 mins,16 ,12 to 20 cakes,16,263,10g,2g,50mg,213mg,37g,1g,8g,7g,0mg,105mg,2mg,119mg,4.7,502,,,,,,,
57,6580842,10 mins,10 mins,50 mins,21 ,21 donut bites,21,132,3g,2g,15mg,153mg,26g,1g,15g,2g,0mg,57mg,1mg,34mg,5.0,1,,,,,,,30 mins
58,6578580,15 mins,45 mins, 2 hrs 40 mins,24 ,24 churros,24,134,12g,2g,23mg,77mg,6g,0g,2g,1g,,6mg,0mg,16mg,4.5,91,,,,,,, 1 hr 40 mins
59,6598415,10 mins,10 mins,20 mins,4 ,1 cake,4,288,4g,1g,49mg,574mg,57g,1g,27g,7g,0mg,189mg,2mg,107mg,4.4,11,,,,,,,
