,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Active Time:,Bake Time:,Cool Time:,Refrigerate Time:,Chill Time:
45,6570747,Swedish Sticky Chocolate Cake (Kladdkaka),10 mins,35 mins, 1 hr, 1 hr 45 mins,8 ,1 cake,8,288,13g,8g,77mg,120mg,41g,1g,34g,3g,,15mg,1mg,73mg,4.6,131,,,,,
46,6587201,Chocolate Pudding Cake II,,,,,12 ,1 to 9 - inch square pan,12,172,3g,1g,1mg,139mg,36g,1g,26g,2g,,74mg,1mg,87mg,4.2,255,,,,,
47,6604618,Fourteen Layer Chocolate Cake,20 mins,30 mins,,50 mins,14 ,1 to 8 - layer inch cake,14,725,34g,19g,151mg,571mg,99g,2g,78g,10g,1mg,268mg,2mg,304mg,3.4,48,,,,,
48,6739705,Chocolate Mayo Cake,,,,,24 ,2 to 9 - inch round layers,24,208,11g,2g,5mg,204mg,26g,1g,13g,2g,,31mg,1mg,38mg,4.3,169,,,,,
49,6593732,Chocolate Candy Bar Cake,30 mins,25 mins,35 mins, 1 hr 30 mins,12 ,1 3-layer 8-inch cake,12,736,46g,19g,81mg,535mg,75g,1g,60g,9g,0mg,128mg,2mg,332mg,4.8,268,,,,,
50,6581611,Flourless Chocolate Lava Cake,15 mins,15 mins,5 mins,35 mins,6 ,6 cakes,6,525,39g,23g,187mg,100mg,38g,3g,34g,7g,,27mg,1mg,195mg,4.3,15,,,,,
51,6591297,German Marble Cake,,,,,14 ,1 to 10 - inch tube cake,14,346,15g,9g,89mg,247mg,46g,1g,22g,6g,,96mg,2mg,104mg,4.3,84,,,,,
52,6664534,Flourless Chocolate Cake II,10 mins,35 mins,55 mins, 1 hr 40 mins,8 ,1 8-inch single layer cake,8,285,19g,11g,100mg,109mg,30g,3g,26g,5g,,21mg,2mg,112mg,4.6,753,,,,,
53,6574953,Chocolate Roll I,,,,,24 ,1 to 15 - inch jelly roll,24,128,9g,5g,66mg,22mg,12g,0g,10g,2g,0mg,20mg,0mg,51mg,2.5,36,,,,,
54,6577337,Hot Fudge Pudding Cake,15 mins,45 mins,, 1 hr,9 ,1 9x9-inch cake,9,333,12g,3g,8mg,206mg,56g,3g,42g,5g,0mg,118mg,2mg,183mg,4.6,62,,,,,
55,6737268,Chocolate Cake in an Air Fryer,10 mins,15 mins,,25 mins,4 ,1 small cake,4,214,12g,7g,73mg,130mg,26g,1g,15g,3g,0mg,14mg,1mg,57mg,3.3,3,,,,,
56,6738803,German Chocolate Cake III,30 mins,30 mins,, 1 hr,12 ,1 to 9 - layer inch cake,12,735,41g,22g,187mg,458mg,88g,3g,63g,9g,1mg,113mg,3mg,256mg,4.7,912,,,,,
57,6568014,Salad Dressing Chocolate Cake,10 mins,30 mins,10 mins,50 mins,18 ,1 - 9x13 inch cake,18,137,4g,1g,4mg,252mg,24g,1g,13g,2g,,4mg,1mg,34mg,4.5,42,,,,,
58,6594882,Dark Chocolate Sheet Cake with Dark Chocolate Frosting,30 mins,25 mins, 1 hr, 1 hr 55 mins,24 ,1 sheet cake,24,286,15g,9g,52mg,190mg,39g,2g,29g,3g,0mg,38mg,1mg,153mg,4.8,19,,,,,
59,6589581,Chocolate Angel Food Cake I,30 mins, 1 hr,, 1 hr 30 mins,14 ,1 to 10 - inch tube cake,14,179,0g,0g,,100mg,40g,1g,29g,5g,,7mg,1mg,139mg,4.7,59,,,,,
