,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Marinate Time:,Additional Time:
27,6738566,10 mins,10 mins,20 mins,2 ,2,227,17g,3g,93mg,89mg,14g,2g,2g,6g,13mg,48mg,2mg,326mg,4.2,10,,,
28,6578375,15 mins,,15 mins,4 ,4,257,23g,4g,4mg,381mg,10g,6g,1g,6g,17mg,101mg,2mg,560mg,4.7,356,,,
29,6737349,15 mins,10 mins,25 mins,6 ,6,91,3g,0g,,108mg,15g,3g,0g,5g,164mg,185mg,2mg,615mg,4.5,427,6 servings,,
30,6584985,10 mins,,15 mins,2 ,2,133,8g,2g,42mg,227mg,1g,0g,0g,14g,5mg,11mg,2mg,272mg,5.0,2,,,5 mins
31,6663656,10 mins,30 mins,45 mins,6 ,6,115,5g,1g,,615mg,14g,4g,8g,3g,25mg,121mg,8mg,510mg,4.4,14,,,5 mins
32,6595172,5 mins,20 mins,25 mins,4 ,4,160,11g,1g,,215mg,17g,7g,0g,3g,27mg,112mg,2mg,942mg,5.0,5,4 servings,,
33,6739738,15 mins,20 mins,35 mins,8 ,8,278,14g,3g,45mg,713mg,20g,2g,3g,18g,31mg,83mg,2mg,346mg,4.6,632,4 cups,,
34,6738018,15 mins,15 mins,30 mins,6 ,6,488,11g,3g,55mg,444mg,70g,8g,5g,33g,56mg,125mg,4mg,526mg,4.4,"1,593",6 servings,,
35,6567266,5 mins,,5 mins,8 ,,,,,,,,,,,,,,,4.5,74,1 cup,,
36,6586755,20 mins,23 mins,43 mins,4 ,4,455,8g,1g,,385mg,88g,6g,5g,10g,119mg,101mg,6mg,757mg,5.0,1,4 servings,,
37,6664174,15 mins,10 mins,25 mins,4 ,4,169,5g,1g,,600mg,26g,6g,2g,7g,10mg,133mg,3mg,450mg,4.5,447,4 servings,,
38,6602909,10 mins,25 mins,35 mins,8 ,8,385,9g,3g,95mg,399mg,49g,4g,4g,25g,9mg,188mg,6mg,322mg,4.3,380,8 servings,,
39,6593265,20 mins,20 mins,55 mins,2 ,2,281,9g,2g,93mg,909mg,39g,7g,1g,11g,18mg,94mg,4mg,386mg,4.4,248,4 patties,,15 mins
40,6650187,20 mins,30 mins,50 mins,4 ,4,245,5g,1g,2mg,1014mg,38g,11g,2g,12g,28mg,170mg,6mg,551mg,4.3,394,4 servings,,
41,6579141,10 mins,10 mins,20 mins,4 ,4,101,4g,1g,,98mg,16g,6g,4g,5g,49mg,77mg,5mg,805mg,4.3,6,4 servings,,
42,6593339,10 mins,6 mins, 1 hr 16 mins,4 ,4,281,12g,2g,77mg,644mg,2g,1g,0g,40g,6mg,34mg,1mg,774mg,4.7,56,4 servings,, 1 hr
43,6736582,15 mins,30 mins,45 mins,4 ,4,282,15g,3g,64mg,778mg,8g,2g,3g,24g,13mg,91mg,1mg,544mg,4.6,291,4 servings,,
44,6738309,5 mins,,5 mins,4 ,4,118,4g,1g,,502mg,17g,3g,,4g,3mg,34mg,2mg,142mg,4.3,672,4 servings,,
45,6568552,15 mins,0 mins, 1 hr 15 mins,6 ,6,347,12g,3g,11mg,780mg,51g,9g,6g,11g,18mg,131mg,3mg,462mg,4.8,26,,, 1 hr
46,6581686,10 mins,10 mins,20 mins,4 ,4,204,19g,3g,,76mg,8g,5g,3g,2g,5mg,19mg,1mg,330mg,5.0,4,,,
47,6575430,10 mins,, 2 hrs 10 mins,8 ,8,162,10g,1g,,303mg,18g,5g,2g,3g,25mg,37mg,1mg,331mg,4.5,109,,, 2 hrs
48,6587787,5 mins,20 mins,25 mins,3 ,3,555,21g,3g,3mg,131mg,77g,5g,4g,16g,27mg,140mg,4mg,613mg,5.0,8,3 servings,,
49,6598763,10 mins,45 mins,55 mins,2 ,2,182,14g,2g,,382mg,15g,4g,7g,2g,7mg,69mg,2mg,355mg,5.0,3,2 servings,,
50,6601936,10 mins,15 mins,25 mins,8 ,8,355,10g,2g,7mg,516mg,54g,3g,3g,12g,11mg,92mg,3mg,241mg,4.3,127,,,
51,6578450,15 mins,15 mins,30 mins,4 ,4,376,17g,3g,8mg,495mg,45g,3g,3g,12g,10mg,64mg,2mg,320mg,5.0,4,,,
52,6583288,5 mins,20 mins,25 mins,4 ,4,502,5g,1g,,822mg,95g,12g,4g,19g,16mg,115mg,7mg,598mg,3.9,31,4 servings,,
53,6582394,5 mins,20 mins,55 mins,4 ,4,124,4g,1g,,502mg,17g,4g,0g,5g,3mg,27mg,1mg,186mg,4.9,10,4 servings,,30 mins
54,6583922,10 mins,25 mins, 8 hrs 45 mins,6 ,6,424,10g,2g,6mg,485mg,69g,6g,3g,16g,11mg,139mg,4mg,356mg,4.1,35,,, 8 hrs 10 mins
55,6597889,10 mins,25 mins,35 mins,7 ,7,137,8g,1g,,69mg,15g,5g,8g,5g,78mg,63mg,2mg,954mg,4.5,2,7 servings,,
