,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Freeze Time:,Stand Time:
40,6600128,,,,,6 ,6 servings/ serving size: 1/2 cup,6,87,0g,0g,1mg,23mg,21g,2g,17g,2g,21mg,63mg,0mg,250mg,3.9,25,,,
41,6664010,25 mins,5 mins, 1 hr, 1 hr 30 mins,16 ,1 9x13-inch dessert,16,326,21g,12g,59mg,183mg,32g,2g,23g,4g,,36mg,2mg,97mg,5.0,1,,,
42,6592327,10 mins,, 3 hrs 50 mins, 4 hrs,8 ,3 cups,8,110,7g,6g,,1mg,8g,1g,5g,0g,,1mg,0mg,17mg,3.8,4,,,
43,6588421,15 mins,3 mins, 3 hrs 1 mins, 3 hrs 19 mins,8 ,1 9-inch mousse cake,8,171,14g,9g,40mg,22mg,11g,0g,10g,2g,6mg,42mg,0mg,83mg,1.0,1,,,
44,6600038,30 mins,, 6 hrs, 6 hrs 30 mins,8 ,8 servings,8,178,3g,1g,72mg,44mg,37g,1g,34g,5g,3mg,63mg,1mg,237mg,2.5,2,,,
45,6586290,45 mins,15 mins, 2 hrs, 3 hrs,18 ,18 servings,18,788,64g,39g,242mg,129mg,55g,3g,46g,10g,1mg,122mg,2mg,345mg,4.5,10,,,
46,6592563,,,,,7 ,6 to 8 - servings,7,213,3g,1g,84mg,57mg,43g,1g,39g,6g,4mg,92mg,1mg,296mg,4.2,18,,,
47,6577290,5 mins,,,5 mins,4 ,,4,505,31g,26g,7mg,456mg,54g,1g,49g,5g,0mg,117mg,1mg,222mg,4.3,93,,,
48,7097881,5 mins,,,5 mins,4 ,,4,305,23g,14g,82mg,25mg,19g,2g,,2g,,,,128mg,4.8,5,,,
49,6650080,10 mins,,,10 mins,1 ,1 serving,1,521,14g,3g,9mg,126mg,87g,11g,55g,18g,86mg,353mg,3mg,1127mg,4.8,91,,,
50,6600753,10 mins,,,10 mins,8 ,,8,359,8g,1g,3mg,106mg,61g,5g,16g,14g,107mg,278mg,2mg,662mg,4.3,4,,,
51,6581286,20 mins,,30 mins,50 mins,10 ,,10,179,9g,5g,25mg,167mg,21g,0g,15g,5g,2mg,90mg,1mg,85mg,4.8,5,,,
52,6566382,10 mins,25 mins,10 mins,45 mins,6 ,3 cups,6,274,20g,11g,293mg,26mg,16g,,13g,4g,0mg,53mg,1mg,70mg,4.8,22,,,
53,6737899,10 mins,, 1 hr 8 mins, 1 hr 18 mins,4 ,4 large servings,4,646,42g,21g,113mg,287mg,65g,6g,30g,6g,41mg,83mg,2mg,273mg,4.7,9,,,
54,6595378,10 mins,5 mins,45 mins, 1 hr,4 ,4 servings,4,160,0g,,,344mg,40g,2g,34g,1g,42mg,14mg,0mg,113mg,3.9,18,,,
55,6591494,10 mins,,,10 mins,2 ,2 parfaits,2,264,14g,5g,19mg,61mg,26g,4g,16g,9g,30mg,28mg,1mg,217mg,,,,,
56,6588258,5 mins,,,5 mins,2 ,2 servings,2,354,4g,2g,11mg,186mg,69g,3g,33g,14g,107mg,400mg,1mg,688mg,4.7,56,,,
57,6584147,20 mins,55 mins,10 mins, 1 hr 25 mins,20 ,20 yogurt bowls,20,435,20g,5g,,51mg,53g,7g,28g,16g,9mg,48mg,2mg,311mg,,,,,
58,7506803,5 mins,5 mins,,10 mins,1 ,1 mini pancake parfait,1,448,10g,3g,55mg,460mg,77g,6g,43g,14g,45mg,472mg,2mg,659mg,5.0,1,,,
59,6664054,15 mins,,, 9 hrs 15 mins,4 ,4 parfaits,4,594,21g,7g,23mg,77mg,89g,8g,,14g,,,,349mg,5.0,2,, 8 hrs, 1 hr
60,6605967,20 mins,, 3 hrs 15 mins, 3 hrs 35 mins,10 ,10 servings,10,287,11g,6g,31mg,152mg,48g,2g,32g,2g,1mg,21mg,1mg,55mg,5.0,3,,,
61,6592612,15 mins,,,15 mins,4 ,4 servings,4,190,5g,1g,1mg,52mg,33g,3g,26g,6g,73mg,160mg,1mg,537mg,4.4,9,,,
