,id_recipe,Prep Time:,Cook Time:,Stand Time:,Cool Time:,Chill Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Servings:,Yield:,Servings Per Recipe,Additional Time:
12,6738309,5 mins,,,,,5 mins,118,4g,1g,,502mg,17g,3g,,4g,3mg,34mg,2mg,142mg,4.3,672,4 ,4 servings,4,
13,6572962,20 mins, 2 hrs,,,, 2 hrs 20 mins,551,32g,4g,,79mg,51g,15g,8g,18g,7mg,178mg,7mg,765mg,4.3,94,8 ,8 servings,8,
14,6737835,10 mins,,,,,10 mins,77,4g,1g,,236mg,8g,2g,0g,3g,3mg,17mg,1mg,79mg,4.6,"2,283",16 ,2 cups,16,
15,6570413,15 mins,,,,, 1 hr 15 mins,163,11g,2g,,349mg,15g,3g,1g,4g,5mg,34mg,1mg,174mg,4.6,144,16 ,4 cups,16, 1 hr
16,6583724,20 mins,45 mins,,,, 1 hr 20 mins,75,2g,0g,,83mg,12g,2g,2g,2g,2mg,24mg,1mg,176mg,4.5,36,20 ,,20,15 mins
17,6588032,10 mins,5 mins,,,,15 mins,30,2g,0g,,46mg,3g,1g,,1g,2mg,9mg,0mg,23mg,5.0,4,64 ,4 cups,64,
18,6588035,20 mins,,,,, 1 hr 20 mins,144,12g,6g,26mg,306mg,7g,2g,1g,5g,3mg,64mg,1mg,145mg,5.0,2,12 ,1 10-inch dish,12, 1 hr
19,6574236,15 mins,5 mins,,,,20 mins,206,15g,2g,,148mg,15g,3g,1g,5g,7mg,50mg,2mg,174mg,4.5,8,6 ,,6,
20,6596990,10 mins,,,,,10 mins,48,1g,1g,1mg,127mg,9g,2g,3g,2g,1mg,12mg,1mg,86mg,5.0,4,16 ,,16,
21,6571981,5 mins,10 mins,,,,15 mins,201,16g,2g,,266mg,9g,3g,0g,8g,17mg,153mg,3mg,357mg,4.6,62,8 ,,8,
22,6605818,10 mins,,,,,10 mins,40,1g,0g,,72mg,6g,1g,0g,1g,3mg,11mg,0mg,66mg,4.3,35,12 ,12 servings,12,
23,6590074,10 mins,,,,,10 mins,72,3g,0g,,339mg,11g,2g,1g,3g,4mg,31mg,1mg,129mg,5.0,3,8 ,,8,
24,6580029,15 mins,,,,,15 mins,44,2g,0g,,110mg,6g,1g,,2g,5mg,16mg,1mg,51mg,4.7,261,40 ,5 cups,40,
25,6738626,15 mins,,,,, 1 hr 35 mins,64,2g,0g,,370mg,10g,2g,0g,3g,11mg,23mg,1mg,107mg,4.7,730,8 ,,8, 1 hr 20 mins
26,6604025,15 mins,5 mins,,,,20 mins,67,2g,0g,,94mg,11g,3g,2g,3g,9mg,30mg,2mg,157mg,4.1,75,20 ,20 servings,20,3 days
27,6594325,15 mins,10 mins,,,,30 mins,84,6g,1g,0mg,174mg,6g,1g,1g,3g,3mg,21mg,1mg,66mg,4.7,139,16 ,2 cups,16,5 mins
28,6598139,15 mins,5 mins,,,,20 mins,53,3g,0g,,70mg,6g,1g,,1g,1mg,16mg,0mg,46mg,4.0,82,12 ,1 1/2 cups,12,
29,6737692,10 mins,,,,,10 mins,101,3g,0g,,318mg,15g,3g,1g,3g,24mg,31mg,1mg,147mg,4.5,130,8 ,8 servings,8,
30,6587207,15 mins, 1 hr,,,, 1 hr 30 mins,161,6g,1g,,302mg,20g,6g,4g,8g,17mg,93mg,3mg,386mg,3.8,11,8 ,8 servings,8,15 mins
31,6573132,15 mins,,,,,15 mins,219,13g,2g,,128mg,19g,4g,1g,6g,1mg,60mg,2mg,209mg,5.0,2,8 ,8 servings,8,
32,6582873,10 mins,,,,,10 mins,22,0g,,,74mg,4g,1g,0g,1g,2mg,7mg,0mg,35mg,4.0,1,16 ,2 cups,16,
33,6603674,10 mins,,,,,10 mins,53,2g,0g,,172mg,8g,3g,,3g,2mg,18mg,1mg,138mg,4.7,17,20 ,20 servings,20,
34,6579028,10 mins,,,,,10 mins,97,4g,1g,,290mg,14g,3g,,3g,17mg,41mg,3mg,127mg,4.8,6,6 ,6 servings,6,
35,6581297,10 mins,45 mins,,,, 1 hr,170,8g,1g,,331mg,20g,5g,4g,6g,6mg,62mg,2mg,262mg,5.0,4,8 ,2 cups,8,5 mins
36,6736402,10 mins,,,,,10 mins,200,8g,1g,,144mg,27g,6g,0g,8g,4mg,75mg,3mg,420mg,4.4,23,6 ,6 servings,6,
37,6602985,15 mins,,,,, 8 hrs 15 mins,65,2g,0g,,123mg,9g,2g,0g,2g,3mg,21mg,1mg,81mg,4.4,97,24 ,3 cups,24, 8 hrs
38,6591766,15 mins,,,,,15 mins,127,8g,2g,4mg,399mg,12g,2g,2g,3g,4mg,57mg,1mg,99mg,4.8,54,16 ,16 servings,16,
39,6590383,15 mins,39 mins,,,,55 mins,253,16g,3g,2mg,437mg,24g,5g,6g,6g,12mg,70mg,2mg,423mg,5.0,1,6 ,6 servings,6,1 mins
40,6737556,10 mins,,,,, 2 hrs 10 mins,69,5g,1g,,130mg,6g,1g,2g,2g,7mg,19mg,0mg,137mg,5.0,3,16 ,2 cups,16, 2 hrs
41,6604503,10 mins,,,,,25 mins,54,2g,0g,,92mg,7g,2g,0g,2g,3mg,20mg,1mg,64mg,4.6,5,24 ,3 cups,24,15 mins
42,6600366,20 mins,,,,,20 mins,343,13g,3g,271mg,1814mg,12g,5g,3g,43g,28mg,109mg,4mg,684mg,,,4 ,4 cups,4,
43,6603552,15 mins,,,,,15 mins,157,6g,1g,,265mg,21g,4g,1g,4g,4mg,31mg,1mg,159mg,4.3,98,10 ,4 1/2 cups,10,
44,6603531,15 mins,,,,, 1 hr 15 mins,119,6g,1g,,596mg,13g,3g,0g,3g,4mg,34mg,1mg,147mg,4.3,4,6 ,6 servings,6, 1 hr
45,6602030,20 mins,,,,,20 mins,34,1g,0g,,67mg,6g,1g,,1g,2mg,13mg,0mg,47mg,4.1,42,40 ,5 cups,40,
46,6580452,10 mins,25 mins,,,,45 mins,148,8g,1g,,334mg,17g,4g,2g,4g,6mg,51mg,2mg,235mg,,,6 ,6 servings,6,10 mins
47,6570569,10 mins,,,,,10 mins,89,3g,1g,,130mg,15g,3g,5g,3g,1mg,35mg,1mg,142mg,4.0,5,8 ,8 servings,8,
48,6569455,10 mins,35 mins,,,,55 mins,128,5g,1g,,145mg,16g,4g,2g,6g,3mg,62mg,3mg,335mg,,,8 ,8 servings,8,10 mins
49,6595703,10 mins,,,,, 4 hrs 10 mins,194,7g,1g,,468mg,28g,6g,0g,7g,8mg,64mg,3mg,266mg,3.9,10,4 ,4 servings,4, 4 hrs
50,6582441,10 mins,5 mins,,,,25 mins,111,9g,1g,,306mg,5g,1g,0g,3g,10mg,52mg,1mg,156mg,5.0,1,24 ,3 cups,24,10 mins
51,6576709,10 mins,,,,,10 mins,34,0g,,,136mg,6g,3g,0g,2g,1mg,18mg,1mg,121mg,4.0,29,12 ,1 1/2 cups,12,
52,6563993,30 mins,40 mins,,,, 1 hr 10 mins,144,6g,1g,,158mg,20g,3g,0g,4g,16mg,44mg,1mg,149mg,,,12 ,12 servings,12,
53,6592541,10 mins,20 mins,,,,30 mins,70,6g,1g,,17mg,4g,1g,1g,2g,2mg,23mg,1mg,24mg,2.0,2,16 ,4 cups,16,
54,6582162,10 mins,,,,,10 mins,60,4g,1g,,57mg,5g,1g,0g,2g,3mg,23mg,1mg,53mg,4.6,9,16 ,2 cups,16,
55,6650767,10 mins,,,,,10 mins,199,14g,3g,1mg,392mg,18g,4g,5g,5g,33mg,65mg,3mg,468mg,5.0,2,6 ,6 servings,6,
56,6587716,10 mins,,,,,10 mins,62,3g,1g,,72mg,7g,2g,0g,2g,3mg,16mg,1mg,70mg,4.3,63,24 ,3 cups,24,
57,6583151,5 mins,30 mins,,,, 2 hrs 35 mins,165,9g,1g,,203mg,17g,5g,3g,6g,2mg,45mg,2mg,238mg,,,8 ,8 servings,8, 2 hrs
58,6582474,10 mins,25 mins,,,,35 mins,122,9g,1g,,97mg,9g,2g,1g,3g,3mg,37mg,1mg,106mg,4.0,1,10 ,,10,
59,6581439,10 mins,,,,, 2 hrs 10 mins,92,6g,1g,,260mg,9g,2g,0g,2g,3mg,17mg,1mg,89mg,5.0,2,8 ,1 cup,8, 2 hrs
60,6577642,10 mins,,,,,10 mins,170,10g,1g,,182mg,18g,5g,0g,4g,7mg,71mg,2mg,258mg,3.8,10,8 ,8 servings,8,
61,6597234,15 mins,,,,,15 mins,96,2g,0g,,525mg,16g,3g,,4g,2mg,28mg,1mg,179mg,5.0,2,12 ,12 servings,12,
