,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:,Chill Time:,Freeze Time:,Stand Time:,Additional Time:,Refrigerate Time:,Bake Time:,Active Time:
13,7564453,20 mins,12 mins,32 mins,40 ,40,123,5g,2g,15mg,64mg,17g,2g,8g,3g,2mg,27mg,1mg,83mg,5.0,1,,,,,,,,,
14,7564806,15 mins,40 mins,55 mins,12 ,12,479,21g,8g,72mg,290mg,71g,1g,56g,4g,3mg,106mg,1mg,153mg,4.5,2,,1 (9x13-inch) cake,,,,,,,
15,7554374,15 mins,30 mins,45 mins,24 ,24,171,12g,7g,42mg,157mg,14g,1g,8g,3g,0mg,29mg,0mg,50mg,4.7,3,,24 bars,,,,,,,
16,7552490,20 mins,30 mins,50 mins,6 ,6,567,31g,19g,118mg,361mg,67g,3g,31g,7g,3mg,189mg,3mg,154mg,5.0,3,,6 shortcakes,,,,,,,
17,7562367,10 mins,25 mins,50 mins,8 ,8,271,11g,6g,49mg,493mg,40g,1g,15g,5g,2mg,105mg,4mg,120mg,5.0,1,15 mins,,,,,,,,
18,6597426,20 mins,, 8 hrs 20 mins,8 to 10 ,8 to 10,517,36g,19g,81mg,228mg,46g,2g,29g,5g,0mg,59mg,7mg,195mg,5.0,4,,1 (8x4-inch) ice cream cake,,,, 8 hrs,,,
19,7559227,15 mins,40 mins,55 mins,10 ,10,274,10g,6g,43mg,184mg,45g,2g,32g,3g,6mg,46mg,1mg,209mg,4.5,4,,,,,,,,,
20,7558586,20 mins,25 mins,45 mins,6 ,6,317,17g,3g,31mg,205mg,38g,2g,16g,5g,5mg,24mg,2mg,212mg,5.0,2,,,,,,,,,
21,7550349,10 mins,, 8 hrs 10 mins,10 ,10,210,8g,5g,26mg,46mg,33g,1g,29g,2g,14mg,69mg,0mg,157mg,,,,,, 8 hrs,,,,,
22,7554240,15 mins,0 mins,1 day 15 mins,12 ,12,149,7g,5g,22mg,7mg,21g,2g,18g,1g,34mg,25mg,0mg,187mg,5.0,1,,,,1 day,,,,,
23,7554460,40 mins,20 mins, 1 hr 50 mins,24 ,24,130,10g,6g,43mg,83mg,9g,1g,6g,2g,4mg,29mg,0mg,54mg,5.0,3,20 mins,24 cheesecake bites,30 mins,,,,,,
24,7552425,35 mins,45 mins, 1 hr 50 mins,12 ,12,279,12g,7g,46mg,213mg,40g,1g,22g,3g,3mg,43mg,1mg,79mg,,,30 mins,,,,,,,,
25,7509612,20 mins,25 mins, 1 hr 15 mins,6 ,6,331,16g,8g,57mg,286mg,46g,1g,39g,3g,2mg,44mg,2mg,75mg,,,30 mins,,,,,,,,
26,7511366,20 mins,35 mins, 5 hrs 40 mins,8 ,8,382,29g,16g,118mg,309mg,27g,1g,20g,6g,0mg,73mg,1mg,128mg,5.0,2,,, 4 hrs,,45 mins,,,,
27,7509875,25 mins,10 mins,45 mins,20 ,20,148,9g,3g,34mg,41mg,16g,2g,8g,2g,2mg,13mg,1mg,82mg,,,20 mins,20 brownie bites,,,,,,,
28,7506803,5 mins,5 mins,10 mins,1 ,1,448,10g,3g,55mg,460mg,77g,6g,43g,14g,45mg,472mg,2mg,659mg,5.0,1,,1 mini pancake parfait,,,,,,,
29,7508367,20 mins,50 mins, 3 hrs 10 mins,8 ,8,628,32g,19g,148mg,35mg,82g,5g,41g,7g,8mg,47mg,3mg,321mg,,,,, 2 hrs,,,,,,
30,7497371,25 mins,45 mins, 4 hrs 5 mins,48 ,48,138,9g,5g,31mg,113mg,13g,0g,9g,2g,0mg,22mg,1mg,54mg,5.0,3, 3 hrs,48 squares,,,,,,,
31,7501307,5 mins,10 mins,15 mins,,,5321,300g,113g,2mg,4936mg,618g,22g,13g,38g,0mg,168mg,13mg,927mg,4.0,2,,,,,,,,,
32,7485220,15 mins,,15 mins,4 ,4,399,30g,16g,67mg,112mg,32g,6g,16g,4g,23mg,67mg,2mg,239mg,5.0,2,,,,,,,,,
33,7485249,30 mins,, 2 hrs,8 ,8,405,30g,17g,61mg,191mg,32g,3g,21g,5g,0mg,60mg,3mg,198mg,5.0,1,,1 (8-inch) cheesecake,,,, 1 hr 30 mins,,,
34,7484640,5 mins,10 mins,15 mins,10 ,10,78,6g,3g,49mg,65mg,5g,0g,0g,2g,0mg,8mg,0mg,22mg,,,,10 profiteroles,,,,,,,
35,6595327,30 mins, 1 hr, 1 hr 30 mins,8 ,8,847,36g,22g,172mg,319mg,130g,3g,84g,7g,0mg,126mg,2mg,319mg,,,,,,,,,,,
36,7486405,5 mins,10 mins,15 mins,4 ,4,312,19g,10g,226mg,204mg,27g,0g,23g,10g,0mg,177mg,1mg,233mg,,,,,,,,,,,
37,7255780,45 mins, 1 hr 5 mins, 5 hrs 50 mins,10 ,10,848,58g,32g,212mg,555mg,66g,2g,59g,11g,0mg,145mg,3mg,271mg,5.0,1,,1 (8-inch) cheesecake,,,, 4 hrs,,,
38,7372948,20 mins,30 mins, 8 hrs,16 ,16,506,32g,17g,47mg,276mg,53g,5g,44g,8g,0mg,111mg,3mg,282mg,5.0,2,10 mins,1 cake,,,,, 7 hrs,,
39,7252818,30 mins,40 mins, 1 hr 40 mins,30 ,30,60,3g,2g,20mg,65mg,7g,0g,3g,1g,0mg,7mg,0mg,13mg,4.4,11,10 mins,30 churro bites,,,,,,,
40,7112583, 1 hr,45 mins, 3 hrs 45 mins,16 ,16,580,28g,16g,113mg,289mg,78g,1g,,7g,,,,156mg,,, 2 hrs,,,,,,,,
41,7112373,30 mins,20 mins, 1 hr 50 mins,24 ,24,274,14g,9g,21mg,134mg,38g,3g,,3g,,,,127mg,4.0,3, 1 hr,24 Samoa cookie bars,,,,,,,
42,6567031,15 mins,20 mins,35 mins,24 ,24,97,3g,1g,8mg,127mg,17g,1g,8g,2g,,44mg,1mg,57mg,4.0,3,,24 cupcakes,,,,,,,
43,7110236,30 mins,7 mins, 2 hrs 37 mins,46 ,46,173,11g,6g,24mg,53mg,17g,1g,,3g,,,,95mg,5.0,2,,46 cookies, 1 hr,, 1 hr,,,,
44,7108822,15 mins,20 mins,45 mins,16 ,16,130,6g,4g,27mg,107mg,17g,1g,,2g,,,,62mg,5.0,4,10 mins,16 mocha cookie bars,,,,,,,
45,7108820,30 mins,7 mins, 1 hr 37 mins,36 ,36,167,7g,4g,13mg,75mg,24g,1g,,2g,,,,63mg,5.0,1,,36 s'mores cookies, 1 hr,,,,,,
46,7108668,10 mins,20 mins, 1 hr 30 mins,16 ,16,133,6g,4g,27mg,107mg,18g,0g,,2g,,,,38mg,4.7,9, 1 hr,16 snickerdoodle bars,,,,,,,
47,7108599,20 mins,25 mins, 3 hrs 45 mins,8 ,8,448,27g,14g,95mg,150mg,45g,2g,,5g,,,,164mg,,,,1 9-inch pie,,,, 3 hrs,,,
48,6740843,20 mins,55 mins, 5 hrs 15 mins,16 ,,,,,,,,,,,,,,,4.7,78,,1 9-inch cheesecake,,,, 4 hrs,,,
49,7107012,15 mins,, 4 hrs 15 mins,8 ,8,249,19g,10g,64mg,280mg,17g,0g,,3g,,,,107mg,,,,,,,,, 4 hrs,,
50,7106098,15 mins,,50 mins,16 ,16,437,24g,14g,38mg,183mg,53g,2g,,4g,,,,145mg,5.0,2,,,,,,15 mins,,20 mins,
51,7105073,, 1 hr 30 mins, 3 hrs 40 mins,6 ,6,489,24g,15g,136mg,437mg,62g,2g,,7g,,,,271mg,5.0,3, 1 hr 40 mins,,,,,,,,30 mins
52,7104331,30 mins, 1 hr 30 mins, 2 hrs 10 mins,16 ,16,625,30g,19g,124mg,221mg,85g,2g,,7g,,,,132mg,4.1,7,,1 10-inch tube cake,,,,10 mins,,,
53,7104165,20 mins, 1 hr 25 mins, 3 hrs 45 mins,14 ,14,707,34g,22g,80mg,249mg,99g,3g,74g,6g,0mg,83mg,2mg,185mg,3.8,8,,1 (10-inch) Bundt cake,,,, 2 hrs 20 mins,,,
54,6575238,20 mins,25 mins, 1 hr 15 mins,48 ,48,165,9g,5g,19mg,108mg,21g,1g,14g,1g,,21mg,0mg,20mg,,,,48 cookie bars,,,,30 mins,,,
55,6649373,5 mins,,5 mins,8 ,8,330,27g,15g,82mg,72mg,19g,1g,,4g,,,,115mg,,,,,,,,,,,
56,7100435,10 mins,10 mins,30 mins,16 ,16,173,10g,3g,12mg,194mg,19g,1g,,5g,,,,141mg,4.7,9,10 mins,16 cookies,,,,,,,
57,7097881,5 mins,,5 mins,4 ,4,305,23g,14g,82mg,25mg,19g,2g,,2g,,,,128mg,4.8,5,,,,,,,,,
58,6664599,5 mins,, 4 hrs 10 mins,2 ,2,440,36g,23g,135mg,203mg,24g,,,5g,,,,214mg,5.0,1,,,, 4 hrs 5 mins,,,,,
59,7096822, 1 hr,40 mins, 7 hrs 40 mins,8 ,8,785,45g,25g,51mg,539mg,81g,5g,,18g,,,,455mg,5.0,1,,1 cheesecake,,, 6 hrs,,,,
