,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Yield:,Total Sugars,Vitamin C,Calcium,Iron
10,6579113,K-Dub's Alfredo Ravioli Bake,10 mins,55 mins,, 1 hr 5 mins,6 ,6,717,43g,20g,149mg,1270mg,43g,4g,40g,260mg,4.6,102,6 servings,6g,1mg,525mg,3mg
11,6592237,"Spinach, Feta, and Pine Nut Ravioli Filling", 1 hr 10 mins,5 mins,, 1 hr 15 mins,4 ,4,383,22g,8g,76mg,499mg,31g,3g,18g,536mg,4.6,38,30 2-inch ravioli,3g,20mg,266mg,5mg
12,6569738,Mushroom and Spinach Ravioli with Chive Butter Sauce, 2 hrs,20 mins,, 2 hrs 20 mins,6 ,6,371,19g,10g,108mg,392mg,36g,2g,14g,308mg,4.7,117,6 servings,2g,4mg,179mg,3mg
13,6573964,Afghan Beef Raviolis (Mantwo),45 mins, 1 hr 25 mins,, 2 hrs 10 mins,4 ,4,506,16g,6g,76mg,1173mg,57g,9g,34g,824mg,4.3,47,4 servings,9g,6mg,172mg,6mg
14,6581692,Heart-Shaped Ravioli,40 mins,15 mins,20 mins, 1 hr 15 mins,4 ,4,415,12g,6g,165mg,289mg,52g,2g,23g,205mg,,,,1g,,351mg,4mg
15,6651150,Balsamic Ravioli,10 mins,25 mins,,35 mins,5 ,5,474,24g,9g,71mg,330mg,48g,5g,19g,176mg,4.7,15,,4g,0mg,254mg,3mg
16,6591123,Angel's Ravioli Alfredo with Mushrooms,15 mins,15 mins,,30 mins,6 ,6,516,32g,16g,75mg,1061mg,44g,2g,18g,333mg,4.6,70,,4g,5mg,161mg,2mg
17,6572902,Ravioli Lasagna,10 mins,50 mins,10 mins, 1 hr 10 mins,6 ,6,496,22g,12g,150mg,923mg,45g,6g,30g,412mg,3.9,34,1 8x8-inch casserole,6g,3mg,661mg,4mg
18,6588263,Inside Out Ravioli I,,,,,8 ,8,545,26g,9g,142mg,780mg,52g,6g,26g,913mg,4.3,118,8 servings,10g,11mg,175mg,6mg
19,6600384,Italian Sausage Ravioli Bake,10 mins,50 mins,, 1 hr,6 ,6,581,29g,11g,78mg,1780mg,51g,6g,27g,715mg,4.8,31,1 9x13-inch pasta bake,17g,8mg,329mg,5mg
20,6593408,Manti (Turkish 'Ravioli' with Yogurt Sauce),10 mins,10 mins,,20 mins,4 ,4,293,17g,10g,60mg,1098mg,27g,3g,9g,193mg,3.9,17,,3g,3mg,120mg,2mg
21,6579420,Crunchy Air-Fried Ravioli,15 mins,10 mins,,25 mins,8 ,8,293,9g,4g,103mg,582mg,43g,3g,14g,105mg,5.0,2,8 servings,2g,0mg,132mg,2mg
22,6580420,Pumpkin Ravioli with Sage-Brown Butter Sauce,45 mins,40 mins,30 mins, 1 hr 55 mins,8 ,8,374,18g,10g,151mg,752mg,42g,2g,11g,258mg,,,8 servings,1g,4mg,77mg,3mg
23,6590500,Butternut Squash Ravioli with Brown Butter Sauce, 1 hr,45 mins,, 1 hr 45 mins,6 ,6,664,49g,17g,151mg,1018mg,44g,3g,12g,243mg,4.5,2,,4g,6mg,134mg,3mg
24,6600346,Cheese Ravioli with Three Pepper Topping,15 mins,20 mins,,35 mins,6 ,6,255,12g,4g,30mg,128mg,28g,3g,9g,144mg,4.2,272,6 servings,3g,38mg,112mg,2mg
25,6577521,Beet and Goat Cheese Ravioli, 2 hrs, 1 hr 15 mins, 1 hr, 4 hrs 15 mins,8 ,8,332,12g,7g,94mg,392mg,44g,5g,14g,386mg,,,8 servings,5g,7mg,112mg,3mg
26,6664952,Easy Ravioli Lasagna (Make-Ahead Freezer Meal),10 mins, 1 hr 50 mins,10 mins, 2 hrs 10 mins,8 ,8,608,23g,12g,121mg,1017mg,67g,7g,33g,533mg,,,1 9x13-inch lasagna,,,,
27,6663162,Mushroom Ravioli,20 mins,15 mins,,35 mins,2 ,2,600,37g,22g,99mg,1058mg,57g,4g,13g,516mg,,,2 servings,5g,8mg,93mg,4mg
28,6572537,Shrimp and Pasta in Lemon Cream Sauce,10 mins,10 mins,,20 mins,4 ,4,341,8g,4g,197mg,536mg,42g,0g,25g,303mg,4.3,10,4 servings,2g,5mg,55mg,4mg
29,6563401,Mushroom Ravioli in a Creamy Marsala Wine Sauce,10 mins,20 mins,,30 mins,8 ,8,330,21g,11g,77mg,114mg,24g,2g,9g,216mg,5.0,1,8 servings,4g,2mg,110mg,1mg
30,6564042,Pumpkin Ravioli with Chicken and Pumpkin-Sage Sauce,10 mins,15 mins,,25 mins,4 ,4,359,16g,9g,118mg,211mg,22g,2g,30g,252mg,3.0,1,4 servings,1g,1mg,45mg,1mg
31,6598456,Cheese Ravioli with Pumpkin Sauce,10 mins,20 mins,,30 mins,6 ,6,454,16g,9g,71mg,509mg,61g,6g,19g,291mg,3.7,3,6 servings,15g,3mg,284mg,4mg
32,6568082,Cheesy Pumpkin Ravioli,5 mins,15 mins,,20 mins,6 ,6,581,30g,15g,101mg,1294mg,56g,6g,25g,358mg,4.0,6,6 servings,10g,2mg,431mg,4mg
