,id_recipe,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rest Time:,Bake Time:,Additional Time:
46,6584248,15 mins, 1 hr 25 mins,, 2 hrs,16 ,2 deep dish pies,16,364,17g,8g,68mg,333mg,50g,1g,27g,5g,18mg,104mg,3mg,837mg,4.9,23,,,20 mins
47,6649174,10 mins,15 mins,,25 mins,4 ,1 cup,4,217,19g,4g,,297mg,6g,1g,0g,9g,1mg,15mg,5mg,279mg,4.7,203,,,
48,6648339,15 mins,40 mins,,55 mins,18 ,1 (9x13-inch) cake,18,287,14g,6g,61mg,312mg,39g,1g,28g,4g,1mg,61mg,1mg,109mg,4.7,575,,,
49,6664405,15 mins, 1 hr,, 1 hr 25 mins,30 ,4 to 6 cups,30,16,0g,,,1mg,4g,0g,,1g,5mg,13mg,1mg,206mg,4.7,82,,,10 mins
50,6664657,10 mins,20 mins,,30 mins,12 ,,12,197,8g,2g,31mg,181mg,30g,1g,17g,3g,1mg,32mg,1mg,87mg,4.5,"1,439",,,
51,6571006,25 mins, 1 hr 5 mins,, 1 hr 40 mins,6 ,,6,161,11g,5g,20mg,461mg,14g,1g,2g,4g,20mg,132mg,1mg,306mg,4.5,225,,,10 mins
52,6568102,25 mins,15 mins,,40 mins,4 ,,4,501,9g,2g,49mg,145mg,105g,15g,17g,12g,143mg,374mg,6mg,2524mg,4.5,184,,,
53,6663920,15 mins,45 mins,, 1 hr,8 ,1 9-inch pie,8,320,14g,5g,117mg,465mg,42g,3g,29g,8g,4mg,170mg,2mg,324mg,4.8,923,,,
54,6663673,25 mins,25 mins,, 1 hr 40 mins,24 ,24 cupcakes,24,237,10g,6g,41mg,218mg,36g,1g,25g,3g,0mg,66mg,1mg,71mg,4.6,580,,,50 mins
55,6577040,20 mins, 1 hr,, 1 hr 20 mins,6 ,,6,155,8g,5g,21mg,125mg,21g,6g,2g,4g,15mg,75mg,1mg,579mg,4.6,198,,,
56,6664700,20 mins,45 mins,, 1 hr 5 mins,12 ,1 9x5-inch loaf pan,12,328,11g,2g,31mg,258mg,56g,3g,30g,5g,3mg,54mg,2mg,275mg,4.3,547,,,
57,6649713,10 mins,50 mins,, 1 hr,12 ,1 (9x13-inch) cake,12,434,20g,9g,76mg,658mg,58g,4g,42g,8g,4mg,145mg,2mg,340mg,4.5,195,,,
58,6604377,15 mins, 1 hr 10 mins,, 1 hr 55 mins,8 slices,1 loaf,8,430,24g,4g,93mg,426mg,50g,2g,31g,6g,1mg,49mg,2mg,118mg,4.6,160,,,30 mins
59,6594790,,,,,12 ,1 dozen,12,192,5g,1g,18mg,151mg,34g,1g,17g,4g,1mg,36mg,1mg,98mg,3.3,65,,,
60,6664269,15 mins, 1 hr,, 1 hr 15 mins,18 ,1 9x13-inch cake,18,412,24g,7g,48mg,533mg,47g,2g,35g,5g,2mg,116mg,1mg,185mg,4.7,384,,,
61,6591876,10 mins,22 mins,,32 mins,4 ,,4,92,4g,1g,,165mg,13g,2g,3g,1g,24mg,55mg,1mg,401mg,5.0,7,,,
62,6604563,15 mins,20 mins,,40 mins,24 ,24 cookies,24,98,3g,1g,,188mg,17g,1g,10g,2g,1mg,16mg,1mg,63mg,4.4,352,,,5 mins
