,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Yield:,Additional Time:,Cool Time:
11,6603549,Classic American-Style Potato Salad,20 mins,30 mins,50 mins,6 ,6,291,17g,3g,100mg,550mg,29g,3g,4g,7g,17mg,47mg,2mg,803mg,4.7,91,,,,
12,6738488,Southern Potato Salad,30 mins,30 mins, 1 hr,4 ,4,460,27g,5g,196mg,455mg,45g,5g,7g,11g,43mg,62mg,3mg,998mg,4.6,730,,,,
13,6663206,Southern Dill Potato Salad,20 mins,25 mins, 1 hr 15 mins,8 ,8,279,24g,6g,134mg,413mg,11g,1g,1g,6g,5mg,60mg,1mg,329mg,4.6,280,,,30 mins,
14,6578411,Mom's Mashed Potato Salad,20 mins,25 mins, 1 hr 45 mins,8 ,8,309,24g,4g,90mg,222mg,20g,2g,2g,5g,1mg,20mg,0mg,65mg,4.7,96,,, 1 hr,
15,6570785,Potato Salad for a Crowd,30 mins,35 mins, 9 hrs 5 mins,40 ,40,285,20g,4g,107mg,407mg,21g,3g,1g,6g,23mg,34mg,2mg,532mg,4.8,37,,, 8 hrs,
16,6575037,Sweet Potato Potato Salad,10 mins,45 mins,55 mins,8 ,8,256,18g,3g,102mg,472mg,18g,2g,2g,6g,10mg,39mg,1mg,498mg,4.6,299,,,,
17,6579672,Baked Potato Salad,25 mins,30 mins, 8 hrs 55 mins,12 ,12,322,18g,9g,48mg,614mg,29g,3g,1g,13g,30mg,195mg,2mg,772mg,4.4,81,,, 8 hrs,
18,6576016,Italian Potato Salad,10 mins,15 mins, 13 hrs 45 mins,8 ,8,348,19g,3g,,17mg,41g,5g,2g,5g,49mg,33mg,2mg,988mg,4.1,58,,8 servings, 13 hrs 20 mins,
19,6582253,Quick Potato Salad,20 mins,5 mins,25 mins,6 ,6,160,5g,1g,93mg,391mg,25g,3g,9g,6g,20mg,52mg,1mg,567mg,4.4,23,,4 cups,,
20,6737108,American Potato Salad,30 mins,30 mins, 3 hrs,12 ,12,329,16g,3g,103mg,721mg,41g,4g,5g,7g,23mg,47mg,2mg,958mg,4.6,319,,12 to 15 servings, 2 hrs,
21,6664278,The Best Potato Salad,20 mins,20 mins, 3 hrs 40 mins,12 ,12,365,23g,4g,102mg,785mg,35g,3g,3g,7g,13mg,42mg,1mg,589mg,4.7,951,,12 servings, 3 hrs,
22,6591720,New Red Potato Salad,20 mins,15 mins, 2 hrs 35 mins,12 ,12,315,24g,4g,73mg,291mg,22g,2g,2g,5g,14mg,26mg,1mg,455mg,4.6,554,,12 servings, 2 hrs,
23,6665019,"Cauliflower ""Potato"" Salad",25 mins,10 mins,55 mins,8 ,8,242,23g,4g,63mg,2001mg,6g,2g,3g,3g,34mg,46mg,1mg,274mg,4.9,14,,,20 mins,
24,6590862,Chicken Potato Salad,,,,7 ,7,340,25g,4g,92mg,600mg,18g,2g,1g,13g,19mg,26mg,1mg,493mg,4.6,26,,6 to 8 servings,,
25,6587524,All-American Loaded Baked Potato Salad,20 mins,20 mins, 1 hr 40 mins,6 ,6,434,27g,11g,57mg,1162mg,35g,4g,7g,13g,33mg,206mg,2mg,751mg,4.8,29,,6 servings, 1 hr,
26,6736737,Kristen's Bacon Ranch Potato Salad,15 mins,20 mins, 2 hrs 35 mins,8 ,8,484,33g,17g,83mg,1101mg,27g,3g,3g,22g,21mg,307mg,2mg,956mg,4.6,121,,8 servings, 2 hrs,
27,6600911,Bacon and Eggs Potato Salad,10 mins,10 mins, 1 hr 20 mins,8 ,8,365,26g,4g,143mg,414mg,27g,3g,3g,8g,16mg,40mg,2mg,731mg,4.8,64,,8 servings, 1 hr,
28,6579759,Amish Potato Salad,30 mins,20 mins,50 mins,8 ,8,497,31g,7g,163mg,425mg,49g,5g,23g,9g,34mg,75mg,2mg,844mg,4.5,135,,8 servings,,
29,6600418,South African Potato Salad,20 mins,20 mins,40 mins,15 ,15,412,23g,5g,141mg,218mg,43g,5g,17g,10g,37mg,120mg,2mg,881mg,4.2,13,,15 servings,,
30,6738796,Green Bean and Potato Salad,15 mins,20 mins,35 mins,10 ,10,176,11g,2g,,97mg,17g,2g,2g,2g,16mg,22mg,1mg,327mg,4.2,193,,,,
31,6600380,Mom's Dill Potato Salad,15 mins,15 mins, 2 hrs 30 mins,12 ,12,245,18g,4g,13mg,133mg,20g,2g,2g,3g,11mg,42mg,1mg,570mg,4.6,105,,12 servings, 2 hrs,
32,6587336,Potato Salad with Chives,15 mins,20 mins,35 mins,6 ,6,318,23g,7g,24mg,133mg,26g,3g,1g,4g,31mg,69mg,1mg,639mg,4.3,12,,6 servings,,
33,6737746,Perfect Potato Salad,15 mins,45 mins, 3 hrs 30 mins,12 ,12,279,20g,3g,62mg,2282mg,22g,2g,1g,4g,8mg,33mg,1mg,519mg,4.5,56, 2 hrs,12 servings,,30 mins
34,6597506,Russian Potato Salad,25 mins,25 mins,50 mins,10 ,10,478,28g,5g,136mg,1609mg,43g,7g,5g,15g,45mg,133mg,4mg,1186mg,4.6,34,,10 servings,,
35,6601133,Pressure Cooker Potato Salad,20 mins,10 mins, 1 hr 30 mins,6 ,6,341,17g,3g,113mg,150mg,40g,4g,3g,7g,26mg,30mg,1mg,793mg,4.6,22,,6 servings, 1 hr,
36,6739126,Grilled Potato Salad,15 mins,30 mins,55 mins,8 ,8,290,21g,4g,10mg,457mg,19g,2g,2g,6g,13mg,21mg,1mg,600mg,4.7,71,,,10 mins,
37,6577315,Blue Cheese Potato Salad,30 mins,15 mins,45 mins,5 ,5,481,34g,8g,22mg,552mg,37g,4g,3g,8g,30mg,89mg,2mg,817mg,4.5,178,,4 to 6 servings,,
38,6741615,Grandma's Creamy Potato Salad,15 mins,25 mins,50 mins,6 ,6,538,48g,8g,162mg,795mg,23g,3g,3g,7g,12mg,46mg,2mg,653mg,4.7,15,,6 servings,10 mins,
39,6738340,Peruvian Potato-Chicken Salad (Causa Rellena),40 mins,25 mins, 2 hrs 5 mins,4 ,4,658,49g,9g,58mg,391mg,41g,7g,4g,19g,19mg,34mg,1mg,420mg,5.0,6,,, 1 hr,
40,6597854,Caesar Potato Salad,15 mins,30 mins,45 mins,16 ,16,239,6g,1g,7mg,173mg,41g,4g,3g,7g,23mg,33mg,2mg,1203mg,4.4,15,,,,
41,6575606,Hawaiian Bruddah Potato Mac (Macaroni) Salad,30 mins,20 mins, 8 hrs 50 mins,20 ,20,387,28g,4g,59mg,346mg,30g,4g,3g,6g,28mg,34mg,2mg,632mg,4.7,44,,, 8 hrs,
42,6650580,Best Classic Potato Salad,25 mins,15 mins, 2 hrs 40 mins,12 ,12,330,18g,4g,72mg,947mg,37g,3g,2g,7g,13mg,53mg,2mg,874mg,4.8,12,,, 2 hrs,
43,6603676,Simple Potato Salad,10 mins,30 mins,40 mins,3 ,3,557,36g,5g,164mg,1059mg,50g,4g,18g,8g,18mg,39mg,2mg,1014mg,4.5,57,,,,
44,6737210,Restaurant-Style Potato Salad,15 mins,15 mins,30 mins,8 ,8,298,22g,3g,10mg,200mg,24g,3g,4g,3g,23mg,18mg,1mg,490mg,4.6,384,,,,
45,6573767,Mother's Potato Salad,45 mins,20 mins, 2 hrs 35 mins,10 ,10,501,30g,5g,106mg,613mg,52g,4g,10g,9g,25mg,60mg,3mg,1057mg,4.7,29,,, 1 hr 30 mins,
46,6650120,Armenian-Style Potato Salad,15 mins,15 mins, 3 hrs 30 mins,8 ,8,272,14g,2g,,734mg,35g,4g,,4g,,,,95mg,4.5,6, 3 hrs,,,
47,6604370,Russian Beet and Potato Salad,20 mins,30 mins, 1 hr 50 mins,8 ,8,145,7g,1g,,384mg,20g,3g,3g,2g,12mg,16mg,1mg,410mg,4.5,50,,, 1 hr,
48,6579785,Instant Pot Potato Salad,10 mins,20 mins, 1 hr 45 mins,8 ,8,163,8g,2g,72mg,184mg,20g,3g,2g,5g,11mg,35mg,1mg,596mg,4.7,6,,, 1 hr 15 mins,
49,6582726,Schwabischer Kartoffelsalat (German Potato Salad - Swabian-Style),15 mins,25 mins,40 mins,8 ,8,121,4g,1g,,45mg,20g,3g,1g,2g,23mg,16mg,1mg,489mg,4.2,18,,8 servings,,
50,6605823,Red Potato Salad with Sour Cream and Chives,15 mins,15 mins,30 mins,10 ,10,206,3g,2g,7mg,252mg,41g,4g,3g,5g,27mg,39mg,1mg,794mg,4.1,112,,10 servings,,
51,6590413,Asian Potato Salad,15 mins,20 mins, 1 hr 50 mins,12 ,12,281,21g,3g,13mg,320mg,20g,3g,1g,4g,24mg,24mg,1mg,500mg,4.5,59,,, 1 hr 15 mins,
52,6588608,Real German Potato Salad (No Mayo),15 mins,20 mins,35 mins,8 ,8,151,11g,2g,10mg,272mg,10g,1g,1g,5g,6mg,12mg,1mg,300mg,4.2,17,,,,
53,6739452,German Potato Salad,10 mins,20 mins,30 mins,4 ,4,328,13g,4g,19mg,250mg,46g,5g,8g,8g,45mg,38mg,2mg,992mg,4.6,413,,,,
54,6739075,Mediterranean Potato Salad,15 mins,45 mins, 1 hr,16 ,16,139,5g,3g,13mg,344mg,19g,2g,2g,5g,23mg,94mg,1mg,311mg,4.4,91,,1 salad,,
55,6599867,Picnic Potato Salad with No Mayonnaise,15 mins,10 mins,55 mins,6 ,6,272,14g,5g,13mg,503mg,30g,4g,3g,7g,32mg,115mg,1mg,711mg,4.6,106,,6 servings,30 mins,
56,6579005,Barbeque Potato Salad,30 mins,20 mins, 2 hrs 50 mins,12 ,12,398,25g,4g,103mg,319mg,39g,4g,5g,7g,38mg,41mg,2mg,869mg,4.5,34,,, 2 hrs,
57,6601440,Potato Salad - German Kartoffel,15 mins,20 mins, 1 hr 35 mins,6 ,6,241,6g,2g,145mg,527mg,39g,4g,5g,8g,25mg,36mg,1mg,710mg,4.6,19,,6 servings, 1 hr,
58,6596539,My Mom's Potato Salad with Carrot and Egg,35 mins,15 mins, 1 hr 35 mins,4 ,4,354,17g,3g,113mg,193mg,44g,6g,5g,8g,46mg,59mg,2mg,1099mg,5.0,2,,,45 mins,
