,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C,Total Sugars
12,6602673,15 mins,5 mins, 2 hrs, 2 hrs 20 mins,24 ,24 servings,24,271,13g,8g,27mg,64mg,39g,,1g,43mg,,8mg,4.5,128,,36g
13,6577406,,,,,20 ,,20,121,4g,2g,9mg,26mg,23g,,0g,4mg,,6mg,3.1,68,,22g
14,6593477,5 mins,40 mins, 2 hrs 2 mins, 2 hrs 47 mins,24 ,24 servings,24,155,5g,4g,7mg,25mg,26g,0g,2g,48mg,0mg,94mg,2.5,6,1mg,26g
15,6595415,3 mins,2 mins,10 mins,15 mins,36 ,1 9x9-inch dish,36,81,3g,2g,7mg,19mg,15g,0g,0g,4mg,0mg,22mg,4.3,222,,
16,6597090,5 mins,15 mins, 1 hr, 1 hr 20 mins,70 ,70 pieces,70,121,5g,2g,5mg,51mg,17g,0g,2g,18mg,0mg,65mg,5.0,1,0mg,15g
17,6583035,15 mins,15 mins,15 mins,45 mins,12 ,1 - 9x9 inch dish,12,283,13g,5g,16mg,93mg,43g,2g,2g,19mg,1mg,104mg,4.1,49,0mg,40g
18,6648564,15 mins,5 mins, 1 hr, 1 hr 20 mins,64 ,64 small cubes,64,95,7g,3g,10mg,43mg,8g,0g,2g,4mg,0mg,41mg,4.9,34,,8g
19,6571298,10 mins,15 mins,,25 mins,16 ,,16,162,5g,2g,7mg,31mg,30g,0g,1g,59mg,0mg,91mg,4.6,33,0mg,29g
20,6593632,,,,,32 ,2 pounds,32,115,3g,1g,3mg,33mg,21g,1g,2g,24mg,0mg,61mg,4.1,211,0mg,20g
21,6583613,5 mins,15 mins, 2 hrs, 2 hrs 20 mins,64 ,64 pieces,64,89,4g,3g,8mg,24mg,12g,0g,1g,16mg,,23mg,4.3,68,0mg,11g
22,6603110,,10 mins, 1 hr, 1 hr 10 mins,16 ,16 squares,16,398,15g,5g,9mg,151mg,63g,2g,7g,52mg,1mg,219mg,4.2,42,,58g
23,6567957,10 mins,20 mins, 1 hr, 1 hr 30 mins,24 ,1 (9x13-inch) pan,24,250,11g,3g,2mg,104mg,37g,1g,3g,23mg,1mg,60mg,5.0,2,0mg,34g
24,6589091,10 mins,5 mins,30 mins,45 mins,12 ,12 servings,12,422,23g,19g,31mg,205mg,40g,,12g,95mg,0mg,124mg,4.4,5,1mg,36g
25,6601950,5 mins,,10 mins,15 mins,4 ,,4,241,16g,3g,,150mg,20g,2g,8g,27mg,1mg,250mg,4.0,24,,15g
26,6567021,10 mins,20 mins, 1 hr 5 mins, 1 hr 35 mins,16 ,1 (9-inch) pan,16,124,1g,1g,,14mg,28g,1g,0g,2mg,0mg,74mg,1.0,1,3mg,25g
27,6573094,15 mins,30 mins,,45 mins,50 ,50 squares,50,41,1g,0g,2mg,17mg,9g,0g,0g,7mg,0mg,21mg,3.9,42,,8g
28,6604416,15 mins,10 mins,30 mins,55 mins,12 ,1 9-inch square pan,12,340,14g,4g,12mg,139mg,49g,1g,8g,92mg,1mg,237mg,4.7,23,1mg,47g
29,6598466,5 mins,5 mins, 3 hrs, 3 hrs 10 mins,25 ,25 squares,25,79,3g,2g,1mg,9mg,12g,1g,1g,21mg,,33mg,4.2,21,,11g
30,6599685,5 mins,3 mins, 3 hrs, 3 hrs 8 mins,35 ,,35,78,4g,2g,3mg,12mg,11g,1g,1g,28mg,0mg,68mg,4.5,18,0mg,10g
