,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Vitamin C,Bake Time:,Cool Time:
23,6588417,20 mins,20 mins, 1 hr 5 mins, 1 hr 45 mins,72 ,6 dozen cookies,72,117,7g,4g,14mg,52mg,13g,0g,7g,1g,15mg,0mg,22mg,4.8,17,,,,
24,6587831,40 mins,10 mins,40 mins, 1 hr 30 mins,20 ,5 dozen,20,333,16g,5g,19mg,379mg,44g,1g,26g,3g,23mg,1mg,72mg,4.1,21,,,,
25,6580255,25 mins,10 mins, 2 hrs 10 mins, 2 hrs 45 mins,48 ,48 cookies,48,89,4g,1g,4mg,68mg,14g,0g,9g,1g,9mg,0mg,40mg,4.7,3,,,,
26,6592049,15 mins,30 mins, 2 hrs 50 mins, 3 hrs 35 mins,108 ,9 dozen,108,91,5g,3g,9mg,38mg,11g,0g,6g,1g,6mg,0mg,24mg,3.0,1,,,,
27,6582935,,,,,36 ,6 dozen,36,227,15g,7g,48mg,28mg,21g,1g,9g,3g,20mg,1mg,63mg,4.1,22,,0mg,,
28,6568837,15 mins,10 mins,,25 mins,30 ,2 1/2 dozen,30,114,8g,4g,18mg,38mg,9g,1g,2g,2g,17mg,1mg,48mg,3.0,4,,0mg,,
29,6587509,20 mins,10 mins,20 mins,50 mins,24 ,24 cookies,24,157,8g,5g,40mg,54mg,19g,0g,10g,2g,9mg,1mg,22mg,4.0,4,,,,
30,6602383,30 mins,10 mins, 1 hr, 1 hr 40 mins,36 ,36 cookies,36,162,10g,6g,27mg,109mg,17g,0g,9g,2g,36mg,1mg,31mg,5.0,1,,0mg,,
31,6563084,,,,,36 ,2 1/2 to 3 dozen cookies,36,140,9g,5g,27mg,56mg,14g,0g,8g,2g,26mg,0mg,53mg,2.6,7,,0mg,,
32,6589070,20 mins,12 mins,43 mins, 1 hr 15 mins,24 ,2 dozen cookies,24,151,6g,3g,19mg,64mg,24g,1g,12g,2g,18mg,1mg,55mg,4.4,20,,0mg,,
33,6566802,25 mins,20 mins,,45 mins,48 ,48 cookies,48,88,4g,2g,14mg,54mg,13g,1g,8g,1g,15mg,1mg,42mg,,,,0mg,,
34,6602699,,,,,12 ,2 dozen,12,307,19g,8g,41mg,126mg,33g,2g,17g,4g,42mg,1mg,143mg,4.3,16,,0mg,,
35,6583075,30 mins,15 mins,55 mins, 1 hr 40 mins,20 ,20 cookies,20,302,22g,12g,59mg,152mg,25g,1g,14g,4g,21mg,1mg,79mg,3.5,2,,0mg,,
36,6575908,15 mins,8 mins,22 mins,45 mins,30 ,2 1/2 dozen,30,98,5g,2g,15mg,67mg,13g,0g,6g,1g,11mg,1mg,29mg,4.5,67,,,,
37,6597624,20 mins,15 mins,,35 mins,36 ,3 dozen cookies,36,97,4g,2g,8mg,102mg,15g,2g,8g,2g,16mg,1mg,48mg,5.0,2,,0mg,,
38,6577740,,,,,12 ,2 dozen,12,306,15g,6g,36mg,83mg,42g,1g,21g,4g,23mg,1mg,89mg,3.4,5,,3mg,,
39,6600508,,,,,12 ,2 dozen,12,130,8g,5g,37mg,66mg,13g,0g,5g,2g,10mg,1mg,30mg,4.0,5,,,,
40,6596192,,,,,24 ,4 dozen,24,215,12g,8g,38mg,117mg,25g,1g,11g,3g,27mg,1mg,75mg,4.0,48,,,,
41,6594165,,,,,18 ,3 dozen,18,504,32g,12g,184mg,186mg,46g,2g,3g,9g,56mg,3mg,113mg,4.4,5,,0mg,,
42,6584904,20 mins,10 mins,15 mins,45 mins,24 ,48 cookies,24,160,9g,5g,31mg,185mg,19g,0g,11g,2g,40mg,1mg,35mg,3.7,3,,,,
43,6565861,20 mins,10 mins,30 mins, 1 hr,24 ,2 dozen,24,225,14g,8g,38mg,133mg,23g,3g,12g,3g,33mg,0mg,68mg,,,,0mg,,
44,6562384,25 mins,15 mins,35 mins, 1 hr 15 mins,54 ,4 1/2 dozen,54,164,8g,5g,27mg,83mg,22g,1g,6g,2g,24mg,1mg,58mg,,,,1mg,,
45,6595527, 1 hr 20 mins,10 mins,, 1 hr 30 mins,60 ,60 servings,60,98,7g,3g,18mg,41mg,8g,0g,4g,2g,9mg,0mg,28mg,4.8,4,,0mg,,
46,6577584,30 mins,12 mins,30 mins, 1 hr 12 mins,36 ,3 dozen cookies,36,52,2g,1g,15mg,32mg,8g,0g,4g,1g,3mg,0mg,11mg,3.9,17,,1mg,,
47,6596009,15 mins,16 mins, 1 hr 29 mins, 2 hrs,24 ,2 dozen,24,188,13g,6g,37mg,61mg,17g,1g,7g,3g,16mg,1mg,56mg,4.0,2,,0mg,,
48,6650603,15 mins,15 mins,,30 mins,24 ,24 cookies,24,94,5g,3g,10mg,51mg,13g,0g,,1g,7mg,0mg,22mg,4.3,411,,1mg,,
49,6602704,15 mins,15 mins,,30 mins,20 ,20 cookies,20,141,7g,4g,26mg,95mg,18g,0g,10g,2g,33mg,1mg,33mg,,,,,,
50,6596380,20 mins,20 mins, 1 hr, 1 hr 40 mins,12 ,12 cookies,12,204,13g,7g,36mg,50mg,20g,1g,11g,3g,12mg,1mg,88mg,,,,0mg,,
51,6587269,40 mins,15 mins,,55 mins,36 ,3 dozen,36,94,5g,3g,14mg,38mg,11g,0g,5g,1g,4mg,0mg,12mg,4.6,615,,0mg,,
52,6580365,,,,,18 ,3 dozen,18,179,6g,3g,34mg,180mg,30g,1g,17g,2g,24mg,2mg,32mg,3.8,12,,2mg,,
53,6578954,20 mins,10 mins,4 mins,34 mins,36 ,3 dozen,36,164,9g,4g,10mg,112mg,19g,1g,11g,3g,6mg,1mg,35mg,4.8,4,,,,
54,6567515,40 mins,10 mins,30 mins, 1 hr 20 mins,36 ,36 cookies,36,118,6g,3g,11mg,34mg,15g,1g,8g,2g,15mg,1mg,48mg,,,,0mg,,
55,6562079,30 mins,8 mins,,38 mins,20 ,36 cookies,20,181,7g,5g,28mg,147mg,27g,1g,15g,2g,18mg,1mg,87mg,,,,0mg,,
