,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
13,6571618,Easy as Pie Strawberry Pie,10 mins,,,10 mins,8 ,1 9-inch pie,8,220,12g,8g,,138mg,26g,1g,17g,1g,14mg,11mg,1mg,74mg,4.1,17
14,6602850,Favorite Strawberry Rhubarb Pie,15 mins,40 mins, 1 hr 15 mins, 2 hrs 10 mins,8 ,1 9-inch pie,8,442,18g,6g,8mg,257mg,69g,4g,41g,4g,41mg,56mg,2mg,259mg,4.6,82
15,6588324,Renee's Strawberry Rhubarb Pie,30 mins,55 mins, 3 hrs, 4 hrs 25 mins,8 ,1 9-inch pie,8,391,15g,4g,,244mg,61g,4g,36g,4g,34mg,50mg,2mg,233mg,4.7,167
16,6577029,The Old Boy's Strawberry Pie,15 mins, 1 hr,, 1 hr 15 mins,8 ,1 9-inch pie,8,410,17g,7g,23mg,179mg,63g,3g,35g,4g,42mg,20mg,2mg,149mg,4.6,384
17,6577468,Strawberry Pie without Jell-O®,15 mins,10 mins, 3 hrs, 3 hrs 25 mins,8 ,1 9-inch pie,8,312,8g,2g,,188mg,58g,3g,39g,2g,68mg,26mg,1mg,203mg,5.0,1
18,6600838,Strawberry Delight Dessert Pie,30 mins,, 4 hrs, 4 hrs 30 mins,12 ,1 9x13-inch pan,12,371,20g,13g,40mg,420mg,45g,2g,35g,5g,35mg,118mg,1mg,246mg,4.7,66
19,6589659,Strawberry Delight Pie,10 mins,, 1 hr, 1 hr 10 mins,8 ,1 8-inch pie,8,271,10g,4g,16mg,236mg,38g,1g,23g,4g,27mg,44mg,1mg,135mg,4.8,6
20,6577638,Strawberry Chiffon Pie,25 mins,, 5 hrs 35 mins, 6 hrs,8 ,1 9-inch pie,8,287,13g,5g,20mg,212mg,41g,1g,31g,3g,13mg,21mg,1mg,102mg,5.0,1
21,6739422,Fresh Strawberry Tart,20 mins,20 mins, 1 hr 30 mins, 2 hrs 10 mins,8 ,1 12-inch tart,8,320,19g,9g,62mg,297mg,34g,1g,19g,4g,34mg,36mg,1mg,131mg,4.6,11
22,6737334,Fluffy Strawberry Pie,20 mins,, 2 hrs 10 mins, 2 hrs 30 mins,8 ,1 9-inch pie,8,319,15g,8g,,222mg,46g,2g,36g,3g,36mg,18mg,1mg,125mg,4.5,24
23,6601764,Strawberry Cream Pie to Die For,20 mins,, 1 hr, 1 hr 20 mins,8 ,1 9-inch pie,8,353,21g,12g,56mg,203mg,37g,2g,26g,3g,45mg,47mg,1mg,175mg,4.7,69
