,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:
17,6737893,5 mins,,,5 mins,16 ,4 cups,,,,,,,,,,,,,,,4.7,741,
18,6664978,15 mins,35 mins,,50 mins,8 ,,8,320,14g,6g,82mg,1559mg,25g,3g,1g,25g,3mg,30mg,3mg,464mg,4.7,215,
19,6663821,15 mins, 4 hrs 30 mins,, 4 hrs 45 mins,6 ,,6,918,36g,12g,179mg,2248mg,107g,24g,25g,47g,239mg,261mg,8mg,3120mg,4.7,169,
20,6650898,20 mins,,10 mins,30 mins,60 ,5 dozen,60,59,2g,2g,4mg,20mg,10g,0g,9g,0g,,3mg,0mg,14mg,4.4,306,
21,6651024,15 mins,10 mins,,25 mins,6 ,6 scones,6,198,8g,5g,20mg,308mg,29g,2g,1g,3g,6mg,71mg,1mg,274mg,4.5,25,
22,6738433,20 mins, 2 hrs 25 mins,, 2 hrs 45 mins,10 ,,10,672,39g,16g,163mg,1189mg,26g,4g,6g,46g,17mg,82mg,5mg,936mg,4.7,607,
23,6738141,5 mins,,30 mins,35 mins,15 ,,,,,,,,,,,,,,,,3.8,95,
24,6595517,15 mins,50 mins,, 1 hr 5 mins,4 ,,4,516,20g,11g,58mg,1414mg,50g,6g,6g,14g,50mg,92mg,3mg,1472mg,4.6,185,
25,6650131,45 mins,10 mins, 9 hrs 35 mins, 10 hrs 30 mins,96 ,8 dozen,96,61,3g,2g,13mg,17mg,7g,0g,,1g,0mg,7mg,0mg,21mg,4.7,333,
26,6738393,20 mins,25 mins,,45 mins,8 ,,8,250,13g,6g,26mg,217mg,30g,5g,4g,6g,45mg,59mg,1mg,756mg,4.8,824,
27,6740922,25 mins, 1 hr 10 mins,, 1 hr 35 mins,8 ,1 9x13-inch casserole,8,517,28g,13g,132mg,301mg,37g,4g,1g,29g,7mg,155mg,3mg,426mg,4.6,541,
28,6736966,25 mins, 2 hrs 25 mins,, 2 hrs 50 mins,6 ,,6,401,19g,7g,68mg,769mg,33g,5g,7g,20g,47mg,89mg,2mg,877mg,4.8,322,
29,6562369,25 mins,55 mins,, 1 hr 20 mins,32 ,,32,37,2g,0g,,19mg,5g,0g,4g,0g,2mg,5mg,0mg,35mg,4.7,47,
30,6736499,20 mins, 2 hrs 30 mins,5 mins, 2 hrs 55 mins,16 ,,16,286,17g,5g,61mg,1384mg,14g,,13g,17g,31mg,19mg,2mg,355mg,4.4,"1,185",
31,6649778,10 mins,,,10 mins,2 ,,2,412,19g,12g,70mg,183mg,53g,1g,45g,10g,1mg,350mg,1mg,534mg,4.7,51,
32,6600437,10 mins,,,10 mins,18 ,,18,246,2g,1g,5mg,68mg,58g,1g,48g,1g,16mg,63mg,0mg,202mg,4.8,32,
33,6649050,15 mins,30 mins,,45 mins,4 ,,4,218,3g,2g,8mg,33mg,43g,5g,2g,5g,42mg,28mg,2mg,906mg,4.1,55,
34,6737838,10 mins,25 mins,,35 mins,4 ,,4,326,13g,8g,35mg,420mg,47g,7g,6g,8g,56mg,144mg,3mg,1209mg,4.6,178,
35,6584040,10 mins,10 mins,,20 mins,6 ,,6,164,9g,3g,10mg,118mg,18g,4g,9g,5g,27mg,68mg,2mg,240mg,4.6,27,
36,6736756,15 mins, 8 hrs,, 8 hrs 15 mins,6 ,,6,647,34g,11g,123mg,2852mg,46g,9g,14g,39g,139mg,117mg,6mg,1757mg,4.6,212,
37,6664235,10 mins,30 mins,,40 mins,6 ,,6,251,20g,10g,42mg,645mg,14g,5g,7g,6g,76mg,109mg,1mg,424mg,4.7,241,
38,6651192,10 mins,35 mins,15 mins, 1 hr,6 ,1 8-inch square dish,6,347,18g,8g,65mg,576mg,29g,5g,3g,18g,30mg,73mg,3mg,847mg,4.5,52,
39,6589620,5 mins,10 mins,,15 mins,8 ,2 cups,8,97,3g,2g,29mg,189mg,16g,0g,15g,1g,0mg,18mg,0mg,49mg,4.3,8,
40,6740874,30 mins,15 mins, 8 hrs, 8 hrs 45 mins,72 ,6 dozen cookies,72,53,3g,2g,11mg,38mg,6g,0g,3g,1g,,3mg,0mg,7mg,4.4,"1,048",
41,6599280,15 mins,30 mins,30 mins, 1 hr 15 mins,10 ,1 9-inch round cake,10,273,11g,6g,63mg,273mg,41g,1g,24g,4g,,66mg,1mg,59mg,4.7,230,
42,6599438,20 mins,, 2 hrs, 2 hrs 20 mins,20 ,20 servings,20,117,2g,1g,0mg,21mg,24g,0g,23g,1g,0mg,4mg,0mg,39mg,3.5,67,
43,6648199,10 mins,30 mins,,40 mins,16 ,16 servings,16,224,18g,11g,53mg,916mg,3g,0g,1g,13g,1mg,318mg,0mg,141mg,4.7,76,
44,6603121,5 mins,2 days,,2 days 5 mins,12 ,1 3-pound corned beef,12,125,9g,3g,49mg,563mg,0g,,,9g,,4mg,1mg,72mg,5.0,1,
45,6593378,5 mins,45 mins,,50 mins,6 ,,6,66,2g,1g,5mg,384mg,12g,5g,7g,3g,72mg,79mg,1mg,335mg,4.5,380,
46,6738852,15 mins, 3 hrs 50 mins,10 mins, 4 hrs 15 mins,8 ,8 servings,8,380,20g,7g,100mg,1504mg,29g,6g,7g,22g,46mg,86mg,3mg,973mg,4.8,259,
47,6649599,20 mins, 2 hrs 25 mins,, 2 hrs 45 mins,6 ,6 servings,6,508,29g,12g,121mg,466mg,29g,4g,4g,32g,28mg,69mg,4mg,899mg,4.8,121,
48,6570347,15 mins,30 mins,30 mins, 1 hr 15 mins,8 ,8 servings,8,291,7g,1g,,19mg,52g,7g,4g,6g,99mg,41mg,2mg,1272mg,4.5,32,
49,6564587,10 mins,,,10 mins,1 ,1 drink,,,,,,,,,,,,,,,4.4,12,
50,6571533,5 mins,15 mins,,20 mins,4 ,4 farls,4,252,1g,0g,3mg,671mg,51g,2g,3g,9g,1mg,81mg,3mg,159mg,4.7,110,
51,6577438,15 mins,45 mins,10 mins, 1 hr 10 mins,12 ,1 9-inch round loaf,12,360,10g,6g,68mg,447mg,62g,2g,26g,8g,1mg,84mg,3mg,265mg,4.6,93,
52,6578148,25 mins, 2 hrs 35 mins,, 3 hrs,6 ,1 pot pie,6,500,32g,8g,77mg,259mg,29g,2g,4g,22g,7mg,33mg,3mg,350mg,4.7,102,
53,6738550,15 mins, 1 hr 10 mins,, 1 hr 25 mins,12 ,1 9x5-inch loaf,12,192,5g,3g,27mg,497mg,32g,1g,8g,5g,0mg,123mg,2mg,102mg,4.6,"1,378",
54,6579007,20 mins, 3 hrs,, 3 hrs 20 mins,8 ,,8,515,24g,9g,117mg,1348mg,49g,6g,8g,26g,59mg,78mg,3mg,1182mg,4.7,262,
55,6565045,5 mins,,,5 mins,2 ,2 servings,2,312,2g,1g,6mg,19mg,29g,0g,26g,1g,,14mg,0mg,135mg,4.6,5,
56,6574278,,,,,6 ,6 servings,6,595,9g,3g,58mg,2402mg,94g,8g,14g,34g,45mg,162mg,6mg,1376mg,4.6,"1,318",
57,6737977,30 mins,5 mins,15 mins,50 mins,8 ,8 servings,8,286,18g,3g,12mg,423mg,25g,2g,2g,7g,9mg,30mg,2mg,232mg,4.5,89,
58,6594417,10 mins,45 mins,10 mins, 1 hr 5 mins,8 ,1 round loaf,8,135,1g,0g,2mg,237mg,27g,1g,3g,4g,0mg,41mg,2mg,79mg,4.6,343,
59,6586015,,,,,4 ,4 sandwiches,4,443,17g,5g,78mg,2152mg,45g,5g,7g,28g,20mg,95mg,5mg,644mg,4.9,8,
60,6591950,15 mins,15 mins, 1 hr, 1 hr 30 mins,12 ,1 9x13-inch baking pan,12,539,32g,19g,66mg,574mg,58g,1g,42g,6g,1mg,167mg,1mg,231mg,4.8,6,
61,6591028,15 mins, 1 hr,30 mins, 1 hr 45 mins,12 ,1 loaf,12,185,5g,3g,11mg,401mg,30g,3g,10g,5g,0mg,65mg,1mg,151mg,4.5,177,
