,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Additional Time:
31,6602310,Christy's Awesome Hot Ham and Cheese,5 mins,10 mins,15 mins,1 ,,1,516,34g,18g,87mg,747mg,27g,5g,5g,26g,7mg,512mg,2mg,232mg,4.6,89,,
32,6741723,BLT,5 mins,10 mins,15 mins,1 ,,1,439,28g,7g,45mg,1255mg,29g,2g,4g,18g,7mg,89mg,3mg,406mg,4.8,150,,
33,6664308,How to Make a Tuna Melt,15 mins,10 mins,25 mins,2 ,,2,594,40g,16g,82mg,918mg,23g,1g,2g,36g,1mg,253mg,3mg,271mg,4.9,109,,
34,6595174,Traditional Gyros,15 mins,45 mins, 3 hrs 15 mins,12 ,,12,425,41g,7g,61mg,620mg,43g,3g,4g,22g,6mg,158mg,4mg,367mg,4.5,32,, 2 hrs 15 mins
35,6649306,Avocado Breakfast Sandwich,10 mins,6 mins,16 mins,1 ,,1,552,44g,21g,86mg,546mg,22g,1g,,18g,,463mg,2mg,97mg,4.8,52,,
36,6650462,Slow Cooker Sausage with Sauce,5 mins, 6 hrs, 6 hrs 5 mins,6 ,,6,1024,57g,20g,117mg,2356mg,88g,7g,17g,36g,23mg,248mg,7mg,1016mg,4.5,605,,
37,6649527,Grilled Peanut Butter and Jelly Sandwich,5 mins,10 mins,15 mins,1 ,1 sandwich,1,273,13g,6g,22mg,427mg,36g,2g,9g,5g,1mg,83mg,2mg,98mg,4.6,445,,
38,6570657,Dash's Donair,30 mins, 1 hr 15 mins, 1 hr 45 mins,4 ,1 loaf,4,489,21g,10g,98mg,748mg,50g,1g,48g,26g,3mg,268mg,3mg,554mg,4.6,439,,
39,6649732,Basic Grilled Panini,10 mins,6 mins,16 mins,1 ,,1,802,63g,20g,118mg,1840mg,27g,3g,2g,32g,8mg,467mg,3mg,421mg,5.0,3,,
40,6599332,Funeral Sandwiches,15 mins,20 mins, 4 hrs 35 mins,24 ,24 sandwiches,24,419,12g,11g,80mg,559mg,46g,2g,3g,20g,1mg,95mg,0mg,85mg,3.5,15,, 4 hrs
41,6651129,Chef John's Cuban Sandwich,15 mins,10 mins,25 mins,2 ,,2,1473,85g,37g,287mg,4077mg,85g,5g,4g,88g,12mg,978mg,4mg,439mg,4.9,82,,
42,6573753,Tuna Egg Sandwich,10 mins,,10 mins,2 ,,2,389,16g,4g,340mg,559mg,26g,5g,5g,33g,2mg,131mg,3mg,547mg,4.3,88,,
