,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Stand Time:,Chill Time:,Marinate Time:,Rest Time:,Yield:,Additional Time:
29,6664141,Vermicelli Noodle Bowl,35 mins,25 mins, 1 hr,2 ,2,659,13g,2g,36mg,2565mg,112g,9g,20g,26g,21mg,108mg,7mg,756mg,4.5,113,,,,,,
30,6649962,Chicken Parmigiana,30 mins, 1 hr, 1 hr 30 mins,2 ,2,528,18g,8g,184mg,1310mg,45g,6g,17g,44g,3mg,445mg,4mg,804mg,4.6,"1,763",,,,,,
31,6663240,Broiled Lobster Tails,15 mins,5 mins,20 mins,2 ,2,592,48g,30g,303mg,891mg,7g,3g,0g,37g,42mg,140mg,1mg,628mg,4.6,477,,,,,,
32,6648703,Grilled Fish Steaks,10 mins,10 mins, 1 hr 20 mins,2 ,2,554,44g,6g,63mg,1259mg,2g,1g,0g,36g,7mg,54mg,3mg,837mg,4.7,534,,,,,, 1 hr
33,6650972,Simple Chicken Mayo with Parmesan and Bread Crumbs,10 mins,20 mins,30 mins,2 ,2,272,16g,4g,72mg,273mg,6g,0g,1g,26g,,93mg,1mg,170mg,4.8,83,,,,,,
34,6739537,Drunken Mussels,10 mins,10 mins,20 mins,2 ,2,718,22g,9g,158mg,1411mg,27g,1g,,56g,78mg,197mg,21mg,1833mg,4.6,239,,,,,,
35,6664947,Chana Masala (Savory Indian Chick Peas),15 mins,15 mins,30 mins,2 ,2,413,23g,3g,,525mg,46g,10g,5g,9g,76mg,103mg,3mg,635mg,4.4,223,,,,,2 cups,
36,6738318,How to Cook Trout,15 mins,10 mins,25 mins,2 ,2,470,33g,17g,181mg,263mg,2g,0g,0g,40g,16mg,163mg,1mg,828mg,4.9,133,,,,,,
37,6573880,Emily's Marinated Venison Steaks,10 mins,10 mins, 1 hr 20 mins,2 ,2,169,3g,1g,80mg,1866mg,12g,1g,5g,23g,10mg,60mg,6mg,614mg,4.8,91,,,,,, 1 hr
38,6578985,Chicken Massaman Curry,20 mins,35 mins,55 mins,4 ,4,690,41g,22g,73mg,1221mg,47g,6g,14g,38g,28mg,75mg,6mg,1140mg,4.3,167,,,,,,
39,6664281,Parchment Baked Salmon,15 mins,25 mins,40 mins,2 ,2,175,7g,1g,50mg,48mg,6g,3g,,25g,45mg,84mg,1mg,495mg,4.5,90,,,,,,
40,6596207,Dry-Rub Air-Fried Chicken Wings,10 mins,35 mins,45 mins,2 ,2,318,19g,5g,77mg,1520mg,11g,2g,8g,26g,3mg,41mg,3mg,295mg,4.6,37,,,,,8 wings,
41,6585357,Chicken with Lemon-Caper Sauce,10 mins,20 mins,30 mins,2 ,2,662,39g,17g,160mg,372mg,29g,2g,1g,43g,27mg,47mg,3mg,558mg,4.6,447,,,,,,
42,6581784,Special Fried Rice,15 mins,15 mins,30 mins,2 ,2,906,15g,3g,186mg,1598mg,168g,5g,4g,22g,15mg,78mg,4mg,424mg,4.7,37,,,,,,
43,6650837,Applesauce Pork Chops,15 mins,45 mins, 1 hr,2 ,2,386,15g,6g,81mg,625mg,43g,4g,35g,21g,7mg,53mg,1mg,522mg,4.5,234,,,,,,
44,6573753,Tuna Egg Sandwich,10 mins,,10 mins,2 ,2,389,16g,4g,340mg,559mg,26g,5g,5g,33g,2mg,131mg,3mg,547mg,4.3,88,,,,,,
45,6663541,Baked Salmon,15 mins,35 mins, 1 hr 50 mins,2 ,2,613,52g,8g,75mg,1235mg,3g,1g,0g,36g,9mg,89mg,2mg,665mg,4.7,"3,305",,,,,, 1 hr
46,6648384,Easy Chorizo Street Tacos,10 mins,10 mins,20 mins,2 ,2,262,13g,5g,26mg,466mg,26g,4g,1g,10g,2mg,49mg,1mg,246mg,4.6,40,,,,,2 tacos,
47,6649902,Pickle Brine Chicken,10 mins,10 mins, 1 hr 25 mins,2 ,2,351,12g,3g,129mg,5452mg,11g,0g,7g,47g,0mg,33mg,2mg,416mg,4.5,64,,,,,, 1 hr 5 mins
48,6648399,Lemon Rosemary Salmon,10 mins,20 mins,30 mins,2 ,2,257,18g,3g,56mg,1017mg,6g,3g,,21g,45mg,51mg,1mg,431mg,4.5,453,,,,,,
49,6737811,One Pan Orecchiette Pasta,15 mins,25 mins,40 mins,2 ,2,662,39g,12g,60mg,1360mg,46g,3g,4g,31g,3mg,142mg,1mg,305mg,4.6,"1,009",,,,,,
50,6650588,Broiled Scallops,5 mins,6 mins,11 mins,3 ,3,273,9g,5g,95mg,2232mg,7g,0g,0g,38g,11mg,60mg,1mg,755mg,4.3,738,,,,,,
51,6598236,Easy Steam Chicken,15 mins,35 mins, 1 hr 20 mins,2 ,2,408,30g,5g,61mg,1382mg,10g,1g,3g,26g,6mg,37mg,2mg,325mg,4.3,15,,,,,,30 mins
52,6569748,Creamy Cottage Cheese Scrambled Eggs,5 mins,5 mins,10 mins,2 ,2,224,17g,8g,392mg,295mg,2g,0g,1g,16g,0mg,74mg,2mg,167mg,4.5,155,,,,,,
53,6649038,Scrambled Eggs with Chorizo,5 mins,10 mins,15 mins,2 ,2,232,16g,5g,561mg,331mg,1g,,1g,20g,,80mg,3mg,215mg,4.5,17,,,,,,
54,6737713,Yogurt Parfait,5 mins,,5 mins,2 ,2,515,18g,5g,12mg,177mg,68g,7g,47g,21g,7mg,472mg,3mg,898mg,4.6,70,,,,,,
55,6738042,Stir-Fry Chicken and Vegetables,20 mins,20 mins,40 mins,2 ,2,314,16g,3g,45mg,1265mg,20g,5g,6g,22g,132mg,96mg,3mg,836mg,4.3,151,,,,,,
56,6738975,Jamaican Fried Snapper,10 mins,15 mins,25 mins,2 ,2,770,51g,7g,125mg,1036mg,5g,1g,2g,70g,8mg,122mg,1mg,1483mg,4.8,22,,,,,1 whole fish,
57,6738322,Lemon Garlic Chicken,10 mins,15 mins,25 mins,3 ,3,214,11g,6g,85mg,1275mg,5g,1g,1g,25g,1mg,23mg,1mg,271mg,4.4,174,,,,,,
58,6649004,Oh My Arctic Char!,10 mins,15 mins,25 mins,2 ,2,545,39g,6g,38mg,455mg,10g,2g,1g,32g,12mg,26mg,3mg,97mg,4.7,64,,,,,,
59,6595117,Instant Pot Steel-Cut Oats,5 mins,15 mins,30 mins,2 ,2,300,5g,1g,,11mg,54g,8g,2g,10g,,11mg,4mg,4mg,4.9,17,,,,,,10 mins
60,6600055,Air Fryer Chicken Kiev,30 mins,10 mins, 1 hr 25 mins,2 ,2,783,35g,18g,292mg,1826mg,64g,1g,1g,64g,6mg,60mg,4mg,547mg,4.0,4,,,,,,45 mins
61,6591433,Surf and Turf for Two,15 mins,15 mins,45 mins,2 ,2,444,35g,12g,166mg,926mg,3g,0g,1g,27g,4mg,48mg,4mg,385mg,4.9,38,,,,,,15 mins
