,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Marinate Time:,Additional Time:
21,6594315,Breakfast Burritos,25 mins,,35 mins,10 ,,10,638,39g,15g,244mg,1181mg,45g,5g,2g,26g,3mg,301mg,4mg,415mg,4.4,144,,10 mins
22,6599725,Wet Burrito,30 mins,30 mins, 1 hr,4 ,,4,1191,59g,29g,179mg,2551mg,104g,14g,10g,59g,27mg,762mg,13mg,1425mg,4.6,95,,
23,6594939,Sweet Pork for Burritos,30 mins, 8 hrs, 8 hrs 30 mins,12 ,,12,355,15g,5g,73mg,728mg,33g,1g,29g,23g,13mg,55mg,1mg,590mg,4.7,127,,
24,6650149,Ground Turkey Burritos That Will Fool Your Kids,20 mins, 1 hr, 1 hr 20 mins,12 ,,12,401,13g,3g,28mg,542mg,55g,5g,4g,16g,42mg,144mg,4mg,466mg,4.4,5,,
25,6584937,Easy Egg and Avocado Breakfast Burrito,15 mins,10 mins,25 mins,4 ,,4,582,31g,8g,293mg,1400mg,53g,9g,9g,26g,12mg,287mg,5mg,859mg,4.2,34,,
26,6738061,Make-Ahead Lunch Wraps,30 mins,40 mins, 1 hr 10 mins,16 ,16 wraps,16,557,16g,7g,30mg,1312mg,81g,14g,2g,23g,5mg,315mg,6mg,659mg,4.4,670,,
27,6594032,Kid-Friendly Taco-Burritos,20 mins,5 mins,25 mins,8 ,8 servings,8,602,36g,18g,76mg,1364mg,48g,8g,3g,24g,11mg,566mg,4mg,567mg,4.1,22,,
28,6648659,Big Mac® Burritos,25 mins,15 mins,40 mins,6 ,6 burritos,6,524,42g,17g,104mg,1206mg,19g,10g,,27g,,,,298mg,3.3,3,,
29,6568207,Burritos with Mexican Chorizo and Potatoes,15 mins,30 mins,45 mins,8 ,8 burritos,8,354,13g,1g,36mg,575mg,46g,4g,1g,13g,19mg,34mg,2mg,474mg,4.5,2,,
30,6598894,Quick and Easy Pulled Pork Burritos,10 mins,15 mins,25 mins,8 ,8 burritos,8,496,18g,8g,59mg,1293mg,57g,5g,7g,27g,5mg,334mg,4mg,427mg,4.0,2,,
31,6580843,Court's Creamy and Quick Burritos,15 mins,40 mins,55 mins,6 ,6 burritos,6,745,44g,22g,118mg,1724mg,52g,6g,5g,35g,6mg,503mg,5mg,645mg,4.3,33,,
32,6565531,Easy One-Skillet Ground Beef Burrito,10 mins,15 mins,25 mins,4 ,4 servings,4,772,43g,21g,124mg,1821mg,57g,10g,3g,39g,5mg,353mg,6mg,928mg,4.8,13,,
33,6572420,Crispy Bean and Cheese Burritos,15 mins,10 mins,25 mins,6 ,6 burritos,6,305,12g,4g,17mg,562mg,40g,6g,0g,11g,5mg,119mg,3mg,288mg,5.0,2,,
34,6574227,Instant Pot Beef Burritos,15 mins,25 mins,45 mins,8 ,,8,685,28g,12g,68mg,1805mg,77g,9g,6g,30g,14mg,163mg,7mg,750mg,4.1,8,,5 mins
35,6591906,Easy Cheeseburger Tacos,20 mins,35 mins,55 mins,6 ,6 servings,6,534,30g,16g,95mg,1160mg,38g,2g,9g,29g,5mg,348mg,3mg,450mg,4.6,19,,
36,6575759,Squash and Zucchini Burritos,30 mins,30 mins, 1 hr,6 ,6 servings,6,575,35g,16g,68mg,1112mg,48g,4g,5g,23g,24mg,115mg,3mg,349mg,4.7,37,,
37,6573631,Country Breakfast Burritos,15 mins,25 mins,40 mins,4 ,4 burritos,4,798,44g,19g,316mg,1992mg,63g,6g,9g,51g,12mg,482mg,6mg,1115mg,4.0,1,,
38,6648967,Crispy Rolled Breakfast Burrito,20 mins,30 mins,50 mins,2 ,2 burritos,2,1033,60g,23g,458mg,1441mg,82g,14g,6g,46g,65mg,611mg,7mg,1756mg,5.0,6,,
39,6564032,Sloppy Joe Burritos,10 mins,15 mins,25 mins,6 ,6 burritos,6,777,38g,17g,102mg,1708mg,73g,12g,6g,37g,16mg,437mg,7mg,726mg,4.0,1,,
40,6569309,Vegetarian Burrito Casserole,20 mins,45 mins, 1 hr 5 mins,8 ,8 servings,8,487,18g,10g,45mg,1807mg,36g,8g,6g,51g,12mg,475mg,10mg,468mg,4.6,140,,
41,6591176,Korean Fusion Chicken Burrito,15 mins,15 mins,30 mins,4 ,4 burritos,4,597,29g,8g,97mg,1635mg,46g,3g,6g,39g,17mg,176mg,5mg,452mg,4.8,9,,
42,6577187,Beefy Broccoli & Cheddar Burritos,10 mins,40 mins,50 mins,4 ,4 servings,4,1032,37g,17g,101mg,2057mg,106g,18g,6g,49g,4mg,464mg,9mg,829mg,4.7,6,,
43,6588516,Easy Money Breakfast Burritos,35 mins,25 mins, 1 hr,10 ,10 burritos,10,338,21g,8g,259mg,1049mg,18g,1g,2g,18g,9mg,132mg,3mg,336mg,4.5,25,,
44,6572599,Air Fryer Chile Verde Burritos,10 mins,20 mins,30 mins,10 ,10 small burritos,10,180,5g,2g,34mg,603mg,19g,1g,1g,13g,,42mg,1mg,44mg,5.0,1,,
45,6574770,Vegetarian Bean Burritos,15 mins,5 mins,20 mins,8 ,8 servings,8,481,15g,9g,33mg,682mg,64g,13g,1g,24g,2mg,80mg,4mg,648mg,4.3,3,,
46,6585508,Tasty Breakfast Burritos,30 mins,10 mins,40 mins,8 ,8 servings,8,754,47g,19g,376mg,1928mg,41g,2g,4g,39g,11mg,399mg,5mg,595mg,4.4,56,,
47,6600371,Avocado and Egg Breakfast Burrito,15 mins,5 mins,20 mins,2 ,2 burritos,2,863,59g,25g,460mg,1161mg,49g,10g,5g,38g,20mg,669mg,6mg,986mg,4.8,4,,
48,6579865,Runza Burritos International,20 mins,25 mins,45 mins,8 ,8 burritos,8,448,19g,9g,58mg,647mg,44g,5g,5g,24g,25mg,333mg,4mg,390mg,4.1,47,,
49,6565004,Thai Tofu Burritos with Peanut Sauce,20 mins,10 mins,30 mins,6 ,6 burritos,6,384,20g,3g,3mg,725mg,46g,6g,4g,19g,14mg,178mg,3mg,470mg,,,,
50,6568459,Instant Pot® Make-Ahead Breakfast Burritos,20 mins,40 mins, 1 hr 20 mins,12 ,12 burritos,12,333,16g,6g,209mg,641mg,29g,2g,1g,17g,6mg,107mg,3mg,234mg,5.0,1,,20 mins
51,6592370,Fajita-Style Vegan Tofu Burrito,20 mins,20 mins,40 mins,5 ,5 burritos,5,357,14g,4g,,1082mg,45g,4g,3g,13g,16mg,340mg,7mg,330mg,4.3,3,,
52,6578410,Best Burritos,,,,1 ,1 serving,1,400,10g,6g,29mg,1075mg,50g,6g,1g,16g,1mg,276mg,4mg,163mg,4.0,46,,
53,6574122,Vegan Burritos,30 mins,55 mins, 1 hr 25 mins,6 ,6 burritos,6,495,10g,2g,,841mg,89g,12g,3g,15g,36mg,108mg,6mg,1153mg,3.5,2,,
54,6598819,Vegan Sweet Potato and Bean Burritos,10 mins,30 mins,40 mins,4 ,4 burritos,4,557,17g,3g,3mg,1121mg,87g,8g,6g,14g,5mg,186mg,5mg,477mg,4.7,3,,
55,6566739,Make-Ahead Burritos,20 mins,40 mins, 3 hrs,16 ,16 burritos,16,470,9g,3g,7mg,1745mg,79g,12g,4g,19g,4mg,239mg,6mg,656mg,5.0,1,, 2 hrs
56,6587783,Appetizing Vegetarian Burritos,30 mins,20 mins,50 mins,8 ,8 servings,8,382,10g,2g,,925mg,60g,10g,6g,13g,13mg,201mg,7mg,492mg,4.1,9,,
57,6603917,Yummy Chicken Burritos,20 mins, 1 hr 40 mins, 2 hrs,15 ,15 servings,15,219,10g,2g,25mg,509mg,21g,2g,1g,11g,10mg,22mg,2mg,148mg,3.5,4,,
58,6600708,Full-of-Veggies Burritos,10 mins,15 mins,25 mins,8 ,8 burritos,8,325,8g,2g,,844mg,52g,8g,4g,12g,22mg,190mg,6mg,813mg,5.0,2,,
59,6561903,Leftover Turkey Burritos,15 mins,30 mins,45 mins,10 ,10 burritos,10,425,15g,6g,56mg,1167mg,46g,6g,2g,26g,11mg,245mg,4mg,420mg,,,,
60,6606371,Tomato Spinach and Bean Burrito,10 mins,25 mins,35 mins,4 ,4 servings,4,685,29g,6g,6mg,1707mg,92g,20g,6g,21g,48mg,319mg,9mg,1272mg,3.9,65,,
61,6605685,Bean and Honey Burrito Casserole,15 mins, 1 hr 5 mins, 1 hr 20 mins,8 ,8 servings,8,446,13g,5g,44mg,602mg,63g,5g,15g,21g,29mg,176mg,4mg,417mg,4.0,75,,
