,id_recipe,name,Prep Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Cool Time:,Yield:
10,6737020,"Chicken Salad with Bacon, Lettuce, and Tomato",30 mins,30 mins, 1 hr 10 mins,6 ,6,456,37g,7g,71mg,395mg,8g,4g,2g,24g,15mg,35mg,1mg,567mg,4.6,308,10 mins,,
11,6571504,My Favorite Chicken Salad,15 mins, 1 hr, 1 hr 15 mins,6 ,6,287,26g,3g,31mg,384mg,6g,2g,2g,11g,2mg,28mg,1mg,193mg,4.8,209,,,
12,6649788,Chicken Salad Spread,5 mins,,5 mins,4 ,4,145,6g,2g,43mg,476mg,7g,0g,7g,15g,2mg,14mg,1mg,119mg,4.3,134,,,
13,6594092,Classic Chicken Salad,20 mins, 2 hrs 15 mins, 3 hrs 55 mins,10 ,10,296,22g,5g,65mg,457mg,4g,0g,2g,20g,3mg,32mg,1mg,202mg,5.0,10, 1 hr 20 mins,,10 servings
14,6649526,Carol's Chicken Salad,20 mins,,20 mins,9 ,9,293,20g,6g,60mg,279mg,10g,1g,6g,19g,5mg,193mg,1mg,218mg,4.6,554,,,9 servings
15,6649617,Healthy Chicken Salad,15 mins,,15 mins,4 ,4,168,6g,2g,29mg,248mg,13g,1g,10g,15g,2mg,34mg,1mg,159mg,4.5,78,,,
16,6593655,Curry Chicken Salad with Grapes,20 mins, 1 hr, 1 hr 20 mins,12 ,12,440,42g,10g,58mg,284mg,8g,1g,5g,10g,5mg,30mg,1mg,157mg,4.4,36,,,12 servings
17,6736529,Holiday Chicken Salad,15 mins,,15 mins,12 ,12,315,23g,3g,42mg,213mg,15g,2g,11g,14g,6mg,22mg,1mg,200mg,4.8,"1,770",,,12 servings
18,6583533,Coronation Chicken,20 mins, 1 hr, 2 hrs,6 ,6,476,30g,5g,70mg,302mg,28g,2g,19g,27g,22mg,35mg,2mg,452mg,4.7,39,40 mins,,
19,6583302,Best Chicken Salad Sandwich,15 mins,,15 mins,8 ,8,216,12g,2g,38mg,411mg,15g,2g,11g,14g,3mg,33mg,1mg,178mg,4.7,48,,,
20,6737919,Fruited Curry Chicken Salad,,,,8 ,8,306,23g,3g,44mg,153mg,12g,2g,8g,15g,3mg,22mg,1mg,227mg,4.7,586,,,8 servings
21,6738486,Becky's Chicken Salad,20 mins,,20 mins,10 ,10,274,24g,5g,43mg,388mg,5g,1g,3g,11g,3mg,31mg,1mg,184mg,4.7,904,,,10 servings
22,6599326,Simply The Best Chicken Waldorf Salad,20 mins,15 mins,40 mins,4 ,4,476,34g,5g,49mg,210mg,30g,3g,24g,18g,8mg,83mg,1mg,357mg,4.7,45,5 mins,,4 servings
23,6591336,Strawberry Chicken Salad for Sandwiches,20 mins,,20 mins,2 ,2,860,74g,13g,130mg,428mg,14g,4g,8g,38g,45mg,107mg,3mg,531mg,4.8,27,,,2 servings
24,6569636,Chicken Salad with Grapes and Apples,15 mins,,15 mins,4 ,4,154,8g,1g,20mg,86mg,15g,2g,12g,7g,7mg,16mg,1mg,183mg,4.6,53,,,
25,6663264,Wild Rice Salad,20 mins, 1 hr, 2 hrs,12 ,12,221,13g,2g,23mg,138mg,14g,2g,4g,11g,2mg,46mg,1mg,231mg,4.6,64,40 mins,,
26,6739674,Fruity Curry Chicken Salad,45 mins,,45 mins,8 ,8,229,14g,2g,45mg,188mg,12g,2g,9g,15g,3mg,26mg,1mg,239mg,4.8,"1,030",,,8 servings
27,6570401,Rotisserie Chicken Salad,20 mins,,20 mins,8 ,8,595,25g,6g,324mg,444mg,7g,0g,5g,80g,1mg,52mg,4mg,717mg,4.8,9,,,
28,6586938,Greek Yogurt Chicken Salad,10 mins, 1 hr, 1 hr 10 mins,6 ,6,106,5g,2g,31mg,309mg,5g,0g,4g,10g,1mg,11mg,0mg,100mg,,,,,
29,6593110,Pecan Chicken Salad with Apples and Grapes,25 mins,,25 mins,6 ,6,243,24g,3g,10mg,223mg,7g,2g,5g,1g,2mg,14mg,0mg,96mg,5.0,1,,,6 servings
30,6601977,Chicken Caesar Pasta Salad,20 mins, 2 hrs, 2 hrs 35 mins,10 ,10,382,16g,4g,102mg,210mg,34g,2g,2g,26g,6mg,62mg,2mg,245mg,4.3,28,15 mins,,
31,6572560,Feta Chicken Salad,20 mins,,20 mins,4 ,4,599,45g,19g,163mg,1061mg,7g,1g,5g,41g,3mg,436mg,2mg,388mg,4.7,331,,,
32,6584426,Chicken Salad with Grapes,25 mins,30 mins,55 mins,8 ,8,572,35g,11g,99mg,987mg,40g,2g,19g,24g,7mg,49mg,3mg,312mg,4.7,23,,,
33,6582346,Best Chicken Salad Ever,10 mins,30 mins,40 mins,6 ,6,174,9g,1g,15mg,133mg,20g,2g,14g,7g,3mg,21mg,1mg,237mg,4.6,5,,,
34,6598482,Chipotle Chicken Salad,15 mins,,15 mins,6 ,6,404,36g,7g,64mg,472mg,3g,0g,1g,19g,1mg,40mg,1mg,132mg,4.6,50,,,
35,6590156,Shredded Chicken Salad,20 mins, 1 hr, 1 hr 20 mins,5 ,5,560,44g,8g,101mg,852mg,11g,2g,6g,32g,11mg,51mg,2mg,404mg,4.5,2,,,5 servings
36,6589420,Dijon Chicken Salad,20 mins,,20 mins,6 ,6,432,30g,5g,68mg,900mg,21g,1g,19g,21g,9mg,30mg,2mg,289mg,4.7,64,,,
37,6586202,Curried Chicken Salad with Greek Yogurt,15 mins,,15 mins,4 ,4,346,18g,5g,94mg,150mg,8g,2g,5g,36g,2mg,59mg,1mg,342mg,4.6,7,,,4 servings
38,6587017,Salpicao de Frango (Brazilian Chicken Salad),30 mins,,30 mins,8 ,8,355,19g,6g,55mg,427mg,31g,3g,12g,17g,5mg,46mg,2mg,530mg,4.0,1,,,
39,6584420,Crispy Chicken Salad with Yummy Honey Mustard Dressing,30 mins,,40 mins,6 ,6,560,32g,6g,137mg,680mg,43g,3g,11g,32g,19mg,84mg,3mg,614mg,4.5,2,10 mins,,6 servings
40,6578480,Hot Chicken Salad,10 mins,,35 mins,11 ,11,288,21g,5g,31mg,363mg,13g,2g,1g,13g,10mg,62mg,1mg,534mg,4.2,19,25 mins,,10 to 12 servings
41,6571152,Amy's Barbecue Chicken Salad,20 mins,10 mins,45 mins,8 ,8,301,14g,3g,21mg,805mg,32g,6g,7g,12g,18mg,62mg,2mg,535mg,4.6,323,15 mins,,
42,6648428,Chicken Salad Summer Rolls,40 mins,30 mins, 1 hr 10 mins,3 ,3,648,55g,9g,73mg,317mg,19g,10g,4g,25g,46mg,65mg,2mg,1065mg,3.7,3,,,6 rolls
43,6571537,Hot Chicken Salad I,10 mins,, 1 hr 10 mins,7 ,7,636,51g,13g,104mg,574mg,16g,3g,3g,32g,7mg,202mg,4mg,506mg,4.3,22, 1 hr,,6 to 8 - servings
44,6595491,Best Chicken Salad Ever I,10 mins,,10 mins,6 ,6,253,16g,2g,16mg,170mg,23g,3g,16g,8g,3mg,29mg,1mg,291mg,4.6,120,,,6 servings
45,6583351,Avocado Ranch Chicken Salad,10 mins,30 mins,40 mins,4 ,4,372,22g,5g,88mg,278mg,9g,2g,1g,34g,5mg,33mg,2mg,450mg,4.3,9,,,4 servings
46,6602529,Kiki's Mexican Chicken Salad,15 mins, 1 hr, 1 hr 15 mins,6 ,6,607,44g,9g,62mg,1140mg,38g,10g,6g,22g,29mg,60mg,2mg,900mg,4.3,19,,,
47,6598537,Chicken Salad with Crushed Pineapple,30 mins,,30 mins,10 ,10,333,23g,4g,65mg,357mg,13g,1g,12g,17g,4mg,20mg,1mg,204mg,4.0,1,,,5 cups
48,6579318,Simply Delicious Ranch Chicken Salad,10 mins,,25 mins,8 ,8,214,17g,3g,37mg,312mg,3g,0g,2g,12g,2mg,21mg,1mg,140mg,4.3,11,15 mins,,8 servings
49,6604802,Ginger Chicken Salad Supreme,20 mins, 1 hr, 1 hr 20 mins,6 ,6,318,27g,5g,46mg,148mg,6g,1g,4g,14g,6mg,35mg,1mg,214mg,4.7,3,,,6 servings
50,6591262,No-Mayo Chicken Salad Sandwiches,15 mins,,15 mins,8 ,8,299,18g,7g,38mg,529mg,31g,2g,9g,5g,7mg,31mg,1mg,199mg,,,,,8 chicken salad sandwiches
51,6605069,Chicken Salad for One,15 mins,,15 mins,1 ,1,600,33g,8g,389mg,657mg,5g,1g,2g,67g,2mg,63mg,3mg,537mg,4.2,5,,,1 serving
52,6648854,Tara's Sweet and Chunky Chicken Salad,15 mins,,15 mins,4 ,4,217,13g,3g,46mg,454mg,8g,1g,5g,16g,2mg,15mg,1mg,140mg,4.5,98,,,4 servings
53,6571487,Grilled Pineapple Salad,15 mins, 3 hrs, 3 hrs 25 mins,8 ,8,438,13g,2g,68mg,706mg,52g,4g,40g,27g,104mg,78mg,3mg,680mg,5.0,7,10 mins,,8 servings
54,6571109,Almond Chicken Salad,30 mins,,30 mins,4 ,4,323,15g,2g,54mg,237mg,20g,4g,10g,26g,50mg,99mg,2mg,418mg,4.4,128,,,4 servings
55,6598118,Mimi's Curried Hawaiian Chicken Salad,45 mins,,45 mins,15 ,15,588,46g,6g,72mg,389mg,19g,3g,12g,27g,10mg,78mg,2mg,552mg,4.5,15,,,15 servings
56,6594091,Chicken Curry Salad in a Hurry,20 mins, 1 hr, 1 hr 20 mins,6 ,6,526,38g,9g,199mg,276mg,3g,1g,2g,41g,2mg,37mg,2mg,418mg,4.6,35,,,6 servings
57,6584752,Fruity Chicken Salad with Tarragon,30 mins,,30 mins,4 ,4,323,24g,4g,56mg,207mg,12g,2g,7g,16g,9mg,34mg,1mg,289mg,5.0,5,,,4 servings
58,6581907,Easy Leftover Rotisserie Chicken Salad,15 mins, 1 hr, 1 hr 15 mins,6 ,6,416,39g,6g,42mg,280mg,8g,2g,5g,12g,3mg,21mg,1mg,156mg,4.0,4,,,6 servings
