,id_recipe,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:,Yield:,Cool Time:,Additional Time:,Soak Time:
10,6648248,15 mins,15 mins,,30 mins,12 ,12,184,10g,3g,90mg,355mg,2g,0g,0g,21g,2mg,23mg,2mg,293mg,4.6,"2,612",,12 burgers,,,
11,6664574,10 mins,10 mins,,20 mins,4 ,4,445,28g,12g,174mg,967mg,9g,1g,2g,39g,3mg,171mg,4mg,517mg,4.3,810,,4 hamburgers,,,
12,6649331,20 mins,10 mins,,30 mins,4 ,4,245,15g,5g,111mg,282mg,16g,1g,2g,13g,10mg,248mg,2mg,237mg,4.6,"2,679",,12 patties,,,
13,6649650,5 mins,15 mins,,20 mins,4 ,4,317,18g,7g,125mg,475mg,10g,1g,1g,27g,0mg,39mg,3mg,347mg,4.4,233,,4 burgers patties,,,
14,6738498,5 mins,15 mins,,35 mins,4 ,4,203,15g,6g,20mg,260mg,10g,2g,4g,10g,1mg,245mg,1mg,620mg,4.6,967,,,,15 mins,
15,6739177,10 mins,10 mins,,20 mins,4 ,4,238,8g,2g,110mg,175mg,12g,1g,1g,29g,1mg,47mg,2mg,270mg,4.8,81,,,,,
16,6649234,15 mins,20 mins,,35 mins,4 ,4,198,3g,1g,47mg,607mg,33g,10g,2g,11g,19mg,99mg,4mg,515mg,4.4,"3,734",,4 burgers,,,
17,6602655,20 mins,10 mins,,30 mins,4 ,4,439,26g,8g,80mg,501mg,26g,2g,2g,24g,7mg,93mg,3mg,472mg,4.8,38,,4 1/4-pound burgers,,,
18,6650586,15 mins,15 mins,,30 mins,2 ,2,608,25g,10g,267mg,963mg,60g,1g,9g,34g,13mg,75mg,6mg,550mg,4.8,50,,,,,
19,7968339,15 mins,10 mins,,25 mins,4 ,4,1892,145g,27g,224mg,2933mg,108g,5g,59g,40g,6mg,192mg,5mg,613mg,,,,4 burgers,,,
20,7814308,10 mins,5 mins,,15 mins,8 ,8,196,7g,2g,8mg,485mg,27g,2g,5g,7g,2mg,106mg,2mg,149mg,5.0,2,,,,,
21,6586602,15 mins,20 mins,,35 mins,6 ,6,669,39g,16g,166mg,929mg,27g,2g,3g,50g,2mg,187mg,6mg,659mg,4.5,111,,6 burgers,,,
22,7151640,35 mins,15 mins,, 1 hr 50 mins,4 ,,,,,,,,,,,,,,,,,,4 burgers,,, 1 hr
23,7110495,40 mins,,,40 mins,4 ,4,969,75g,27g,167mg,1154mg,36g,9g,,39g,,,,615mg,5.0,2,,4 cheeseburgers,,,
24,6750847,15 mins,5 mins,,20 mins,4 ,4,632,47g,22g,138mg,781mg,22g,1g,,29g,,,,369mg,5.0,13,,4 burgers,,,
25,6649399,15 mins,20 mins,,35 mins,5 ,5,245,11g,2g,37mg,680mg,29g,7g,1g,9g,17mg,69mg,3mg,383mg,4.7,"1,146",,,,,
26,6648243,15 mins,20 mins,,35 mins,4 ,4,264,1g,0g,,1264mg,52g,11g,4g,12g,17mg,86mg,5mg,602mg,4.5,198,,,,,
27,6606209,10 mins,10 mins,,35 mins,4 ,4,393,14g,7g,126mg,936mg,34g,1g,2g,33g,3mg,243mg,5mg,489mg,4.7,75,,,,15 mins,
28,6574881,10 mins,10 mins,,20 mins,4 ,4,279,20g,9g,94mg,871mg,,,,23g,,11mg,2mg,286mg,4.9,12,,4 hamburger patties,,,
29,6663293,20 mins,15 mins,,35 mins,8 ,8,233,13g,5g,143mg,266mg,2g,1g,1g,27g,2mg,144mg,3mg,373mg,4.6,855,,8 turkey burgers,,,
30,6648837,10 mins,10 mins,,20 mins,4 ,4,215,14g,5g,71mg,678mg,2g,0g,1g,19g,2mg,18mg,2mg,272mg,4.8,4,,4 servings,,,
31,6604440,15 mins,10 mins,,25 mins,24 ,24,155,6g,2g,27mg,283mg,16g,1g,2g,8g,0mg,59mg,2mg,102mg,4.8,136,,,,,
32,6599719,20 mins,20 mins,, 1 hr,6 ,6,481,24g,7g,164mg,574mg,25g,1g,1g,39g,3mg,83mg,7mg,555mg,4.8,241,,,,20 mins,
33,6739337,35 mins,25 mins,, 1 hr 20 mins,8 ,8,486,5g,0g,23mg,796mg,105g,11g,31g,15g,34mg,122mg,3mg,198mg,4.5,246,,8 burgers,,20 mins,
34,6576967,5 mins,10 mins,,15 mins,3 ,3,396,30g,10g,99mg,220mg,2g,0g,1g,28g,1mg,21mg,3mg,399mg,4.3,188,,3 burgers,,,
35,6650297,15 mins,15 mins,,45 mins,6 ,6,255,14g,3g,67mg,630mg,23g,3g,4g,11g,5mg,136mg,2mg,484mg,4.8,198,,6 veggie burgers,,15 mins,
36,6738666,10 mins,35 mins,,45 mins,24 ,24,232,13g,5g,36mg,428mg,16g,1g,2g,12g,0mg,125mg,2mg,130mg,4.6,"1,007",,24 sliders,,,
37,6591913,25 mins,15 mins,, 1 hr 20 mins,6 ,6,151,11g,2g,28mg,59mg,4g,2g,1g,11g,1mg,435mg,2mg,201mg,3.9,56,,6 burgers,,40 mins,
38,6648360,15 mins,10 mins,, 2 hrs 25 mins,12 ,12,348,21g,8g,81mg,765mg,20g,2g,3g,27g,1mg,103mg,3mg,292mg,4.6,974,,12 burgers,, 2 hrs,
39,6589922,10 mins,10 mins,,20 mins,4 ,4,275,16g,4g,107mg,349mg,4g,1g,1g,29g,3mg,44mg,3mg,381mg,4.7,3,,4 servings,,,
40,6650655,15 mins,10 mins,,25 mins,8 ,8,268,15g,6g,98mg,393mg,8g,0g,1g,23g,1mg,20mg,3mg,322mg,4.3,788,,8 burgers,,,
41,6593452,15 mins,15 mins,, 1 hr 30 mins,4 ,4,248,11g,2g,64mg,356mg,16g,0g,0g,25g,3mg,16mg,1mg,573mg,,,,4 burgers,, 1 hr,
42,6648284,15 mins,15 mins,,30 mins,6 ,6,520,32g,14g,106mg,868mg,25g,2g,1g,30g,,224mg,4mg,432mg,4.3,54,,,,,
43,6585018,15 mins,15 mins,,35 mins,4 ,4,268,5g,2g,115mg,988mg,22g,2g,2g,33g,3mg,103mg,10mg,401mg,4.0,8,,4 burgers,,5 mins,
44,6579002,10 mins,10 mins,, 2 hrs 20 mins,6 ,6,425,26g,10g,135mg,519mg,3g,0g,1g,41g,2mg,56mg,5mg,639mg,4.4,312,,6 burgers,, 2 hrs,
45,6649312,15 mins,10 mins,,25 mins,4 ,4,593,38g,17g,131mg,1143mg,23g,1g,1g,38g,1mg,237mg,5mg,503mg,4.6,234,,4 burgers,,,
46,6649109,10 mins,10 mins,,20 mins,2 ,2,763,50g,20g,170mg,804mg,26g,1g,6g,51g,2mg,283mg,5mg,614mg,4.5,31,,2 burger dogs,,,
47,6574452,10 mins,15 mins,,25 mins,4 ,4,168,4g,1g,47mg,329mg,27g,1g,4g,6g,2mg,81mg,2mg,128mg,4.8,6,,4 burgers,,,
48,6648853,25 mins,10 mins,,35 mins,8 ,8,427,34g,6g,90mg,572mg,11g,1g,1g,22g,17mg,30mg,1mg,411mg,4.8,18,,8 burgers,,,
49,6737931,22 mins,8 mins,,30 mins,4 ,4,353,16g,3g,61mg,779mg,37g,3g,3g,16g,22mg,113mg,3mg,362mg,4.4,575,,4 servings,,,
50,6606376,25 mins,10 mins,,35 mins,5 ,5,376,19g,7g,113mg,370mg,25g,2g,3g,26g,4mg,105mg,4mg,381mg,4.6,25,,5 burgers,,,
51,6573769,5 mins,15 mins,,20 mins,4 ,4,446,24g,10g,97mg,1133mg,23g,1g,4g,34g,2mg,199mg,4mg,316mg,4.6,663,,4 burgers,,,
52,6605423,40 mins,10 mins,,50 mins,3 ,3,313,18g,7g,95mg,613mg,7g,0g,3g,26g,3mg,40mg,4mg,513mg,4.0,78,,3 servings,,,
53,6584941,5 mins,15 mins,,20 mins,4 ,4,386,27g,15g,135mg,780mg,3g,,3g,31g,0mg,323mg,3mg,322mg,4.5,84,,4 burgers,,,
54,6583825,10 mins,15 mins,,25 mins,2 ,2,763,45g,22g,166mg,1498mg,40g,4g,7g,50g,13mg,346mg,5mg,715mg,5.0,2,,2 sandwiches,,,
55,6570902,10 mins,10 mins,,20 mins,4 ,4,251,14g,4g,136mg,626mg,6g,1g,1g,23g,3mg,41mg,2mg,335mg,4.1,39,,,,,
56,6576393,10 mins,10 mins,,20 mins,6 ,6,323,17g,7g,123mg,564mg,10g,1g,1g,30g,2mg,30mg,4mg,420mg,4.2,163,,6 burgers,,,
57,6736629,25 mins,40 mins,, 1 hr 10 mins,18 ,18,400,10g,8g,78mg,654mg,46g,3g,2g,21g,3mg,53mg,1mg,170mg,4.7,34,,18 rolls,,5 mins,
58,6603592,5 mins,16 mins,,21 mins,4 ,4,247,5g,2g,86mg,507mg,23g,1g,3g,27g,1mg,74mg,5mg,330mg,5.0,2,,4 burgers,,,
59,6599036,10 mins,20 mins,,30 mins,2 ,2,822,47g,19g,241mg,1281mg,42g,2g,7g,54g,0mg,257mg,5mg,529mg,4.1,7,,2 8-ounce cheeseburgers,,,
60,6736726,15 mins,10 mins,,25 mins,4 ,4,474,27g,12g,105mg,445mg,25g,1g,4g,32g,3mg,228mg,3mg,339mg,4.3,74,,4 servings,,,
61,6585786,10 mins,10 mins,,20 mins,6 ,6,238,10g,4g,96mg,817mg,16g,3g,0g,24g,2mg,153mg,2mg,295mg,4.7,137,,6 burgers,,,
62,6580197,10 mins,30 mins,,40 mins,4 ,4,324,17g,6g,69mg,701mg,20g,1g,7g,23g,6mg,65mg,4mg,510mg,4.3,3,,4 hamburgers,,,
