,id_recipe,name,Prep Time:,Cook Time:,Soak Time:,Cool Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
36,6651040,Baked Beans from Scratch,10 mins, 7 hrs 20 mins,,, 7 hrs 30 mins,10 ,10,122,0g,,,196mg,26g,5g,12g,5g,2mg,53mg,2mg,364mg,4.5,133,,5 cups
37,6650672,Grandma's Slow Cooker Vegetarian Chili,10 mins, 2 hrs,,, 2 hrs 10 mins,8 ,8,260,2g,0g,1mg,966mg,53g,13g,9g,12g,19mg,102mg,5mg,451mg,4.4,972,,
38,6737158,Homemade Horseradish,10 mins,,,,10 mins,10 ,10,12,,,,59mg,3g,,1g,0g,16mg,14mg,0mg,76mg,4.7,108,,1 1/4 cups
39,6602814,Delicious Baked Apples,15 mins,45 mins,,, 1 hr,6 ,6,147,1g,1g,2mg,9mg,37g,6g,27g,1g,10mg,29mg,0mg,240mg,4.4,95,,
40,6650376,Pure Maple Candy,15 mins,10 mins,,, 1 hr 5 mins,18 ,18,113,2g,0g,,3mg,24g,0g,21g,1g,,27mg,1mg,86mg,4.5,118,40 mins,18 maple leaves
41,6651074,Bourbon Chicken,15 mins,30 mins,,, 8 hrs 45 mins,4 ,4,313,2g,0g,68mg,1664mg,31g,1g,28g,29g,3mg,46mg,2mg,437mg,4.5,546, 8 hrs,
42,6741021,Macarons (French Macaroons),30 mins,10 mins,,, 2 hrs 10 mins,16 ,16,92,1g,0g,,1mg,18g,,,3g,,30mg,1mg,99mg,4.3,365, 1 hr 30 mins,16 macarons
43,6664703,Mango Salsa,15 mins,,,,45 mins,8 ,8,21,0g,,,1mg,5g,1g,4g,0g,17mg,6mg,0mg,70mg,4.7,507,30 mins,
44,6649200,Canadian Yellow Split Pea Soup with Ham,20 mins, 3 hrs 10 mins,,, 3 hrs 30 mins,12 ,12,172,0g,,,995mg,32g,1g,3g,12g,3mg,26mg,2mg,134mg,4.7,176,,
45,6649500,Classic Turkey and Rice Soup,20 mins, 1 hr 25 mins,,, 1 hr 45 mins,8 ,8,115,2g,0g,4mg,56mg,22g,2g,4g,3g,9mg,59mg,1mg,258mg,4.3,45,,
46,6738161,Quinoa and Black Beans,15 mins,35 mins,,,50 mins,10 ,10,153,2g,0g,,517mg,28g,8g,2g,8g,5mg,41mg,2mg,333mg,4.7,"6,025",,
47,6664701,Baked BBQ Chicken Tenders,5 mins,30 mins,,,35 mins,4 ,4,175,3g,1g,65mg,1340mg,12g,0g,5g,24g,1mg,38mg,1mg,265mg,4.4,11,,
48,6602321,Microwave Corn on the Cob in the Husk,5 mins,5 mins,,,10 mins,1 ,1,77,1g,0g,,14mg,17g,2g,3g,3g,6mg,2mg,1mg,243mg,4.8,57,,
49,6596425,Homemade Stewed Tomatoes,20 mins,30 mins,,,50 mins,16 ,16,14,0g,,,481mg,3g,1g,2g,1g,18mg,9mg,1mg,168mg,4.2,39,,
50,6648243,Vegan Black Bean Burgers,15 mins,20 mins,,,35 mins,4 ,4,264,1g,0g,,1264mg,52g,11g,4g,12g,17mg,86mg,5mg,602mg,4.5,198,,
51,6582924,Baked Banana Chips,10 mins, 2 hrs,,, 2 hrs 15 mins,2 ,2,106,0g,0g,,1mg,27g,3g,15g,1g,12mg,6mg,0mg,426mg,2.6,10,5 mins,
52,6581353,Apple Chips,10 mins,45 mins,,,55 mins,6 ,6,24,,,,1mg,7g,1g,6g,0g,2mg,3mg,0mg,35mg,4.1,108,,
53,6571178,Air Fryer Fried Mushrooms,10 mins,25 mins,,,35 mins,8 ,8,144,3g,1g,70mg,540mg,24g,2g,2g,8g,2mg,29mg,2mg,254mg,4.0,8,,
54,6648805,Porridge,5 mins,10 mins,,,15 mins,4 ,4,157,2g,1g,2mg,600mg,32g,4g,12g,4g,5mg,57mg,1mg,333mg,3.6,27,,
55,6595481,Cornmeal Mush,5 mins,5 mins,,,10 mins,8 ,8,80,0g,,,147mg,17g,1g,0g,2g,,1mg,1mg,33mg,3.6,84,,
56,6596504,Hearty Vegan Slow-Cooker Chili,30 mins, 5 hrs 10 mins,,, 5 hrs 40 mins,15 ,15,134,2g,0g,,617mg,25g,7g,7g,6g,50mg,99mg,4mg,665mg,4.5,160,,
57,6571244,Easy Pressure Cooker Potatoes,5 mins,10 mins,,,25 mins,8 ,8,224,0g,0g,,16mg,51g,4g,2g,6g,16mg,39mg,2mg,1183mg,5.0,5,10 mins,
58,6663522,Slow Cooker Spicy Black-Eyed Peas,30 mins, 6 hrs,,, 6 hrs 30 mins,10 ,10,199,3g,1g,10mg,341mg,30g,6g,4g,14g,18mg,67mg,4mg,613mg,4.7,813,,
59,6737821,Clean Banana Oat Cookies,10 mins,15 mins,,,25 mins,12 ,12,55,1g,0g,16mg,53mg,10g,1g,3g,2g,2mg,26mg,1mg,110mg,3.9,116,,12 cookies
60,6569376,Indian Spiced Onions,5 mins,,,,1 day 5 mins,4 ,4,28,0g,,,36mg,7g,1g,6g,1g,3mg,8mg,0mg,69mg,3.3,8,1 day,
61,6590720,Mashed Sweet Potatoes with Marshmallows,25 mins,40 mins,,, 1 hr 5 mins,8 ,8,190,0g,,,61mg,45g,3g,26g,2g,19mg,46mg,1mg,476mg,4.6,53,,
62,6740955,Vegan Split Pea Soup,10 mins, 3 hrs 5 mins,,, 3 hrs 15 mins,10 ,10,247,2g,0g,,387mg,46g,14g,5g,13g,20mg,56mg,3mg,838mg,4.5,464,,
