,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:,Cool Time:,Stand Time:,Chill Time:,Yield:,Soak Time:,Marinate Time:,Additional Time:
13,7509784,Air Fryer Crispy Pickle Chips with Creole Dipping Sauce,15 mins,6 mins,21 mins,6 ,6,206,10g,2g,66mg,854mg,23g,2g,2g,6g,2mg,89mg,2mg,164mg,5.0,1,,,,,,,,
14,7509875,Air Fryer Raspberry Brownie Bites,25 mins,10 mins,45 mins,20 ,20,148,9g,3g,34mg,41mg,16g,2g,8g,2g,2mg,13mg,1mg,82mg,,,,20 mins,,,20 brownie bites,,,
15,7510177,Air Fryer Sweet Potato Chips,10 mins,15 mins,50 mins,4 ,4,82,4g,0g,0mg,153mg,12g,2g,4g,1g,11mg,22mg,0mg,271mg,,,,5 mins,,,,20 mins,,
16,7509535,Air Fryer Green Bean Fries,20 mins,25 mins,45 mins,8 ,8,303,13g,2g,30mg,525mg,40g,4g,6g,8g,11mg,97mg,3mg,266mg,,,,,,,,,,
17,7509591,Air Fryer Loaded Egg Salad Sandwiches,15 mins,20 mins, 1 hr 40 mins,4 ,4,473,26g,7g,389mg,934mg,35g,3g,6g,23g,3mg,172mg,5mg,413mg,,,,,, 1 hr 5 mins,,,,
18,7509380,Air Fryer Chicken Tenders,10 mins,12 mins,22 mins,4 ,4,509,31g,5g,101mg,1062mg,33g,2g,2g,25g,0mg,53mg,2mg,413mg,,,,,,,8 chicken tenders,,,
19,7511002,Air Fryer Garlic Green Beans,5 mins,10 mins,15 mins,4 ,4,60,4g,1g,0mg,101mg,7g,2g,3g,2g,11mg,36mg,1mg,190mg,5.0,1,,,,,,,,
20,7510925,Air Fryer Green Beans,12 mins,8 mins,20 mins,4 ,4,81,5g,1g,0mg,81mg,8g,3g,4g,2g,15mg,43mg,1mg,243mg,,,,,,,,,,
21,7501758,Air Fryer Chicken Tenders,15 mins,15 mins, 1 hr,5 ,5,753,22g,5g,275mg,3003mg,64g,3g,15g,70g,2mg,166mg,6mg,755mg,,,,,,,,,30 mins,
22,7501470,Air Fryer Honey Garlic Chicken Wings,15 mins,25 mins,40 mins,4 ,4,896,55g,20g,186mg,2664mg,62g,2g,36g,40g,7mg,263mg,4mg,514mg,4.7,3,,,,,,,,
23,7501307,Air Fryer Pizookie,5 mins,10 mins,15 mins,,,5321,300g,113g,2mg,4936mg,618g,22g,13g,38g,0mg,168mg,13mg,927mg,4.0,2,,,,,,,,
24,7500004,Air Fryer Cheese Curds,20 mins,20 mins, 2 hrs 10 mins,4 ,4,944,53g,19g,136mg,1430mg,81g,4g,9g,33g,1mg,746mg,5mg,381mg,5.0,1, 1 hr,,30 mins,,,,,
25,7485060,Air Fryer Grilled Ham and Cheese,10 mins,7 mins,17 mins,4 servings,4,362,17g,6g,43mg,1188mg,32g,2g,4g,19g,0mg,345mg,3mg,309mg,5.0,1,,,,,4 sandwiches,,,
26,7484095,Air Fryer Bacon Wrapped Brussels Sprouts,5 mins,10 mins,15 mins,4 servings,4,203,13g,4g,34mg,837mg,6g,3g,1g,17g,34mg,54mg,2mg,397mg,,,,,,,,,,
27,7482374,Air Fryer Scrambled Eggs,3 mins,7 mins,10 mins,2 ,2,194,15g,7g,387mg,254mg,1g,0g,0g,13g,0mg,58mg,2mg,140mg,5.0,3,,,,,,,,
28,7373417,Air Fryer Caramelized Bananas,10 mins,10 mins,20 mins,4 ,4,99,3g,2g,8mg,24mg,19g,2g,11g,1g,6mg,10mg,0mg,250mg,5.0,1,,,,,,,,
29,7109940,Air Fryer Lemon Pepper Roasted Cashews,3 mins,7 mins,10 mins,4 ,4,219,18g,3g,,305mg,11g,1g,,6g,,,,5mg,4.0,1,,,,,,,,
30,7108604,Air Fryer Pretzel Crescent Rolls,5 mins,,5 mins,8 ,8,110,6g,2g,,2090mg,11g,,,2g,,,,1mg,5.0,1,,,,,,,,
31,7107103,Air Fryer Crispy Cajun Black-Eyed Peas,4 mins,14 mins,18 mins,4 ,4,111,4g,1g,,485mg,14g,4g,,5g,,,,188mg,,,,,,,,,,
32,7105087,Quick Air Fryer Tilapia,10 mins,8 mins,18 mins,4 ,4,132,2g,0g,42mg,277mg,4g,1g,,24g,,,,498mg,3.0,1,,,,,,,,
33,7099327,Air Fryer Chickpeas,10 mins,15 mins,25 mins,4 ,4,155,4g,0g,,614mg,25g,5g,,6g,,,,191mg,4.7,3,,,,,,,,
34,7098865,Air Fryer Loaded Mashed Potato Cakes,10 mins,12 mins,32 mins,6 ,6,171,8g,5g,48mg,485mg,15g,1g,,9g,,,,259mg,5.0,2,10 mins,,,,6 potato cakes,,,
35,6665737,Air Fryer Chicken Bites with Parmesan Cheese,10 mins,18 mins,28 mins,4 ,4,187,5g,2g,70mg,301mg,4g,0g,,29g,,,,344mg,4.8,4,,,,,,,,
36,6666246,Air Fryer Mini Croissants with Nutella and Jam,15 mins,14 mins,29 mins,8 ,8,211,14g,3g,23mg,89mg,19g,1g,,3g,,,,27mg,,,,,,,8 mini croissants,,,
37,6649943,Air Fryer Cherry Cream Cheese Croissants,10 mins,5 mins,15 mins,8 ,8,227,16g,8g,31mg,307mg,16g,1g,,5g,,,,85mg,4.6,5,,,,,8 croissants,,,
38,6664578,Air Fryer Halloumi Cheese,10 mins,7 mins,17 mins,12 ,12,66,6g,3g,14mg,208mg,1g,,,4g,,,,,5.0,1,,,,,12 slices halloumi,,,
39,6742867,Air Fryer Ranch Chicken Bites,10 mins,10 mins,50 mins,4 ,4,328,26g,7g,101mg,425mg,1g,0g,,21g,,,,239mg,,,,,,,,,30 mins,
40,6663267,Air Fryer Frozen Chicken Strips,5 mins,11 mins,16 mins,8 ,8,106,2g,1g,58mg,411mg,3g,,,20g,,,,,,,,,,,,,,
41,6665005,Air Fryer Spicy Onion Rings,20 mins,10 mins, 1 hr,4 ,4,230,4g,1g,48mg,1093mg,53g,2g,,10g,,,,197mg,5.0,1,,,,30 mins,,,,
42,7092123,Air Fryer BBQ Chicken Drummies,5 mins,30 mins,35 mins,4 ,4,483,25g,6g,184mg,957mg,18g,0g,,44g,,,,574mg,5.0,4,,,,,,,,
43,6738175,Air Fryer Grilled Peaches with Cinnamon,5 mins,12 mins,22 mins,2 ,2,150,14g,9g,40mg,19mg,7g,0g,,1g,,,,48mg,5.0,1,,5 mins,,,,,,
44,6944824,Air Fryer Puffed Butter Beans,5 mins,15 mins,20 mins,4 ,4,116,3g,1g,,902mg,16g,4g,,6g,,,,14mg,3.7,3,,,,,1 cup,,,
45,6889025,Air Fryer Pizza,15 mins,8 mins,23 mins,2 ,2,966,36g,16g,105mg,2660mg,101g,3g,,55g,,,,158mg,3.0,1,,,,,2 personal pizzas,,,
46,6833509,Air Fryer Smoked Salmon Wontons,45 mins,5 mins,50 mins,48 ,48,38,1g,1g,5mg,78mg,5g,0g,,1g,,,,14mg,5.0,2,,,,,48 wonton appetizers,,,
47,6750033,Air-Fried Raspberry Brie Bites,20 mins,15 mins,35 mins,16 ,16,252,16g,10g,45mg,239mg,23g,0g,,4g,,,,37mg,4.5,2,,,,,16 bites,,,
48,6603055,Spicy Chicken Jerky in the Air Fryer,10 mins, 1 hr 30 mins, 17 hrs 40 mins,6 ,6,54,1g,0g,27mg,181mg,0g,0g,,10g,,5mg,0mg,90mg,4.0,1,,,,,6 skewers,,, 16 hrs
49,6825902,Air Fryer Scrambled Eggs On The Go,4 mins,6 mins,10 mins,1 ,1,143,10g,3g,372mg,140mg,1g,,,13g,,,,134mg,4.5,2,,,,,,,,
50,6738678,Basic Air Fryer Hot Dogs,5 mins,5 mins,10 mins,4 ,4,269,15g,6g,24mg,719mg,23g,1g,4g,9g,,66mg,2mg,111mg,4.7,106,,,,,,,,
51,6650966,Air Fryer Potato Wedges,5 mins,30 mins,35 mins,4 ,4,129,5g,1g,,230mg,19g,3g,1g,2g,22mg,16mg,4mg,466mg,4.8,148,,,,,16 potato wedges,,,
52,6737604,Air Fryer Meatballs,10 mins,20 mins,35 mins,4 ,4,457,33g,13g,114mg,634mg,8g,1g,,30g,1mg,146mg,3mg,402mg,4.8,42,,,,,16 meatballs,,,5 mins
53,6739121,Easy Air Fryer Baked Potatoes,10 mins,40 mins,50 mins,4 ,4,448,19g,8g,31mg,205mg,65g,8g,3g,8g,73mg,53mg,3mg,1572mg,4.7,35,,,,,,,,
54,6591511,Air Fryer Roasted Asparagus,10 mins,10 mins,20 mins,2 ,2,94,3g,2g,9mg,739mg,10g,5g,5g,9g,13mg,168mg,5mg,490mg,4.7,32,,,,,,,,
55,6650074,Air Fryer Chicken Thighs,10 mins,20 mins,30 mins,4 ,4,213,14g,4g,71mg,355mg,1g,0g,0g,19g,1mg,12mg,1mg,192mg,4.7,151,,,,,,,,
56,6572440,Simple Air Fryer Brussels Sprouts,,15 mins,30 mins,6 ,6,91,5g,1g,,416mg,11g,4g,3g,4g,97mg,49mg,2mg,449mg,4.4,27,,,,,,,,15 mins
57,6592570,Air Fryer Meatloaf,10 mins,25 mins,45 mins,4 ,4,297,19g,6g,126mg,707mg,6g,1g,1g,25g,3mg,33mg,3mg,361mg,4.3,58,,,,,,,,10 mins
58,6664334,Easy Air Fryer Pork Chops,5 mins,20 mins,25 mins,4 ,4,305,17g,5g,90mg,685mg,2g,0g,0g,35g,1mg,121mg,1mg,457mg,4.8,183,,,,,,,,
59,6664543,Air Fryer Sweet Potato Fries,10 mins,10 mins,20 mins,2 ,2,114,7g,1g,0mg,335mg,12g,2g,4g,1g,11mg,23mg,0mg,280mg,4.6,69,,,,,,,,
