,id_recipe,Prep Time:,Cook Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rest Time:,Yield:,Additional Time:
40,6650531,15 mins, 4 hrs,, 4 hrs 15 mins,6 ,6,308,4g,1g,66mg,851mg,40g,5g,3g,28g,43mg,47mg,3mg,1344mg,3.8,4,,6 servings,
41,6650849,15 mins,55 mins,, 1 hr 10 mins,6 ,6,384,27g,16g,128mg,913mg,10g,2g,2g,26g,1mg,28mg,2mg,501mg,4.7,78,,6 servings,
42,6649703,10 mins,40 mins,,55 mins,8 ,8,251,12g,4g,95mg,381mg,4g,1g,3g,31g,2mg,14mg,2mg,500mg,4.8,30,,8 servings,5 mins
43,6582079,45 mins,6 mins,,51 mins,6 ,6,194,8g,2g,42mg,712mg,14g,2g,2g,16g,15mg,39mg,2mg,459mg,4.4,98,,6 servings,
44,6738976,5 mins,25 mins,, 8 hrs 30 mins,6 ,6,288,5g,2g,74mg,189mg,37g,,31g,24g,1mg,45mg,2mg,559mg,4.4,684,,4 to 6 servings, 8 hrs
45,6738619,5 mins,30 mins,,40 mins,3 ,3,235,14g,6g,89mg,223mg,2g,0g,0g,24g,2mg,16mg,1mg,401mg,4.8,822,,3 servings,5 mins
46,6736676,30 mins,30 mins,, 5 hrs,10 ,10,204,6g,2g,44mg,748mg,23g,3g,16g,17g,84mg,45mg,1mg,512mg,4.5,4,,, 4 hrs
47,6648652,10 mins, 1 hr,, 9 hrs 10 mins,10 ,10,220,4g,1g,74mg,872mg,18g,0g,,24g,0mg,13mg,2mg,498mg,4.4,148,,, 8 hrs
48,6592403,10 mins, 3 hrs,, 3 hrs 10 mins,6 ,6,199,4g,1g,65mg,1063mg,17g,4g,12g,25g,23mg,60mg,3mg,662mg,4.5,117,,6 servings,
49,6575907,20 mins,45 mins,, 1 hr 5 mins,4 ,4,330,20g,10g,91mg,506mg,14g,1g,2g,24g,3mg,75mg,3mg,450mg,4.2,45,,4 servings,
50,6564982,20 mins, 1 hr 45 mins,, 2 hrs 35 mins,2 ,2,552,30g,9g,149mg,487mg,5g,0g,1g,49g,,40mg,2mg,780mg,4.4,21,,2 servings,30 mins
51,6735839,30 mins, 1 hr,, 1 hr 30 mins,4 ,4,400,9g,3g,148mg,676mg,8g,1g,2g,48g,2mg,39mg,3mg,1107mg,4.3,"1,791",,4 servings,
52,6738140,10 mins,20 mins,, 6 hrs 30 mins,4 ,4,278,11g,2g,73mg,1008mg,17g,1g,14g,27g,0mg,28mg,2mg,487mg,4.6,"1,225",,4 servings, 6 hrs
53,6598695,10 mins, 1 hr,, 1 hr 20 mins,4 ,4,627,11g,3g,71mg,1697mg,106g,3g,35g,25g,34mg,131mg,3mg,782mg,4.7,13,,,10 mins
54,6570964,20 mins, 2 hrs,, 2 hrs 20 mins,6 ,6,299,11g,3g,147mg,119mg,1g,1g,,47g,1mg,36mg,3mg,911mg,4.4,209,,6 servings,
55,6569775,15 mins,20 mins,,40 mins,4 ,4,252,7g,3g,79mg,929mg,14g,1g,1g,31g,11mg,122mg,3mg,508mg,4.5,91,,4 servings,5 mins
56,6584110,15 mins,40 mins,,55 mins,6 ,6,463,26g,14g,163mg,439mg,12g,0g,4g,33g,2mg,46mg,2mg,719mg,4.7,800,,6 servings,
57,6596555,15 mins,40 mins,, 1 hr,4 ,4,161,3g,1g,49mg,355mg,16g,1g,10g,18g,1mg,17mg,2mg,329mg,4.6,41,,4 servings,5 mins
58,6573832,10 mins,35 mins,,50 mins,4 ,4,294,20g,7g,86mg,900mg,1g,,,26g,,46mg,1mg,308mg,4.6,14,,1 pound pork tenderloin,5 mins
59,6737355,10 mins,50 mins,, 1 hr,2 ,2,370,15g,4g,104mg,182mg,23g,2g,12g,37g,16mg,54mg,3mg,929mg,4.6,59,,1 pork tenderloin,
60,6738609,10 mins, 10 hrs,, 10 hrs 10 mins,8 ,8,245,3g,1g,37mg,1045mg,32g,13g,3g,24g,18mg,84mg,4mg,921mg,4.6,531,,8 servings,
61,6590857,15 mins,25 mins,, 4 hrs 40 mins,6 ,6,267,4g,1g,65mg,651mg,35g,0g,31g,23g,0mg,8mg,1mg,397mg,4.5,533,,6 servings, 4 hrs
62,6601885,30 mins,25 mins,,55 mins,8 ,8,584,6g,1g,25mg,2220mg,110g,2g,14g,27g,11mg,83mg,4mg,624mg,5.0,2,,8 servings,
