,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C,Bake Time:,Cool Time:,Additional Time:
43,6568127,Brown Family's Favorite Pumpkin Pie,30 mins, 1 hr, 1 hr 30 mins,8 ,1 to 9 - inch pie,8,463,26g,8g,76mg,492mg,52g,4g,36g,10g,189mg,2mg,405mg,4.7,"1,101",4mg,,,
44,6572188,Creamy Pumpkin Pie with Ricotta Cheese,10 mins,45 mins,55 mins,8 ,1 9-inch pie,8,257,10g,3g,52mg,443mg,37g,3g,24g,5g,92mg,2mg,235mg,5.0,5,3mg,,,
45,6568295,Pumpkin Pudding Pie,20 mins,7 mins, 1 hr 27 mins,8 ,1 9-inch pie,8,323,14g,8g,37mg,592mg,46g,2g,33g,5g,147mg,2mg,280mg,4.7,7,3mg,,, 1 hr
46,6574549,Apple Butter Pumpkin Pie,30 mins, 1 hr, 1 hr 30 mins,8 ,1 to 9 - inch deep dish pie,8,413,21g,8g,90mg,392mg,50g,3g,28g,8g,128mg,2mg,294mg,4.3,180,2mg,,,
47,6736840,Mom's Pumpkin Pie,30 mins, 1 hr, 1 hr 30 mins,8 ,1 9-inch pie,8,345,17g,7g,119mg,611mg,44g,3g,30g,7g,108mg,2mg,270mg,4.5,341,3mg,,,
48,6606313,Praline Pumpkin Pie II,30 mins,55 mins, 1 hr 25 mins,8 ,1 9-inch pie,8,359,20g,8g,74mg,394mg,42g,2g,28g,5g,74mg,2mg,187mg,4.7,46,2mg,,,
49,6598201,Dairy-Free Pumpkin Pie,10 mins,45 mins,55 mins,8 ,1 9-inch pie,8,153,4g,1g,23mg,502mg,29g,2g,19g,2g,62mg,2mg,232mg,,,2mg,,,
50,6571941,"Pumpkin Pie (Wheat-Free, Egg-Free, and Dairy-Free)",20 mins, 1 hr 15 mins, 3 hrs 35 mins,8 ,8 servings,8,264,16g,2g,,615mg,31g,2g,23g,1g,32mg,1mg,149mg,4.8,24,3mg,,, 2 hrs
51,6567306,Healthier Sweet Potato Pie I,30 mins,50 mins, 2 hrs 20 mins,8 ,1 9-inch pan,8,316,19g,9g,79mg,245mg,34g,2g,17g,4g,68mg,1mg,277mg,5.0,4,1mg,,, 1 hr
52,6579922,Pumpkin Custard Pie I,,,,8 ,1 pie,8,228,8g,2g,75mg,375mg,34g,1g,24g,6g,100mg,1mg,209mg,4.3,27,1mg,,,
53,6599470,Mom's Spiced Pumpkin Pie,5 mins,55 mins, 2 hrs,8 ,1 to 9 - inch pie,8,297,13g,5g,60mg,605mg,41g,3g,25g,7g,157mg,2mg,299mg,4.3,51,4mg,,, 1 hr
54,6597988,Spicy Pumpkin Pie II,10 mins, 1 hr, 1 hr 10 mins,8 ,1 to 9 - inch pie,8,333,16g,6g,69mg,238mg,45g,4g,30g,6g,101mg,2mg,137mg,4.5,26,0mg,,,
55,6574516,Easy Maple Pumpkin Pie,10 mins,40 mins,50 mins,8 ,1 9-inch pie,8,294,12g,4g,79mg,397mg,42g,2g,29g,6g,112mg,2mg,221mg,5.0,3,2mg,,,
56,6591888,Frozen No-Bake Pumpkin Pie,10 mins,,10 mins,8 ,8 servings,8,213,9g,3g,2mg,337mg,29g,2g,14g,3g,80mg,1mg,205mg,3.9,15,2mg,,,
57,6585839,Dairy-Free Honey Pumpkin Pie,20 mins,50 mins, 3 hrs 10 mins,8 ,1 9-inch pie,8,340,15g,4g,95mg,280mg,48g,,29g,6g,,,,5.0,5,,,, 2 hrs
58,6574225,Pumpkin Patch Tarts,10 mins,15 mins, 1 hr 35 mins,42 ,42 tarts,42,879,41g,10g,17mg,612mg,120g,1g,35g,10g,53mg,4mg,80mg,4.3,3,1mg,,, 1 hr 10 mins
59,6737002,Harvest Walnut Pumpkin Pie,15 mins,45 mins, 1 hr,8 ,1 9-inch pie,8,484,22g,8g,75mg,558mg,65g,3g,49g,9g,186mg,2mg,389mg,4.8,10,4mg,,,
