,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Bake Time:,Cool Time:,Stand Time:,Vitamin C
18,6664865,20 mins,15 mins,15 mins,50 mins,36 ,3 dozen cookies,36,102,7g,3g,14mg,37mg,8g,0g,3g,1g,6mg,0mg,24mg,4.7,"1,556",,,,,
19,6664860,25 mins,10 mins,,35 mins,40 ,40 cookies,40,122,7g,3g,11mg,119mg,14g,1g,9g,2g,13mg,1mg,61mg,4.8,"4,520",,,,,
20,6663955,20 mins,15 mins, 1 hr 20 mins, 1 hr 55 mins,36 ,36 cookies,36,104,7g,3g,14mg,1mg,10g,1g,,1g,9mg,0mg,29mg,4.6,357,,,,,
21,6648728,30 mins,,,30 mins,16 ,1 8x8-inch pan,16,311,20g,11g,47mg,160mg,34g,2g,26g,3g,19mg,1mg,87mg,4.6,364,,,,,
22,6741040,25 mins,, 1 hr, 1 hr 25 mins,12 ,12 bars,12,532,37g,17g,41mg,320mg,49g,3g,38g,9g,26mg,2mg,275mg,4.6,"3,059",,,,,
23,6649336,30 mins,15 mins,,45 mins,36 ,3 dozen,36,104,5g,3g,14mg,37mg,14g,0g,8g,1g,3mg,0mg,9mg,4.7,"2,801",,,,,
24,6741043,15 mins,40 mins,15 mins, 1 hr 10 mins,36 ,36 cookies,36,83,3g,1g,13mg,40mg,12g,0g,5g,1g,23mg,1mg,16mg,4.7,"1,122",,,,,
25,6648904,10 mins,15 mins,,25 mins,12 ,1 dozen,12,287,12g,11g,11mg,187mg,41g,4g,30g,4g,98mg,1mg,252mg,4.6,"1,584",,,,,1mg
26,6590505,25 mins,25 mins,,50 mins,12 ,12 squares,12,363,13g,7g,31mg,217mg,64g,5g,42g,4g,41mg,2mg,325mg,4.7,466,,,,,0mg
27,6650723,45 mins,10 mins,30 mins, 1 hr 25 mins,60 ,5 dozen,60,102,6g,2g,4mg,41mg,11g,1g,,2g,3mg,0mg,52mg,4.6,943,,,,,
28,6568961,15 mins,15 mins,20 mins,50 mins,24 ,24 bars,24,240,11g,4g,,140mg,34g,1g,16g,5g,9mg,3mg,119mg,4.6,395,,,,,5mg
29,6739633,30 mins,20 mins, 1 hr, 1 hr 50 mins,30 ,5 dozen,30,120,5g,1g,6mg,179mg,19g,0g,12g,1g,11mg,1mg,55mg,4.6,"1,086",,,,,
30,6664815,30 mins,15 mins,,45 mins,60 ,5 dozen cookies,60,63,4g,2g,8mg,9mg,6g,0g,,1g,3mg,0mg,14mg,4.8,601,,,,,
31,6739486,15 mins,20 mins,,35 mins,72 ,6 dozen,72,177,11g,5g,24mg,116mg,21g,1g,13g,2g,15mg,1mg,69mg,4.7,"11,072",,,,,0mg
32,6649761,15 mins,35 mins,,50 mins,24 ,2 dozen,24,102,5g,3g,33mg,77mg,13g,0g,6g,2g,29mg,1mg,20mg,4.7,181,,,,,
33,6664280,30 mins,10 mins,,40 mins,36 ,3 dozen,36,82,4g,3g,22mg,29mg,11g,0g,5g,1g,4mg,0mg,12mg,4.6,"1,284",,,,,0mg
34,6650824,15 mins, 1 hr 30 mins,, 1 hr 45 mins,30 ,60 rosettes,30,561,59g,8g,13mg,28mg,8g,0g,5g,1g,12mg,0mg,21mg,4.7,124,,,,,
35,6650569,15 mins,10 mins,,25 mins,24 ,2 dozen,24,147,6g,4g,19mg,64mg,22g,1g,15g,2g,23mg,0mg,19mg,4.7,"1,444",,,,,
36,6665059,20 mins,15 mins,,35 mins,48 ,48 cookies,48,110,5g,3g,14mg,67mg,16g,1g,11g,1g,7mg,0mg,26mg,4.7,"1,312",,,,,2mg
37,6664087,25 mins,45 mins,10 mins, 1 hr 20 mins,36 ,36 cookies,36,92,4g,1g,10mg,55mg,12g,1g,6g,2g,16mg,1mg,66mg,4.8,"1,811",,,,,0mg
38,6741021,30 mins,10 mins, 1 hr 30 mins, 2 hrs 10 mins,16 ,16 macarons,16,92,1g,0g,,1mg,18g,,,3g,30mg,1mg,99mg,4.3,365,,,,,
39,6650390,15 mins,15 mins, 2 hrs, 2 hrs 30 mins,18 ,36 cookies,18,284,6g,1g,21mg,213mg,54g,1g,30g,4g,37mg,2mg,191mg,4.7,235,,,,,0mg
40,6648734,15 mins,35 mins,,50 mins,24 ,24 brownies,24,248,11g,7g,51mg,165mg,38g,2g,29g,3g,15mg,1mg,103mg,4.6,"5,038",,,,,
41,6582074,15 mins,5 mins,,20 mins,15 ,15 macaroons,15,228,9g,6g,17mg,62mg,38g,2g,29g,2g,20mg,1mg,93mg,4.1,86,,,,,
42,6663366,20 mins,10 mins,15 mins,45 mins,18 ,18 cookies,18,112,5g,3g,14mg,92mg,17g,0g,9g,1g,2mg,2mg,8mg,4.4,240,,,,,1mg
43,6739397,10 mins,10 mins,,20 mins,36 ,36 cookies,36,87,4g,1g,14mg,107mg,12g,0g,7g,1g,8mg,0mg,16mg,4.6,"1,892",,,,,
44,6602701,20 mins,10 mins, 1 hr 15 mins, 1 hr 45 mins,40 ,40 cookies,40,88,5g,3g,23mg,82mg,10g,,10g,1g,11mg,0mg,7mg,4.4,84,,,,,
45,6650016,15 mins,10 mins, 3 hrs, 3 hrs 25 mins,30 ,2 1/2 dozen,30,72,4g,3g,11mg,32mg,8g,0g,4g,1g,5mg,0mg,13mg,4.5,326,,,,,1mg
46,6569006,10 mins,30 mins,,40 mins,50 ,50 krumkake,50,51,2g,1g,13mg,5mg,7g,0g,4g,1g,8mg,0mg,15mg,4.5,27,,,,,
47,6651060,30 mins,,2 days,2 days 30 mins,24 ,4 dozen,24,158,8g,2g,,46mg,19g,2g,5g,2g,15mg,1mg,80mg,4.5,254,,,,,
48,6599675,20 mins,15 mins,5 mins,40 mins,36 ,3 dozen,36,75,5g,3g,14mg,37mg,7g,0g,2g,1g,3mg,0mg,9mg,4.4,625,,,,,
49,6736540,10 mins,15 mins,,25 mins,24 ,2 dozen,24,111,8g,5g,20mg,55mg,10g,0g,3g,1g,4mg,0mg,11mg,4.3,"1,514",,,,,
50,6740978,30 mins,5 mins, 3 hrs, 3 hrs 35 mins,48 ,4 dozen,48,167,10g,4g,5mg,83mg,18g,1g,,4g,8mg,1mg,107mg,4.5,451,,,,,1mg
51,6664935,20 mins,5 mins,15 mins,40 mins,18 ,3 dozen,18,118,5g,3g,14mg,92mg,18g,0g,9g,1g,2mg,2mg,7mg,4.3,182,,,,,1mg
52,6650152,30 mins,15 mins,45 mins, 1 hr 30 mins,84 ,7 dozen,84,116,6g,2g,6mg,80mg,14g,1g,7g,2g,17mg,0mg,55mg,4.7,696,,,,,
53,6737683,15 mins,10 mins,5 mins,30 mins,36 ,3 dozen,36,100,4g,1g,5mg,149mg,16g,0g,10g,1g,9mg,1mg,47mg,4.7,478,,,,,
54,6650281,20 mins,15 mins,15 mins,50 mins,20 ,20 to 24 cookies,20,139,5g,3g,23mg,33mg,23g,0g,15g,1g,6mg,0mg,18mg,4.5,87,,,,,1mg
55,6603888,20 mins,10 mins,30 mins, 1 hr,30 ,2 1/2 dozen,30,71,3g,1g,,86mg,11g,0g,5g,1g,1mg,0mg,9mg,4.3,20,,,,,
56,6604251,30 mins,20 mins, 1 hr, 1 hr 50 mins,50 ,100 cookies,50,93,4g,2g,10mg,78mg,14g,0g,,2g,5mg,1mg,16mg,4.3,35,,,,,0mg
57,6596227,30 mins,15 mins,5 mins,50 mins,24 ,2 dozen,24,79,4g,1g,1mg,28mg,10g,0g,5g,1g,2mg,0mg,7mg,4.8,71,,,,,
58,6737135,10 mins,35 mins, 2 hrs 30 mins, 3 hrs 15 mins,81 ,81 squares,81,59,4g,2g,8mg,22mg,7g,0g,,1g,8mg,0mg,19mg,4.5,923,,,,,0mg
59,6586222,40 mins,10 mins, 2 hrs, 2 hrs 50 mins,28 ,28 patties,28,183,7g,4g,3mg,13mg,33g,1g,31g,1g,29mg,1mg,97mg,4.5,246,,,,,0mg
60,6583170,45 mins, 1 hr,, 1 hr 45 mins,36 ,36 mushrooms,36,41,1g,1g,1mg,23mg,8g,0g,7g,1g,6mg,0mg,21mg,4.8,176,,,,,0mg
