,id_recipe,name,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Prep Time:,Cook Time:,Total Time:,Total Sugars,Calcium,Iron,Vitamin C,Additional Time:,Cool Time:,Chill Time:
16,6600927,Mini Vanilla Cupcakes,18 ,18 mini cupcakes,18,147,9g,6g,34mg,79mg,15g,0g,1g,18mg,4.7,3,20 mins,10 mins,55 mins,11g,20mg,0mg,,25 mins,,
17,6586569,Ginny's Mini Cheesecakes,12 ,12 servings,12,271,15g,9g,72mg,150mg,31g,0g,4g,117mg,4.6,541,25 mins,15 mins, 1 hr 40 mins,11g,42mg,1mg,3mg, 1 hr,,
18,6651187,Cookie Dough Cupcakes,24 ,2 dozen cupcakes,24,256,13g,5g,42mg,215mg,34g,1g,3g,72mg,4.5,"1,437",20 mins,20 mins, 2 hrs 40 mins,20g,42mg,1mg,, 2 hrs,,
19,6589632,Moist Vanilla Cupcakes,12 ,12 cupcakes,12,167,8g,5g,37mg,153mg,21g,0g,2g,35mg,3.6,18,10 mins,20 mins,40 mins,13g,41mg,1mg,,10 mins,,
20,6597498,The Best Homemade Cupcakes,24 ,24 cupcakes,24,164,5g,1g,17mg,127mg,27g,0g,2g,42mg,4.2,9,15 mins,20 mins,40 mins,18g,45mg,1mg,,5 mins,,
21,6577872,OREO Mini PHILLY Cheesecakes,12 ,12 mini cheesecakes,12,269,18g,10g,78mg,253mg,24g,1g,5g,11mg,4.5,184,10 mins,20 mins, 4 hrs 30 mins,17g,5mg,1mg,, 4 hrs,,
22,6584116,Pound Cake Cupcakes,24 ,24 cupcakes,24,204,8g,5g,51mg,78mg,29g,0g,3g,49mg,5.0,1,15 mins,20 mins,35 mins,17g,34mg,1mg,0mg,,,
23,6606169,Cheesecake Cupcakes,18 ,18 cupcakes,18,265,17g,10g,98mg,137mg,24g,,5g,82mg,3.9,196,,,,23g,52mg,1mg,0mg,,,
24,6739565,Real Pistachio Cupcakes,24 ,24 cupcakes,24,175,9g,4g,47mg,151mg,21g,1g,3g,86mg,4.7,41,15 mins,15 mins,35 mins,13g,44mg,1mg,0mg,5 mins,,
25,6736535,Moist Red Velvet Cupcakes,20 ,20 cupcakes,20,160,6g,3g,31mg,264mg,26g,1g,3g,62mg,4.2,455,30 mins,20 mins,50 mins,16g,22mg,1mg,0mg,,,
26,6738313,Sweet Potato Cupcakes with Toasted Marshmallow Frosting,12 ,12 cupcakes,12,292,9g,5g,48mg,347mg,49g,1g,5g,143mg,4.7,36,25 mins,20 mins, 1 hr 45 mins,27g,91mg,2mg,1mg, 1 hr,,
27,6584853,Real Strawberry Cupcakes,12 ,12 cupcakes,12,295,14g,6g,52mg,249mg,39g,1g,4g,73mg,4.1,178,40 mins,25 mins, 1 hr 15 mins,25g,67mg,1mg,10mg,10 mins,,
28,6738772,Carrot Cupcakes with White Chocolate Cream Cheese Icing,12 ,12 muffins,12,639,32g,13g,76mg,317mg,85g,2g,6g,191mg,4.7,569,30 mins,25 mins, 1 hr 55 mins,69g,58mg,2mg,2mg, 1 hr,,
29,6575689,Carrot Pineapple Cupcakes,12 ,1 dozen cupcakes,12,515,27g,11g,72mg,412mg,65g,1g,4g,111mg,4.7,121,20 mins,20 mins, 1 hr 10 mins,51g,79mg,1mg,3mg,30 mins,,
30,6573868,Cream Cheese Cupcakes,24 ,24 cupcakes,24,183,11g,7g,70mg,114mg,19g,0g,4g,65mg,4.1,41,,,,9g,30mg,1mg,0mg,,,
31,6663670,Lemon-Blueberry Cupcakes with Blueberry-Lemon Buttercream Frosting,18 ,18 cupcakes,18,345,17g,10g,63mg,133mg,49g,1g,2g,46mg,4.6,5, 2 hrs 50 mins,40 mins, 4 hrs 25 mins,,,,,55 mins,,
32,6739507,Mini Pumpkin Cheesecake,24 ,24 servings,24,296,18g,8g,66mg,286mg,31g,1g,5g,92mg,4.7,50,30 mins,30 mins, 2 hrs 40 mins,20g,42mg,1mg,1mg, 1 hr 40 mins,,
33,6590775,Easy Chocolate Cupcakes,16 ,16 cupcakes,16,201,9g,5g,67mg,172mg,28g,2g,4g,111mg,4.2,126,10 mins,20 mins,30 mins,16g,63mg,1mg,,,,
34,6571934,Mari's Banana Cupcakes,14 ,14 cupcakes,14,346,18g,3g,27mg,194mg,44g,2g,4g,157mg,4.7,150,15 mins,20 mins,35 mins,27g,17mg,1mg,2mg,,,
35,6601967,Cupcake Princess' Vanilla Cupcakes,12 ,12 cupcakes,12,178,6g,4g,62mg,131mg,27g,0g,3g,49mg,3.7,300,15 mins,20 mins, 1 hr 45 mins,17g,26mg,1mg,, 1 hr 10 mins,,
36,6572024,Banana Chocolate Chip Cupcakes with Cream Cheese Frosting,12 ,1 dozen,12,332,12g,7g,41mg,134mg,55g,1g,3g,146mg,4.8,34,25 mins,20 mins, 1 hr 15 mins,42g,35mg,1mg,2mg,30 mins,,
37,6574734,Pecan Pie Cupcakes,9 ,9 cupcakes,9,310,20g,8g,68mg,95mg,31g,1g,3g,108mg,4.9,26,15 mins,20 mins,35 mins,24g,39mg,1mg,0mg,,,
38,6600283,Yazdi Cakes,24 ,24 cakes,24,215,14g,8g,62mg,121mg,20g,1g,3g,71mg,4.7,40,20 mins,25 mins,45 mins,11g,46mg,1mg,0mg,,,
39,6582014,Bloody Broken Glass Cupcakes,24 ,24 cupcakes,24,377,9g,2g,23mg,198mg,75g,0g,2g,46mg,4.4,97,30 mins,30 mins, 1 hr 20 mins,58g,49mg,0mg,0mg,20 mins,,
40,6577912,Cream Cheese-Filled Cupcakes,12 ,12 cupcakes,12,355,18g,8g,36mg,418mg,49g,2g,5g,221mg,4.6,448,20 mins,20 mins,40 mins,33g,86mg,3mg,,,,
41,6568347,Vanilla Coconut Flour Cupcakes,10 ,10 cupcakes,10,218,15g,3g,112mg,195mg,17g,2g,5g,46mg,4.6,46,15 mins,20 mins,40 mins,,47mg,1mg,,5 mins,,
42,6737517,Chocolate Surprise Cupcakes,24 ,24 cupcakes,24,265,12g,5g,18mg,259mg,39g,1g,3g,85mg,4.5,469,30 mins,25 mins,55 mins,25g,16mg,1mg,,,,
43,6650864,Chocolate Beer Cupcakes With Whiskey Filling And Irish Cream Icing,24 ,2 dozen cupcakes,24,387,20g,13g,61mg,253mg,49g,2g,3g,112mg,4.8,167,30 mins,20 mins, 1 hr 35 mins,37g,23mg,1mg,0mg,45 mins,,
44,6737418,Pumpkin Ginger Cupcakes,24 ,24 cupcakes,24,211,9g,5g,51mg,303mg,32g,1g,2g,77mg,4.8,973,20 mins,20 mins,50 mins,21g,26mg,1mg,1mg,10 mins,,
45,6581091,Toasted Marshmallow Cupcakes,12 ,12 cupcakes,12,263,8g,5g,48mg,263mg,47g,2g,4g,134mg,4.7,20,20 mins,15 mins,40 mins,30g,50mg,2mg,,5 mins,,
46,6606084,Really Real Strawberry Cupcakes,20 ,20 cupcakes,20,145,6g,3g,41mg,125mg,22g,0g,2g,34mg,4.3,57,30 mins,20 mins,50 mins,14g,36mg,1mg,,,,
47,6737377,Christmas Reindeer Cupcakes,12 ,12 cupcakes,12,427,14g,7g,57mg,815mg,77g,2g,6g,106mg,5.0,6, 1 hr,20 mins, 2 hrs 25 mins,36g,86mg,2mg,, 1 hr 5 mins,,
48,6604185,Mini Christmas Cakes,24 ,24 mini cakes,24,422,14g,6g,46mg,58mg,67g,3g,5g,388mg,,, 1 hr 10 mins, 1 hr 30 mins,12 days 11 hrs 10 mins,42g,78mg,2mg,3mg,12 days 8 hrs 30 mins,,
49,6589914,Cherry Cheesecake Cupcakes,24 ,24 cupcakes,24,182,12g,7g,49mg,152mg,18g,0g,2g,39mg,4.1,22,15 mins,10 mins,55 mins,9g,8mg,0mg,1mg,30 mins,,
50,6575203,Brownie Cheesecake Cupcakes,12 ,12 cupcakes,12,435,29g,9g,59mg,218mg,43g,1g,4g,131mg,4.4,21,20 mins,20 mins,40 mins,9g,29mg,1mg,0mg,,,
51,6739385,Dark Chocolate Bacon Cupcakes,24 ,24 cupcakes,24,185,8g,2g,21mg,285mg,27g,1g,4g,108mg,4.3,276,15 mins,25 mins,40 mins,17g,32mg,2mg,0mg,,,
52,6585915,Peanut Butter Cupcakes,24 ,24 cupcakes,24,209,11g,3g,17mg,118mg,25g,1g,5g,170mg,4.2,372,10 mins,15 mins,35 mins,14g,37mg,1mg,,10 mins,,
53,6599435,Vanilla Cupcakes with Swiss Meringue Buttercream,24 ,24 cupcakes,24,407,28g,18g,103mg,144mg,36g,0g,4g,68mg,4.3,44,25 mins,15 mins, 1 hr 5 mins,,47mg,1mg,,25 mins,,
54,6596703,Vanilla Cupcakes from Scratch,24 ,,24,154,6g,3g,31mg,183mg,23g,0g,3g,43mg,4.3,4,10 mins,20 mins,35 mins,13g,61mg,1mg,,5 mins,,
55,6739128,Easy Halloween Mummy Cupcakes,24 ,24 cupcakes,24,361,19g,8g,28mg,205mg,48g,2g,4g,233mg,4.8,4,30 mins,18 mins, 2 hrs 3 mins,39g,35mg,2mg,, 1 hr 15 mins,,
56,6578315,Oreo Mini Cheesecakes,24 ,,24,134,9g,5g,36mg,109mg,12g,0g,3g,47mg,4.6,21,10 mins,15 mins, 3 hrs 25 mins,8g,19mg,1mg,, 3 hrs,,
57,6573302,Molten Chocolate Cakes with Sugar-Coated Raspberries,8 ,,8,494,35g,21g,177mg,210mg,46g,3g,6g,185mg,4.6,751,15 mins,10 mins,25 mins,42g,38mg,2mg,5mg,,,
58,6738269,Lemon Cupcake with Blackberry Buttercream,24 ,2 dozen cupcakes,24,272,12g,8g,46mg,151mg,41g,0g,2g,34mg,4.5,305,30 mins,20 mins, 1 hr 20 mins,33g,36mg,1mg,4mg,30 mins,,
59,6583629,King Cake Cupcakes,12 ,12 cupcakes,12,317,11g,7g,31mg,201mg,53g,0g,3g,57mg,4.6,14,30 mins,15 mins, 1 hr 20 mins,44g,40mg,1mg,1mg,35 mins,,
