,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Dietary Fiber,Total Sugars
46,6587219,Salted Cashew Sweet Potato Fudge,10 mins,, 2 hrs, 2 hrs 10 mins,16 ,16 small squares,16,165,11g,5g,6mg,206mg,16g,3g,,63mg,0mg,33mg,4.7,9,0g,12g
47,6568958,Best Ever Fudge,,,,,24 ,1 - 11x16 inch jelly roll pan,24,346,21g,11g,24mg,65mg,43g,3g,0mg,20mg,1mg,144mg,4.2,40,2g,38g
48,6594708,Mocha Fudge,5 mins,20 mins,,25 mins,64 ,64 pieces,64,70,3g,1g,2mg,6mg,12g,0g,,6mg,0mg,24mg,3.7,15,0g,11g
49,6570274,Candy Bar Fudge,20 mins,10 mins, 2 hrs, 2 hrs 30 mins,32 ,2 3/4 pounds,32,205,10g,4g,9mg,124mg,28g,3g,,28mg,0mg,110mg,4.6,76,1g,25g
50,6593404,Orange Flavored Fudge,5 mins,11 mins, 2 hrs, 2 hrs 16 mins,36 ,3 dozen pieces,36,115,6g,3g,8mg,27mg,14g,1g,0mg,15mg,0mg,42mg,3.8,8,1g,13g
51,6591345,Creamy Orange Fudge,10 mins,,10 mins,20 mins,12 ,1 - 8x8 inch dish,12,785,37g,23g,57mg,179mg,108g,7g,0mg,181mg,1mg,262mg,4.4,45,0g,106g
52,6571957,Black Bottom Butterscotch Fudge,10 mins,20 mins, 2 hrs 30 mins, 3 hrs,36 ,1 9-inch square pan,36,280,13g,9g,15mg,67mg,40g,2g,0mg,43mg,0mg,119mg,4.5,2,0g,29g
53,6562769,Slow Cooker Peanut Butter Fudge,10 mins,50 mins, 2 hrs, 3 hrs,24 ,24 servings,24,161,8g,4g,11mg,65mg,21g,3g,0mg,70mg,0mg,85mg,,,0g,19g
54,6586127,Avocado Irish Cream Fudge,10 mins,10 mins, 1 hr, 1 hr 20 mins,28 ,28 servings,28,248,10g,5g,9mg,31mg,41g,2g,1mg,23mg,1mg,198mg,4.2,17,4g,35g
55,6582378,Candy-Bar Fudge,15 mins,15 mins, 1 hr 10 mins, 1 hr 40 mins,84 ,4 pounds,84,93,4g,2g,6mg,27mg,14g,1g,0mg,11mg,0mg,35mg,4.3,6,0g,13g
56,6595372,Chocolate Chip Cookie Dough Fudge,25 mins,, 1 hr, 1 hr 25 mins,24 ,48 pieces,24,207,8g,4g,10mg,60mg,33g,2g,,17mg,1mg,57mg,4.0,15,1g,29g
57,6594268,Sunday School Fudge,,,,,18 ,3 dozen,18,71,4g,2g,5mg,15mg,10g,1g,,7mg,1mg,40mg,4.0,4,1g,7g
58,6594974,Peanut Choc-Scotch Fudge,10 mins,15 mins,20 mins,45 mins,24 ,1 - 9x13 inch dish,24,300,14g,8g,16mg,96mg,42g,3g,,17mg,0mg,105mg,4.5,25,1g,38g
59,6575751,Holiday Fudge Bites,15 mins,, 2 hrs, 2 hrs 15 mins,24 ,2 dozen candies,24,165,7g,4g,9mg,94mg,26g,1g,,8mg,0mg,11mg,4.0,4,1g,23g
60,6583474,Mom's Christmas Fudge,15 mins,5 mins, 2 hrs, 2 hrs 20 mins,24 ,24 fudge pieces,24,134,7g,3g,6mg,47mg,17g,3g,0mg,52mg,1mg,134mg,3.0,3,1g,15g
61,6664628,Chocolate Fudge Buttercream Frosting,,,,,16 ,3 cups,16,218,12g,6g,15mg,95mg,29g,1g,,28mg,0mg,78mg,4.7,634,1g,24g
