,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Total Sugars,Vitamin C,Calcium,Iron,Yield:,Additional Time:
29,6590610,30 mins,45 mins, 1 hr 15 mins,6 ,6,447,13g,6g,60mg,910mg,59g,9g,27g,1293mg,3.4,18,8g,49mg,145mg,4mg,6 servings,
30,6566704,15 mins,25 mins,40 mins,4 ,4,414,27g,12g,248mg,1157mg,18g,2g,25g,470mg,4.0,1,3g,17mg,238mg,4mg,,
31,6597741,10 mins,19 mins,29 mins,4 ,4,274,17g,7g,218mg,578mg,13g,1g,16g,112mg,4.6,14,1g,9mg,82mg,1mg,4 servings,
32,6601667,20 mins, 3 hrs 30 mins, 3 hrs 50 mins,6 ,6,424,22g,8g,102mg,1260mg,33g,9g,23g,1077mg,4.4,36,11g,83mg,130mg,4mg,,
33,6569890,15 mins, 4 hrs, 4 hrs 15 mins,10 ,10,672,24g,8g,117mg,1438mg,87g,11g,31g,2209mg,4.5,207,28g,78mg,125mg,6mg,2 briskets,
34,6595548,25 mins, 8 hrs, 8 hrs 35 mins,6 ,6,372,17g,7g,75mg,1277mg,38g,5g,17g,355mg,5.0,3,4g,22mg,53mg,2mg,6 servings,10 mins
35,6596393,20 mins, 2 hrs 30 mins, 2 hrs 50 mins,6 ,6,461,25g,7g,97mg,1757mg,34g,3g,25g,351mg,4.7,16,4g,28mg,71mg,4mg,6 sandwiches,
36,6582426,15 mins, 4 hrs, 4 hrs 15 mins,8 ,8,482,34g,10g,134mg,1680mg,17g,5g,28g,574mg,4.6,217,10g,72mg,94mg,3mg,,
37,6600628,15 mins,25 mins,40 mins,2 ,2,537,28g,9g,280mg,1253mg,43g,5g,29g,1377mg,5.0,1,5g,53mg,71mg,5mg,2 servings,
38,6585878,25 mins,35 mins, 1 hr,8 ,8,207,15g,7g,44mg,698mg,6g,1g,12g,133mg,4.5,121,4g,3mg,224mg,1mg,,
39,6664279,40 mins, 4 hrs 50 mins, 5 hrs 40 mins,8 ,8,664,35g,16g,144mg,1330mg,59g,10g,31g,1725mg,5.0,32,9g,74mg,245mg,5mg,8 servings,10 mins
40,6593233,20 mins, 3 hrs, 3 hrs 30 mins,6 ,6,577,20g,7g,97mg,1290mg,74g,11g,28g,1624mg,4.6,16,38g,103mg,177mg,5mg,6 servings,10 mins
41,6602063,15 mins,10 mins,25 mins,8 ,8,433,20g,4g,27mg,867mg,49g,3g,14g,444mg,4.6,34,6g,22mg,236mg,3mg,8 tacos,
42,6583686,10 mins,15 mins,25 mins,8 ,8,114,6g,2g,13mg,320mg,10g,1g,5g,205mg,4.3,52,1g,6mg,15mg,1mg,,
43,6603008,20 mins, 1 hr, 1 hr 20 mins,8 ,8,363,19g,9g,81mg,946mg,24g,4g,20g,538mg,3.9,8,3g,23mg,208mg,3mg,8 servings,
44,6596689,15 mins,25 mins,40 mins,12 ,12,638,44g,18g,115mg,1545mg,28g,3g,33g,265mg,4.5,93,9g,6mg,467mg,3mg,,
45,6561880,20 mins, 7 hrs 5 mins, 7 hrs 35 mins,6 ,6,617,39g,15g,139mg,2101mg,31g,4g,32g,390mg,5.0,1,8g,12mg,356mg,4mg,6 sandwiches,10 mins
46,6563506,10 mins, 5 hrs,2 days 5 hrs 50 mins,10 ,10,228,16g,5g,80mg,923mg,5g,2g,16g,164mg,,,2g,1mg,37mg,2mg,10 servings,2 days 40 mins
47,6580349,10 mins, 2 hrs, 2 hrs 10 mins,10 ,10,163,11g,4g,58mg,676mg,4g,,11g,91mg,3.8,5,4g,,8mg,1mg,10 servings,
48,6586565,20 mins,25 mins,55 mins,8 ,8,347,24g,11g,134mg,666mg,19g,1g,14g,232mg,5.0,4,2g,4mg,139mg,2mg,1 9-inch quiche,10 mins
49,6592219,25 mins,25 mins,50 mins,8 ,8,524,34g,17g,95mg,191mg,38g,7g,20g,1241mg,4.5,39,8g,70mg,136mg,3mg,,
50,6562263,25 mins,45 mins, 1 hr 10 mins,8 ,8,577,15g,6g,72mg,1390mg,80g,11g,33g,1752mg,3.0,1,12g,100mg,131mg,8mg,8 servings,
51,6565266,10 mins, 7 hrs, 7 hrs 10 mins,8 ,8,223,15g,5g,73mg,1743mg,7g,3g,15g,348mg,4.5,2,3g,18mg,53mg,3mg,8 servings,
52,6591083,5 mins,,3 days 5 mins,100 ,100,357,30g,12g,83mg,1051mg,1g,,19g,284mg,4.5,2,1g,,10mg,2mg,25 pounds of corned beef,3 days
53,6588128,50 mins, 5 hrs 5 mins,4 days 7 hrs 55 mins,12 ,12,464,26g,10g,78mg,14363mg,28g,1g,21g,387mg,4.5,4,18g,6mg,52mg,2mg,12 servings,4 days 2 hrs
54,6591218,25 mins, 7 hrs 30 mins, 7 hrs 55 mins,8 ,8,608,37g,12g,130mg,2918mg,30g,7g,39g,1543mg,4.4,21,7g,124mg,116mg,5mg,8 servings,
55,6582763,5 mins, 8 hrs, 8 hrs 5 mins,6 ,6,269,10g,3g,49mg,585mg,33g,5g,13g,998mg,4.0,1,4g,38mg,49mg,3mg,6 servings,
56,6575251,10 mins,25 mins,35 mins,4 ,4,563,31g,9g,193mg,1373mg,43g,5g,28g,1406mg,4.0,1,3g,23mg,47mg,5mg,4 servings,
57,6580380,10 mins, 4 hrs, 6 hrs 5 mins,8 ,8,617,39g,9g,84mg,2130mg,51g,9g,22g,749mg,4.0,1,17g,113mg,205mg,7mg,8 sandwiches, 1 hr 55 mins
