,id_recipe,name,Prep Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Freeze Time:,Chill Time:,Yield:,Cool Time:,Process Time:
41,6569802,Chocolate Frosty,5 mins, 2 hrs, 2 hrs 5 mins,12 ,12,228,9g,7g,18mg,101mg,32g,1g,30g,5g,1mg,185mg,0mg,265mg,4.7,13,,,,12 servings,,
42,6590308,Vanilla Cherry Ice Cream, 3 hrs 15 mins, 2 hrs, 5 hrs 15 mins,8 ,8,325,23g,14g,84mg,35mg,28g,1g,26g,3g,3mg,80mg,0mg,174mg,4.6,87,,,,4 cups,,
43,6570152,Keto Ice Cream,10 mins, 3 hrs, 3 hrs 10 mins,3 ,3,291,29g,18g,109mg,92mg,3g,1g,0g,2g,1mg,66mg,,62mg,4.8,8,,,,,,
44,6737091,Chef John's Strawberry Ice Cream,10 mins, 2 hrs 45 mins, 2 hrs 55 mins,12 ,12,205,15g,9g,56mg,40mg,17g,1g,15g,2g,17mg,54mg,0mg,104mg,4.7,137,,,,12 servings,,
45,6586119,Irish Cream Ice Cream,15 mins, 4 hrs, 4 hrs 15 mins,16 ,16,223,15g,9g,52mg,26mg,19g,,16g,2g,1mg,57mg,0mg,72mg,4.9,32,,,,2 quarts,,
46,6574008,Easy Snow Ice Cream,10 mins,,10 mins,6 ,6,310,6g,4g,22mg,103mg,61g,,61g,5g,2mg,206mg,0mg,251mg,4.1,7,,,,6 servings,,
47,6578624,Amaretto Ice Cream,10 mins, 2 hrs 20 mins, 2 hrs 30 mins,12 ,12,237,17g,11g,62mg,24mg,18g,,16g,1g,0mg,47mg,,58mg,4.4,7,,,,12 servings,,
48,6582832,Black Walnut Ice Cream,10 mins, 1 hr, 1 hr 10 mins,8 ,8,253,20g,10g,51mg,37mg,17g,1g,13g,4g,1mg,94mg,0mg,153mg,4.6,11,,,,1 quart,,
49,6741830,Easy Malai Kulfi,5 mins, 1 hr, 1 hr 25 mins,6 ,6,194,9g,4g,22mg,108mg,23g,1g,21g,7g,1mg,220mg,0mg,342mg,4.8,9,20 mins,,,3 cups,,
50,6589408,Caramel Apple Ice Cream,30 mins, 3 hrs, 3 hrs 45 mins,12 ,12,241,9g,6g,28mg,85mg,20g,1g,17g,2g,1mg,35mg,0mg,63mg,4.7,7,15 mins,,,,,
51,6577566,Lavender Ice Cream,30 mins, 3 hrs 45 mins, 4 hrs 30 mins,4 ,4,698,54g,33g,278mg,181mg,53g,0g,47g,8g,2mg,158mg,1mg,231mg,4.6,5,15 mins,,,,,
52,6589902,Fresh Lavender Ice Cream,10 mins, 6 hrs 20 mins, 6 hrs 50 mins,12 ,12,368,26g,16g,223mg,53mg,30g,,28g,5g,1mg,125mg,0mg,149mg,4.7,15,20 mins,,,,,
53,6736360,Guinness Ice Cream,30 mins, 4 hrs, 5 hrs,8 ,8,376,27g,16g,240mg,47mg,31g,,29g,5g,0mg,107mg,0mg,124mg,4.4,12,30 mins,,,1 quart,,
54,6579094,Snow Cream,5 mins,,5 mins,6 ,6,216,6g,4g,22mg,93mg,36g,,36g,5g,2mg,196mg,0mg,249mg,4.8,4,,,,6 servings,,
55,6589979,Cake Batter Ice Cream,5 mins, 4 hrs, 4 hrs 15 mins,6 ,6,378,32g,19g,180mg,50mg,21g,,19g,4g,1mg,107mg,0mg,128mg,4.6,148,10 mins,,,,,
56,6584741,White Chocolate and Raspberry Ice Cream,10 mins, 3 hrs, 3 hrs 30 mins,12 ,12,344,24g,14g,146mg,60mg,29g,1g,27g,4g,5mg,115mg,1mg,67mg,5.0,8,20 mins,,,,,
57,6579338,Snow Ice Cream I,15 mins,,15 mins,4 ,4,312,10g,5g,120mg,165mg,47g,,47g,10g,2mg,290mg,1mg,333mg,4.6,43,,,,4 servings,,
58,6605172,Chocolate Snow Ice Cream,15 mins,,15 mins,8 ,8,102,2g,1g,5mg,41mg,20g,1g,19g,3g,0mg,90mg,0mg,170mg,4.9,8,,,,,,
59,6604665,Banana Pudding Ice Cream,10 mins, 2 hrs, 2 hrs 20 mins,10 ,10,332,18g,9g,83mg,96mg,41g,1g,24g,4g,3mg,74mg,1mg,198mg,4.8,18,10 mins,,,,,
60,6600400,Eggless Chocolate Gelato,15 mins, 1 hr 45 mins, 2 hrs 15 mins,8 ,8,251,16g,10g,10mg,112mg,20g,4g,11g,6g,0mg,129mg,4mg,327mg,5.0,2,15 mins,,,,,
