,id_recipe,Prep Time:,Cook Time:,Refrigerate Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Yield:,Additional Time:,Cool Time:
51,6572450,15 mins,10 mins,,25 mins,36 ,36,186,10g,5g,24mg,165mg,23g,1g,13g,3g,1mg,23mg,1mg,88mg,4.7,26,,6 dozen,,
52,6602599,45 mins,10 mins,,55 mins,60 ,60,112,7g,3g,14mg,95mg,13g,1g,8g,2g,,13mg,1mg,69mg,4.7,42,,60 cookies,,
53,6571627,15 mins,10 mins,,25 mins,36 ,36,167,8g,2g,10mg,114mg,23g,1g,15g,2g,,15mg,1mg,46mg,4.7,795,,3 dozen,,
54,6602087,15 mins,10 mins,,25 mins,36 ,36,141,7g,4g,10mg,58mg,19g,1g,,2g,,12mg,1mg,64mg,4.2,282,,3 dozen,,
55,6575167,15 mins,25 mins,,40 mins,24 ,24,210,9g,1g,0mg,208mg,32g,1g,18g,2g,0mg,36mg,1mg,51mg,4.4,393,,1 9x13-inch pan,,
56,6597913,30 mins,10 mins,, 1 hr 10 mins,60 ,60,135,7g,3g,14mg,97mg,19g,1g,12g,2g,0mg,14mg,1mg,61mg,4.4,194,,5 dozen,30 mins,
57,6588719,15 mins,10 mins,,55 mins,48 ,48,44,2g,1g,9mg,55mg,6g,0g,4g,0g,,11mg,0mg,9mg,4.5,134,,4 dozen,30 mins,
58,6570321,15 mins,10 mins,,55 mins,48 ,48,118,7g,4g,17mg,84mg,14g,1g,7g,1g,,8mg,0mg,38mg,4.8,53,,4 dozen cookies,30 mins,
59,6579426,15 mins,10 mins,,25 mins,36 ,36,136,6g,3g,24mg,76mg,18g,1g,9g,2g,0mg,11mg,1mg,78mg,4.4,71,,36 cookies,,
60,6588365,15 mins,10 mins,,30 mins,60 ,60,116,6g,2g,8mg,47mg,16g,1g,10g,1g,,12mg,1mg,34mg,4.8,48,,5 dozen,5 mins,
61,6603444,15 mins,10 mins,,25 mins,42 ,42,114,6g,3g,21mg,61mg,14g,1g,7g,2g,,16mg,1mg,37mg,4.5,68,,3 1/2 dozen,,
62,6593165,10 mins,,,30 mins,24 ,24,116,6g,3g,14mg,37mg,16g,1g,11g,1g,,6mg,0mg,37mg,4.0,79,,24 cookies,20 mins,
