,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:
28,6592184,Butterscotch Monkey Bread,10 mins,20 mins, 8 hrs, 8 hrs 30 mins,12 ,12,369,13g,3g,4mg,530mg,56g,2g,20g,9g,0mg,161mg,3mg,142mg,4.3,21,,1 tube pan
29,6569318,Caramel Apple Monkey Bread,15 mins,20 mins,,35 mins,10 ,10,260,7g,3g,12mg,290mg,46g,2g,25g,5g,1mg,14mg,2mg,40mg,5.0,5,,1 monkey bread Bundt(R)
30,6593624,Caramel Pull Aparts,10 mins,25 mins,,35 mins,20 ,20,222,12g,3g,7mg,438mg,26g,1g,10g,3g,0mg,34mg,1mg,102mg,4.3,3,,1 loaf
31,6589008,Pineapple Upside Down Monkey Bread,10 mins,40 mins,5 mins,55 mins,6 ,6,883,43g,20g,63mg,1666mg,116g,1g,61g,10g,4mg,119mg,4mg,349mg,4.2,11,,1 tube pan
32,6604170,Monkey Bread Kabobs,20 mins,15 mins,20 mins,55 mins,20 ,20,250,9g,4g,13mg,355mg,41g,1g,26g,2g,,32mg,1mg,86mg,4.9,18,,20 kabobs
33,6566960,Kid-Friendly Monkey Bread,15 mins,45 mins,, 1 hr,14 ,14,300,11g,4g,7mg,617mg,48g,1g,26g,4g,,37mg,2mg,101mg,,,,14 servings
34,6566002,Cinnamon-Sugar Monkey Bread,20 mins,25 mins, 1 hr 10 mins, 1 hr 55 mins,14 ,14,367,10g,1g,,254mg,66g,2g,31g,5g,,19mg,2mg,86mg,5.0,1,,14 servings
35,6741828,Chai Spice Monkey Bread,15 mins,30 mins,15 mins, 1 hr,12 ,12,493,23g,9g,22mg,1197mg,64g,1g,23g,8g,0mg,71mg,3mg,202mg,5.0,1,,12 servings
36,6580290,Cliffany's Monkey Bread,15 mins,35 mins,5 mins,55 mins,12 ,12,433,21g,5g,1mg,843mg,58g,1g,31g,5g,0mg,64mg,2mg,141mg,5.0,1,,12 servings
37,6573540,Double Chocolate Banana Monkey Bread,30 mins,18 mins,10 mins,58 mins,12 ,12,396,17g,9g,27mg,569mg,60g,2g,41g,3g,1mg,53mg,2mg,174mg,5.0,1,,12 servings
38,6567893,Banana-Monkey Bread,20 mins, 1 hr,10 mins, 1 hr 30 mins,8 ,8,435,21g,3g,1mg,305mg,59g,2g,29g,4g,4mg,79mg,2mg,281mg,,,,1 loaf
39,6561993,Garlic Monkey Bread,10 mins,30 mins, 1 hr, 1 hr 40 mins,16 ,16,107,4g,2g,11mg,181mg,14g,1g,1g,3g,0mg,2mg,1mg,5mg,,,,16 servings
40,6741609,Peach Monkey Bread,20 mins,10 mins,,30 mins,6 ,6,752,52g,11g,23mg,413mg,67g,6g,26g,11g,7mg,239mg,4mg,416mg,4.0,1,,6 servings
41,6602965,Easy Maple Bacon Monkey Bread,15 mins,58 mins,10 mins, 1 hr 23 mins,16 ,16,339,14g,6g,16mg,629mg,51g,1g,30g,4g,,51mg,2mg,132mg,,,,16 servings
