,id_recipe,name,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron
25,6648791,Tiramisu Truffles,15 mins,, 2 hrs, 2 hrs 15 mins,24 ,24 truffles,24,74,5g,3g,25mg,14mg,7g,0g,2g,22mg,3.3,3,,,,,
26,6604339,Hot Chocolate Truffles,30 mins,,, 2 hrs,20 ,20 servings,20,133,6g,3g,5mg,74mg,18g,0g,1g,,5.0,2, 1 hr 30 mins,10g,,25mg,
27,6650286,Twilight Dark Chocolate Truffles,5 mins,10 mins,, 1 hr 35 mins,45 ,45 truffles,45,87,7g,4g,9mg,6mg,7g,1g,1g,29mg,4.8,34, 1 hr 20 mins,5g,,6mg,1mg
28,6604163,Carnation Breakfast Truffles,10 mins,,,10 mins,8 ,8 truffles,8,85,6g,1g,2mg,56mg,7g,1g,3g,61mg,5.0,6,,2g,,6mg,0mg
29,6578053,Brigadeiro Chocolate Delights,10 mins,15 mins,, 1 hr 25 mins,25 ,25 brigadeiros,25,97,4g,2g,8mg,21mg,15g,0g,2g,89mg,5.0,2, 1 hr,9g,0mg,47mg,0mg
30,6741637,Irish Cream Truffles,15 mins,10 mins,, 1 hr 25 mins,24 ,2 dozen truffles,24,152,11g,7g,19mg,20mg,15g,1g,1g,77mg,4.0,8, 1 hr,13g,0mg,13mg,1mg
31,6568182,Italian Capezzoli di Venere (Chocolate Truffles of Venus), 1 hr 30 mins,,, 2 hrs,60 ,60 truffles,60,99,5g,2g,5mg,14mg,12g,1g,1g,61mg,4.5,8,30 mins,8g,2mg,14mg,0mg
32,6595088,Peanut Butter Pie Balls,30 mins,5 mins,, 2 hrs 35 mins,50 ,50 pie balls,50,92,6g,3g,8mg,49mg,8g,0g,2g,45mg,1.0,1, 2 hrs,6g,,14mg,0mg
33,6594290,Oreo® Cheesecake Truffles,40 mins,,, 2 hrs 30 mins,48 ,48 truffles,48,109,6g,3g,7mg,62mg,13g,0g,1g,48mg,,, 1 hr 50 mins,,0mg,24mg,0mg
34,6595989,Pumpkin Chocolate Truffles,15 mins,,,45 mins,24 ,24 truffles,24,65,3g,1g,5mg,22mg,8g,1g,1g,39mg,5.0,1,30 mins,5g,0mg,8mg,0mg
35,6591885,Vegan Chocolate Truffles,10 mins,,, 1 hr 10 mins,60 ,5 dozen truffles,60,65,4g,2g,,15mg,10g,1g,1g,12mg,5.0,1, 1 hr,6g,,2mg,0mg
36,6588736,Raw Strawberry-Filled Chocolate Truffles,10 mins,,,35 mins,32 ,32 truffles,32,176,17g,14g,,29mg,9g,1g,1g,51mg,3.7,3,25 mins,6g,2mg,7mg,1mg
37,6600823,Sweet Sierra Truffles,30 mins,,, 1 hr 30 mins,200 ,200 truffles,200,47,2g,1g,3mg,7mg,7g,0g,0g,21mg,4.7,9, 1 hr,6g,,3mg,0mg
38,6593540,Dark Chocolate Mint Truffles,40 mins,5 mins,, 2 hrs 45 mins,42 ,42 truffles,42,120,7g,4g,6mg,67mg,15g,1g,1g,26mg,,, 2 hrs,8g,,9mg,1mg
39,6590185,No-Bake Cookie Dough Truffles,30 mins,,, 3 hrs 30 mins,50 ,50 servings,50,160,10g,5g,8mg,25mg,19g,1g,3g,138mg,4.0,7, 3 hrs,9g,0mg,36mg,1mg
40,6580756,Chocolate Truffles 4 Ways,40 mins,5 mins,, 1 hr 15 mins,12 ,12 truffles,12,186,13g,8g,21mg,38mg,18g,2g,3g,74mg,,,30 mins,12g,0mg,12mg,1mg
41,6587702,Pumpkin Pie-Spiced Chocolate Truffles,15 mins,5 mins,, 1 hr 25 mins,10 ,10 truffles,10,100,8g,5g,14mg,12mg,8g,1g,1g,14mg,,, 1 hr 5 mins,6g,0mg,13mg,1mg
42,6562558,White Chocolate-Cheesecake Truffles,40 mins,10 mins,, 1 hr 5 mins,36 ,3 dozen,36,123,5g,2g,3mg,73mg,18g,0g,1g,26mg,,,15 mins,5g,0mg,26mg,0mg
