,id_recipe,name,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Rest Time:,Marinate Time:,Active Time:,Additional Time:,Yield:,Stand Time:
45,6579974,The Perfect Sunday Brunch Spinach Salad,10 mins,10 mins,8 ,8,292,18g,2g,11mg,271mg,30g,4g,20g,5g,45mg,81mg,3mg,628mg,4.9,25,,,,,,8 servings,
46,6739780,Grilled Hearts of Romaine,10 mins,15 mins,6 ,6,88,8g,1g,2mg,35mg,4g,2g,2g,2g,24mg,54mg,1mg,257mg,4.7,48,5 mins,,,,,6 servings,
47,6570074,"Orange, Walnut, Gorgonzola and Mixed Greens Salad with Fresh Citrus Vinaigrette",15 mins,20 mins,6 ,6,368,30g,5g,8mg,128mg,23g,3g,17g,5g,51mg,98mg,1mg,316mg,4.7,251,5 mins,,,,,6 servings,
48,6573567,Strawberry and Feta Salad,15 mins,15 mins,10 ,10,378,34g,8g,22mg,301mg,12g,3g,8g,7g,29mg,181mg,1mg,252mg,4.8,454,,,,,,10 servings,
49,6586631,Wild Rocket (Arugula) and Parmesan Salad,20 mins,20 mins,4 ,4,54,3g,1g,4mg,106mg,4g,2g,2g,4g,13mg,179mg,1mg,299mg,4.7,21,,,,,,4 servings,
50,6595384,Kale and Quinoa Salad,5 mins,55 mins,6 ,6,439,27g,5g,17mg,397mg,44g,6g,18g,11g,44mg,191mg,5mg,632mg,4.7,270,15 mins,,,,35 mins,6 servings,
51,6577253,Dandelion Salad,10 mins,10 mins,4 ,4,43,1g,0g,,192mg,9g,3g,3g,2g,29mg,118mg,2mg,395mg,4.4,24,,,,,,4 servings,
52,6575059,Blue Cheese and Dried Cranberry Tossed Salad,20 mins,20 mins,6 ,6,258,20g,4g,8mg,520mg,19g,5g,10g,5g,36mg,115mg,2mg,475mg,4.5,47,,,,,,6 servings,
53,6567098,Tropical Salad with Pineapple Vinaigrette,20 mins,30 mins,6 ,6,255,22g,5g,10mg,324mg,11g,3g,6g,5g,27mg,37mg,1mg,293mg,4.5,245,10 mins,,,,,6 servings,
54,6739447,Harvest Salad,15 mins,15 mins,6 ,6,338,27g,5g,8mg,207mg,22g,5g,13g,7g,25mg,136mg,2mg,670mg,4.8,554,,,,,,6 servings,
55,6582758,Warm Shrimp Salad,10 mins,25 mins,3 ,3,460,26g,7g,250mg,566mg,29g,12g,9g,37g,90mg,218mg,7mg,1474mg,4.5,33,15 mins,,,,,2 to 4 servings,
56,6587513,Super Summer Kale Salad,20 mins, 4 hrs 20 mins,8 ,8,344,18g,3g,,239mg,42g,5g,26g,9g,78mg,149mg,3mg,593mg,4.9,206,,,,, 4 hrs,8 to 10 servings,
57,6569932,Arugula and Strawberry Salad with Feta Cheese,10 mins,10 mins,4 ,4,118,10g,2g,6mg,167mg,6g,1g,4g,2g,24mg,83mg,2mg,162mg,4.8,9,,,,,,4 servings,
58,6604698,Yummy Bok Choy Salad,20 mins,20 mins,4 ,4,458,34g,5g,,868mg,36g,4g,19g,6g,28mg,96mg,2mg,298mg,4.7,301,,,,,,4 servings,
59,6576463,Christmas Pomegranate Salad,10 mins,10 mins,2 ,2,259,17g,5g,17mg,447mg,22g,3g,11g,9g,17mg,181mg,2mg,547mg,4.9,7,,,,,,,
60,6574063,Classic Tossed Salad,20 mins,30 mins,12 ,12,204,16g,5g,19mg,639mg,9g,3g,4g,7g,14mg,187mg,2mg,271mg,4.7,165,10 mins,,,,,12 servings,
61,6604721,Steak Salad,30 mins,45 mins,5 ,5,496,36g,12g,100mg,836mg,10g,3g,4g,33g,46mg,169mg,4mg,854mg,4.5,301,15 mins,,,,,5 servings,
62,6573672,Strawberry Romaine Salad I,15 mins,15 mins,6 ,6,257,17g,3g,8mg,205mg,25g,6g,17g,6g,82mg,199mg,4mg,926mg,4.8,319,,,,,,6 servings,
