,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Stand Time:,Chill Time:,Roast Time:
43,6665771,Sautéed Leeks in Butter and White Wine,10 mins,7 mins,17 mins,6 ,6,101,6g,4g,15mg,16mg,11g,1g,,1g,,,,140mg,5.0,2,,,,,
44,6834563,Roasted Acorn Squash with Sriracha Butter,15 mins,35 mins,50 mins,4 ,4,192,15g,8g,31mg,403mg,16g,2g,,1g,,,,399mg,5.0,3,,,,,
45,6752518,Sour Cream Mashed Potatoes,20 mins,15 mins,35 mins,6 ,6,529,37g,23g,92mg,2242mg,46g,4g,,8g,,,,143mg,4.0,4,,,,,
46,6832253,Sweet Potato Wedges with Rosemary-Orange Brown Butter,5 mins,35 mins,40 mins,4 ,4,194,9g,4g,15mg,234mg,27g,4g,,2g,,,,445mg,5.0,1,,,,,
47,6832040,"Sautéed Apple, Onion, and Fennel",10 mins,15 mins,25 mins,4 ,4,84,4g,1g,,181mg,13g,5g,,2g,,,,512mg,4.0,2,,,,,
48,6831657,Mashed Butternut Squash with Blue Cheese and Pecans,10 mins,10 mins,20 mins,4 ,4,234,14g,3g,11mg,435mg,27g,7g,10g,6g,26mg,165mg,1mg,596mg,5.0,1,,,,,
49,6746762,Honey-Lemon Roasted Carrot Salad,15 mins,,45 mins,6 ,6,170,9g,1g,,199mg,24g,5g,,2g,,,,546mg,4.5,4,,,5 mins,,25 mins
50,6747982,Roasted Carrots with Garlic Bread Crumbs,5 mins,,40 mins,4 ,4,119,6g,4g,15mg,259mg,17g,3g,,2g,,,,345mg,4.3,3,,,,,35 mins
51,6753434,Broccoli Fritters,10 mins,10 mins,20 mins,4 ,4,269,16g,6g,111mg,200mg,21g,2g,,11g,,,,301mg,,,,,,,
52,6750952,Cauliflower Steaks,,,,4 ,4,194,14g,2g,,545mg,16g,7g,,6g,,,,882mg,4.6,5,,,,,
53,6829717,Creamed Leeks,15 mins,10 mins,25 mins,4 ,4,237,18g,11g,58mg,104mg,18g,2g,,3g,,,,236mg,,,,,,,
54,6829658,Air-Fryer Veggie Sticks,15 mins,18 mins,33 mins,4 ,4,97,6g,2g,6mg,203mg,8g,2g,,3g,,,,36mg,5.0,1,,,,,
55,6751944,TikTok Parmesan-Crusted Roasted Potatoes,20 mins,,45 mins,4 ,4,262,9g,6g,26mg,558mg,38g,4g,2g,8g,16mg,139mg,2mg,939mg,4.7,19,,,,,
56,6752589,Roasted Parsnips,10 mins,25 mins,35 mins,4 ,4,144,7g,1g,0mg,310mg,20g,4g,5g,2g,16mg,46mg,1mg,432mg,5.0,2,,,,,
57,6754998,Roasted Turnips and Carrots,10 mins,45 mins,55 mins,4 ,4,56,4g,1g,,411mg,6g,2g,,1g,,,,187mg,4.0,2,,,,,
58,6755021,Roasted Turnips,10 mins,25 mins,35 mins,4 ,4,108,7g,1g,,114mg,11g,3g,,2g,,,,327mg,5.0,1,,,,,
59,6827828,Roasted Fall Vegetables with Rosemary,20 mins,35 mins,55 mins,8 ,8,91,4g,1g,,146mg,15g,3g,,1g,,,,369mg,,,,,,,
60,6650804,Sweet Potato Crunch,15 mins, 1 hr 30 mins, 1 hr 45 mins,10 ,10,315,18g,9g,64mg,149mg,35g,4g,19g,4g,2mg,62mg,1mg,369mg,4.7,20,,,,,
61,6664922,Microwave Baked Potato,1 mins,11 mins,12 mins,1 ,1,368,20g,13g,54mg,203mg,39g,3g,,9g,12mg,168mg,2mg,929mg,4.2,396,1 serving,,,,
62,6664765,Basic Mashed Potatoes,15 mins,20 mins,35 mins,4 ,4,257,7g,5g,20mg,76mg,44g,4g,5g,6g,15mg,89mg,1mg,763mg,4.6,618,,,,,
