,id_recipe,Prep Time:,Cook Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Servings:,Yield:,Servings Per Recipe,Cool Time:,Additional Time:
45,6568149,15 mins,9 mins, 2 hrs 12 mins,95,5g,3g,17mg,33mg,13g,1g,10g,1g,,10mg,0mg,26mg,3.7,41,,36 ,3 dozen,36,, 1 hr 48 mins
46,6591748,15 mins,10 mins,25 mins,120,6g,4g,18mg,107mg,16g,1g,10g,1g,,9mg,1mg,43mg,4.5,"1,480",,48 ,3 to 4 - dozen,48,,
47,6736368,,,,274,15g,8g,36mg,252mg,34g,2g,21g,4g,,23mg,1mg,120mg,4.6,128,,24 ,4 dozen cookies,24,,
48,6575419,15 mins,10 mins,25 mins,109,6g,4g,,84mg,15g,1g,6g,1g,,15mg,0mg,18mg,4.6,24,,36 ,36 cookies,36,,
49,6603714,10 mins,10 mins,20 mins,281,16g,7g,36mg,250mg,32g,2g,18g,5g,,31mg,1mg,137mg,4.2,336,,24 ,4 dozen,24,,
50,6597578,20 mins,10 mins,30 mins,77,4g,1g,5mg,82mg,10g,0g,7g,1g,,6mg,0mg,28mg,4.3,9,,72 ,6 dozen cookies,72,,
51,6590228,,,,144,7g,4g,10mg,202mg,22g,1g,14g,1g,,38mg,0mg,57mg,4.5,212,,36 ,3 dozen,36,,
52,6575678,,,,290,15g,9g,27mg,213mg,38g,2g,22g,3g,0mg,24mg,2mg,145mg,4.6,549,,18 ,3 dozen,18,,
53,6605189,15 mins,20 mins, 1 hr 35 mins,758,39g,20g,80mg,322mg,101g,2g,80g,5g,,28mg,1mg,120mg,4.6,5,,10 ,1 9-inch cookie cake,10,, 1 hr
54,6585310,10 mins,10 mins,20 mins,162,12g,3g,18mg,108mg,11g,2g,7g,4g,,8mg,0mg,33mg,4.6,149,,14 ,14 cookies,14,,
55,6568599,,,,145,8g,3g,9mg,91mg,19g,1g,12g,2g,,11mg,1mg,58mg,4.4,66,,42 ,7 dozen,42,,
56,6739224,15 mins,10 mins, 2 hrs,112,7g,4g,21mg,40mg,14g,1g,11g,2g,,11mg,1mg,73mg,4.7,661,,36 ,3 dozen,36,, 1 hr 35 mins
57,6584591,15 mins,15 mins,35 mins,159,7g,4g,22mg,87mg,23g,2g,,3g,,14mg,1mg,75mg,5.0,4,,40 ,40 cookies,40,,5 mins
58,6587308,15 mins,15 mins,30 mins,551,30g,11g,43mg,400mg,63g,2g,41g,7g,,114mg,2mg,187mg,3.9,85,,12 ,2 dozen,12,,
59,6583961,25 mins,,25 mins,167,6g,2g,,133mg,29g,2g,17g,2g,,30mg,1mg,86mg,4.5,359,,18 ,3 dozen cookies,18,,
60,6648978,,,,233,12g,8g,36mg,175mg,31g,1g,20g,2g,,17mg,1mg,81mg,4.6,"1,360",,24 ,4 dozen,24,,
61,6564606,15 mins,10 mins, 1 hr 25 mins,344,16g,9g,42mg,310mg,48g,1g,34g,4g,,45mg,1mg,44mg,4.7,19,,12 ,12 cookies,12,, 1 hr
