,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Total Sugars,Vitamin C,Additional Time:
37,6577145,5 mins,36 mins,41 mins,8 ,8,26,0g,0g,1mg,370mg,5g,0g,1g,21mg,0mg,20mg,5.0,2,2 cups,1g,1mg,
38,6562060,5 mins,15 mins,20 mins,16 ,16,52,4g,1g,1mg,169mg,4g,0g,1g,3mg,0mg,11mg,4.8,12,4 cups,0g,0mg,
39,6567850,5 mins,10 mins,15 mins,6 ,6,73,6g,4g,15mg,620mg,4g,0g,1g,9mg,0mg,58mg,4.5,2,2 1/4 cups,0g,0mg,
40,6561405,10 mins,20 mins,30 mins,2 ,2,76,1g,1g,25mg,300mg,6g,0g,10g,7mg,1mg,63mg,4.6,42,2 cups,,0mg,
41,6567493,10 mins,10 mins,30 mins,6 ,6,170,14g,2g,,420mg,10g,1g,2g,19mg,1mg,70mg,3.3,7,6 servings,1g,2mg,10 mins
42,6574437,10 mins, 2 hrs 15 mins, 2 hrs 25 mins,16 ,16,110,8g,3g,52mg,451mg,4g,0g,4g,5mg,1mg,67mg,5.0,3,16 servings,1g,3mg,
43,6562133,15 mins,45 mins, 1 hr,10 ,10,163,11g,4g,18mg,650mg,9g,2g,5g,63mg,4mg,396mg,4.6,28,10 servings,7g,16mg,
44,6567300,10 mins,10 mins,20 mins,16 ,16,32,2g,1g,5mg,46mg,2g,0g,1g,7mg,0mg,86mg,4.2,6,2 cups,0g,1mg,
45,6581900,10 mins,15 mins,25 mins,16 ,16,239,26g,8g,26mg,70mg,2g,0g,0g,0mg,0mg,2mg,4.9,22,,0g,,
46,6578353,5 mins,5 mins,10 mins,8 ,8,20,0g,0g,4mg,199mg,2g,,2g,5mg,0mg,41mg,4.4,91,2 cups,,,
47,6591000,35 mins, 1 hr 10 mins, 1 hr 55 mins,24 ,24,328,18g,8g,100mg,1201mg,26g,1g,14g,88mg,2mg,143mg,4.9,22,,,1mg,10 mins
48,6566525,5 mins,10 mins,15 mins,8 ,8,86,8g,3g,7mg,96mg,4g,1g,1g,6mg,0mg,110mg,4.6,52,2 cups,1g,2mg,
49,6597586,15 mins,20 mins,35 mins,4 ,4,700,60g,25g,118mg,1389mg,20g,1g,20g,197mg,2mg,585mg,4.7,243,4 servings,8g,33mg,
50,6565394,25 mins,5 mins,30 mins,8 ,8,547,47g,17g,82mg,782mg,13g,0g,17g,94mg,2mg,336mg,4.1,33,,3g,2mg,
51,6566407,5 mins,15 mins,20 mins,24 ,24,8,0g,0g,0mg,252mg,1g,0g,0g,3mg,0mg,8mg,4.3,234,6 cups,,,
52,6565269,5 mins,15 mins,20 mins,10 ,10,98,4g,1g,1mg,415mg,8g,0g,1g,12mg,1mg,79mg,3.3,17,3 cups,3g,,
53,6571186,30 mins, 2 hrs 30 mins, 3 hrs,18 ,18,111,5g,2g,26mg,250mg,5g,1g,8g,18mg,1mg,138mg,4.6,96,6 cups,1g,1mg,
54,6596583,30 mins, 3 hrs 15 mins,3 days 3 hrs 45 mins,24 ,24,796,34g,11g,261mg,4792mg,29g,2g,88g,136mg,7mg,1201mg,4.9,7,1 roast turkey with gravy,21g,6mg,3 days
55,6739007,15 mins,15 mins,30 mins,6 ,6,79,7g,2g,7mg,148mg,4g,1g,1g,8mg,0mg,82mg,4.6,120,,,7mg,
56,6567812,10 mins,20 mins,30 mins,4 ,4,671,56g,20g,97mg,919mg,19g,0g,22g,309mg,2mg,609mg,4.7,412,4 servings,12g,3mg,
57,6563756,10 mins,25 mins,35 mins,18 ,18,531,57g,17g,58mg,1mg,2g,0g,0g,5mg,0mg,16mg,4.3,20,6 cups,0g,0mg,
58,6562436,5 mins,10 mins,15 mins,15 ,15,39,1g,0g,28mg,276mg,3g,0g,2g,2mg,1mg,29mg,4.5,37,15 1/4-cup servings,0g,1mg,
