,id_recipe,name,Prep Time:,Cook Time:,Rise Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Stand Time:,Bake Time:,Active Time:,Fry Time:,Cool Time:,Freeze Time:
10,6752540,Gingerbread Cinnamon Rolls,45 mins,, 2 hrs 25 mins, 3 hrs 50 mins,12 ,,12,530,24g,15g,77mg,370mg,73g,2g,,7g,,,,219mg,1.0,1,,,25 mins,,,15 mins,
11,6649875,Best Monkey Bread,15 mins,40 mins,, 1 hr 5 mins,15 ,1 tube pan,15,378,15g,3g,1mg,746mg,57g,1g,,5g,,52mg,2mg,133mg,4.7,"2,235",10 mins,,,,,,
12,6649341,Quick Cinnamon Rolls,20 mins,20 mins,,40 mins,18 ,18 cinnamon rolls,18,223,10g,6g,37mg,262mg,32g,1g,20g,3g,,62mg,1mg,54mg,3.9,516,,,,,,,
13,7484640,Choux Pastry,5 mins,10 mins,,15 mins,10 ,10 profiteroles,10,78,6g,3g,49mg,65mg,5g,0g,0g,2g,0mg,8mg,0mg,22mg,5.0,1,,,,,,,
14,6578547,Pain au Chocolat (Chocolate Croissants),45 mins,15 mins,, 4 hrs,9 ,9 croissants,9,1326,78g,47g,101mg,337mg,153g,6g,118g,16g,0mg,287mg,3mg,80mg,4.7,17, 3 hrs,,,,,,
15,6891180,"""Thousand Layer"" Chocolate Brioche",45 mins,, 3 hrs, 5 hrs 40 mins,8 ,8 pastries,8,521,22g,12g,134mg,269mg,71g,3g,,12g,,,,206mg,4.3,4,,10 mins,25 mins,,,20 mins, 1 hr
16,6649943,Air Fryer Cherry Cream Cheese Croissants,10 mins,5 mins,,15 mins,8 ,8 croissants,8,227,16g,8g,31mg,307mg,16g,1g,,5g,,,,85mg,4.6,5,,,,,,,
17,6648710,Clone of a Cinnabon,20 mins,15 mins,, 3 hrs,12 ,12 rolls,12,502,19g,9g,64mg,388mg,77g,2g,43g,8g,0mg,76mg,3mg,148mg,4.8,"7,927", 2 hrs 25 mins,,,,,,
18,6663838,Ooey-Gooey Cinnamon Buns,35 mins,25 mins,, 3 hrs 10 mins,15 ,15 buns,15,392,22g,11g,66mg,282mg,45g,2g,19g,6g,0mg,45mg,2mg,122mg,4.7,"1,421", 2 hrs 10 mins,,,,,,
19,6737520,Baked Apple Cider Donuts,15 mins,20 mins,,45 mins,12 ,12 donuts,12,276,7g,4g,32mg,168mg,52g,1g,35g,3g,8mg,53mg,1mg,80mg,4.5,38,10 mins,,,,,,
20,6579999,Best Cake Doughnuts,10 mins,15 mins,,25 mins,12 ,12 doughnuts,12,202,10g,3g,21mg,302mg,25g,1g,9g,3g,,65mg,1mg,45mg,4.4,490,,,,,,,
21,6664120,Crispy and Creamy Doughnuts,10 mins,30 mins,, 2 hrs 40 mins,18 ,18 doughnuts,18,331,13g,4g,31mg,171mg,47g,1g,20g,5g,,34mg,2mg,93mg,4.7,"1,356", 2 hrs,,,,,,
22,6650768,Beignets,30 mins,30 mins,, 3 hrs,10 ,,10,543,18g,4g,45mg,277mg,83g,3g,16g,12g,1mg,86mg,4mg,202mg,4.7,321, 2 hrs,,,,,,
23,6737348,Easy Apple Strudel,20 mins,35 mins,,55 mins,6 ,,6,501,17g,4g,32mg,130mg,88g,4g,62g,6g,6mg,70mg,2mg,406mg,4.3,156,,,,,,,
24,6650800,Kouign-Amann,40 mins,25 mins,, 4 hrs 35 mins,12 ,12 kouign-amann,12,291,18g,11g,46mg,470mg,30g,1g,12g,3g,,10mg,5mg,40mg,4.8,91, 3 hrs 30 mins,,,,,,
25,6651121,Monkey Bread from Scratch,25 mins,35 mins,, 2 hrs 30 mins,10 ,1 10-inch bundt pan,10,427,13g,8g,48mg,339mg,72g,2g,37g,6g,0mg,66mg,3mg,150mg,4.8,41, 1 hr 30 mins,,,,,,
26,6650554,Cinnamon Rolls From Frozen Bread Dough - EASY,15 mins,25 mins,, 2 hrs 10 mins,20 ,20 rolls,20,152,6g,2g,9mg,139mg,23g,1g,12g,3g,0mg,14mg,1mg,28mg,4.7,70, 1 hr 30 mins,,,,,,
27,6568840,Danish Pastry, 1 hr,10 mins,, 3 hrs 10 mins,36 ,36 pastries,36,273,11g,7g,39mg,128mg,39g,1g,,4g,2mg,33mg,2mg,80mg,4.4,82, 2 hrs,,,,,,
28,6605569,Croissants,40 mins,15 mins,, 11 hrs 15 mins,12 ,12 croissants,12,196,13g,7g,46mg,304mg,16g,1g,2g,3g,,24mg,1mg,57mg,4.2,137, 10 hrs 20 mins,,,,,,
29,6663119,Baked Apple Roses,25 mins,45 mins,, 1 hr 15 mins,2 ,2 apple roses,2,1058,71g,27g,143mg,496mg,96g,5g,38g,12g,5mg,49mg,4mg,229mg,4.7,160,5 mins,,,,,,
30,6738217,Ninety-Minute Cinnamon Rolls,25 mins,25 mins,, 1 hr 30 mins,12 ,12 rolls,12,347,13g,2g,17mg,262mg,55g,2g,27g,5g,0mg,54mg,2mg,160mg,4.7,"2,432",40 mins,,,,,,
31,6572708,Caramel Rolls,45 mins,25 mins,, 3 hrs,9 ,9 rolls,9,251,12g,6g,26mg,178mg,34g,1g,14g,4g,0mg,30mg,1mg,72mg,4.4,5, 1 hr 50 mins,,,,,,
32,6649866,Oliebollen (Dutch Doughnuts),20 mins,10 mins,, 1 hr 35 mins,12 ,1 dozen,12,270,9g,1g,17mg,405mg,46g,2g,25g,5g,1mg,44mg,2mg,240mg,4.3,51, 1 hr 5 mins,,,,,,
33,6649222,Brioche,40 mins,25 mins,, 9 hrs 25 mins,16 ,2 9x5-inch loaves,16,228,13g,8g,90mg,246mg,22g,1g,1g,5g,,16mg,2mg,66mg,4.3,58, 8 hrs 20 mins,,,,,,
34,6739396,Cinnamon Rolls,30 mins,15 mins,, 3 hrs,16 ,16 rolls,16,372,19g,10g,51mg,198mg,45g,2g,19g,6g,0mg,54mg,2mg,122mg,4.8,"1,767", 2 hrs 15 mins,,,,,,
35,6585796,Buñuelos,15 mins,20 mins,,45 mins,16 ,,16,244,15g,1g,47mg,181mg,25g,0g,16g,3g,0mg,28mg,1mg,31mg,4.2,17,10 mins,,,,,,
36,6570148,Danish Kringle,45 mins,30 mins,, 9 hrs 45 mins,12 ,2 (10-inch) kringles,12,277,14g,7g,48mg,155mg,34g,1g,14g,5g,1mg,49mg,1mg,153mg,4.8,149, 8 hrs 30 mins,,,,,,
37,6571416,Land of Nod Cinnamon Buns,10 mins,25 mins,, 8 hrs 35 mins,20 ,1 (10-inch) Bundt cake,20,430,7g,3g,8mg,832mg,79g,4g,12g,16g,0mg,173mg,6mg,32mg,4.7,188, 8 hrs,,,,,,
38,6588546,Quick and Easy Monkey Bread,10 mins,30 mins,, 8 hrs 40 mins,12 ,1 (9- or 10-inch) tube pan,12,389,15g,6g,23mg,484mg,60g,2g,31g,7g,0mg,126mg,2mg,128mg,4.5,281, 8 hrs,,,,,,
39,6648928,Monkey Bread with Butterscotch Pudding,10 mins,25 mins,, 8 hrs 35 mins,10 ,1 (9- or 10-inch) tube pan,10,346,19g,8g,33mg,272mg,43g,2g,26g,4g,0mg,86mg,2mg,101mg,3.8,19, 8 hrs,,,,,,
40,6569546,Sticky Buns,30 mins,30 mins,, 1 hr 40 mins,12 ,24 sticky buns,12,484,19g,9g,68mg,605mg,70g,3g,24g,9g,0mg,110mg,3mg,188mg,4.4,76,40 mins,,,,,,
41,6650557,Easy Cream Cheese Danish,10 mins,30 mins,,40 mins,10 ,1 - 9x13 inch pan,10,498,29g,14g,53mg,582mg,51g,,32g,8g,0mg,40mg,2mg,60mg,4.6,610,,,,,,,
42,6650885,Almond Bear Claws, 2 hrs,25 mins,, 2 hrs 25 mins,24 ,24 pastries,24,419,26g,7g,10mg,157mg,36g,1g,6g,10g,0mg,70mg,3mg,238mg,4.6,41,,,,,,,
43,6650559,Cinnamon Rolls II,30 mins,25 mins,, 2 hrs 25 mins,24 ,2 dozen,24,331,10g,6g,42mg,181mg,56g,1g,31g,5g,,39mg,2mg,91mg,4.5,737, 1 hr 30 mins,,,,,,
44,6738343,Garlic Parmesan Monkey Bread,30 mins,30 mins,, 1 hr,10 ,10 servings,10,339,12g,5g,56mg,684mg,44g,4g,4g,12g,2mg,55mg,4mg,36mg,4.3,203,,,,,,,
45,6650846,Chef John's Chocolate Croissants,30 mins,25 mins,, 5 hrs 55 mins,6 ,6 croissants,6,566,36g,22g,89mg,592mg,53g,4g,22g,8g,,19mg,3mg,218mg,4.9,21, 5 hrs,,,,,,
46,6664480,Buttermilk Cinnamon Rolls,30 mins,25 mins,,55 mins,15 ,1 - 10x15 inch pan,15,315,14g,5g,17mg,271mg,42g,1g,13g,5g,0mg,49mg,2mg,115mg,4.5,480,,,,,,,
47,6571370,Biscuit Cinnamon Rolls,20 mins,15 mins,,35 mins,20 ,20 small rolls,20,116,5g,2g,8mg,161mg,18g,1g,12g,1g,,17mg,0mg,31mg,4.9,23,,,,,,,
48,6737363,Cake Mix Cinnamon Rolls,30 mins,20 mins,, 2 hrs,16 ,16 cinnamon rolls,16,399,14g,6g,23mg,278mg,64g,2g,28g,6g,0mg,81mg,2mg,122mg,4.4,270, 1 hr 10 mins,,,,,,
49,6603013,Danish Almond Puff,15 mins, 1 hr,, 2 hrs,8 ,8 servings,8,424,26g,15g,131mg,193mg,42g,1g,18g,6g,,25mg,2mg,78mg,4.4,52,45 mins,,,,,,
50,6737753,Overnight Cinnamon Rolls I, 1 hr 20 mins,30 mins,, 2 hrs,12 ,12 rolls,12,388,8g,4g,63mg,262mg,73g,2g,35g,8g,0mg,59mg,3mg,181mg,4.4,454,10 mins,,,,,,
51,6605693,Yummy No-Bake Cinnamon Rolls for Kids,10 mins,,,10 mins,4 ,4 servings,4,124,6g,4g,15mg,126mg,17g,0g,5g,1g,,21mg,1mg,14mg,4.3,61,,,,,,,
52,6602026,Best Ever Caramel Rolls,25 mins,33 mins,, 9 hrs 8 mins,24 ,24 caramel rolls,24,234,8g,4g,17mg,259mg,37g,2g,20g,4g,,20mg,2mg,25mg,4.2,11, 8 hrs 10 mins,,,,,,
53,6591655,Classic Cinnamon Rolls,30 mins,30 mins,, 2 hrs 45 mins,24 ,24 rolls,24,404,14g,8g,49mg,318mg,65g,2g,30g,6g,1mg,20mg,2mg,100mg,4.8,392, 1 hr 45 mins,,,,,,
54,6597706,Apple Danish, 1 hr,20 mins,, 2 hrs 35 mins,8 ,1 12-inch long braid,8,336,11g,7g,27mg,442mg,58g,2g,31g,4g,2mg,27mg,2mg,119mg,4.7,61, 1 hr 15 mins,,,,,,
55,6604466,Swedish Tea Ring,45 mins,20 mins,, 3 hrs 20 mins,24 ,2 pastries,24,83,2g,1g,12mg,68mg,16g,0g,15g,1g,0mg,24mg,0mg,55mg,4.6,20, 2 hrs 15 mins,,,,,,
