,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Vitamin C,Calcium,Iron,Total Sugars
44,6649955,30 mins,30 mins, 1 hr,12 ,12,154,5g,1g,15mg,201mg,20g,1g,7g,105mg,4.5,373,12 spring rolls,,3mg,24mg,1mg,0g
45,6663175,15 mins, 1 hr, 1 hr 15 mins,8 ,8,408,23g,10g,136mg,702mg,18g,1g,30g,309mg,4.5,210,8 servings,,1mg,285mg,3mg,2g
46,6594910,10 mins,20 mins,30 mins,8 ,8,287,21g,9g,78mg,146mg,8g,1g,17g,320mg,4.4,132,,,6mg,49mg,1mg,2g
47,6589216,30 mins,15 mins,45 mins,10 ,10,184,9g,2g,38mg,546mg,19g,1g,8g,156mg,4.4,203,30 gyoza,,7mg,30mg,2mg,1g
48,6569236,,,,8 ,8,646,33g,12g,173mg,1388mg,46g,1g,40g,780mg,4.6,63,8 servings,,5mg,96mg,4mg,36g
49,6591182, 1 hr,24 mins, 1 hr 24 mins,12 ,12,266,14g,3g,59mg,727mg,23g,1g,12g,230mg,4.7,62,4 dozen wontons,,2mg,41mg,2mg,1g
50,6571545,10 mins,15 mins,25 mins,6 ,6,315,22g,8g,98mg,852mg,1g,0g,27g,403mg,4.7,159,6 servings,,1mg,33mg,2mg,0g
51,6596288,10 mins,10 mins,20 mins,12 ,12,229,15g,5g,61mg,631mg,6g,0g,17g,283mg,4.5,32,,,1mg,30mg,1mg,4g
52,6575458,5 mins,15 mins,20 mins,4 ,4,293,9g,2g,6mg,686mg,46g,1g,6g,98mg,4.4,90,,,1mg,25mg,2mg,0g
53,6582167,15 mins,20 mins,35 mins,4 ,4,431,34g,11g,130mg,991mg,7g,2g,24g,649mg,4.6,139,4 servings,,33mg,120mg,2mg,2g
54,6591097,30 mins, 1 hr 30 mins, 2 hrs,8 ,8,556,37g,14g,101mg,2096mg,32g,7g,26g,876mg,4.5,265,8 to 10 servings,,110mg,102mg,5mg,17g
55,6664809,20 mins,20 mins,40 mins,2 ,2,463,22g,7g,76mg,1202mg,38g,7g,27g,931mg,4.6,30,2 servings,,91mg,137mg,4mg,13g
56,6605133, 5 hrs,10 mins, 6 hrs 30 mins,20 ,20,511,36g,12g,70mg,1036mg,29g,4g,18g,222mg,4.6,107,, 1 hr 20 mins,2mg,21mg,3mg,2g
57,6582596,10 mins,30 mins,55 mins,10 ,10,356,16g,6g,61mg,1091mg,30g,4g,23g,721mg,4.6,29,,15 mins,41mg,86mg,4mg,9g
58,6741676, 1 hr,30 mins, 1 hr 35 mins,8 ,8,724,51g,13g,86mg,227mg,41g,9g,34g,1220mg,5.0,4,8 servings,5 mins,107mg,231mg,4mg,23g
59,6598282,15 mins,15 mins,30 mins,2 ,2,353,30g,6g,27mg,340mg,12g,4g,12g,436mg,4.0,5,2 servings,,40mg,49mg,2mg,6g
60,6593600,40 mins,20 mins, 1 hr,5 ,5,344,18g,5g,66mg,139mg,26g,2g,20g,377mg,4.5,13,40 dumplings,,6mg,27mg,3mg,3g
61,6589075,25 mins, 1 hr 10 mins, 1 hr 40 mins,8 ,8,310,17g,5g,125mg,783mg,15g,2g,26g,448mg,4.6,70,8 servings,5 mins,12mg,58mg,3mg,5g
62,6591007,20 mins,30 mins,50 mins,25 ,25,64,1g,0g,11mg,151mg,10g,0g,3g,37mg,4.7,30,25 dumplings,,0mg,10mg,1mg,0g
