,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C
11,6649534,10 mins, 4 hrs,, 4 hrs 10 mins,12 ,1 loaf,12,93,2g,1g,5mg,218mg,17g,2g,5g,2g,36mg,1mg,143mg,4.9,47,0mg
12,6649699,15 mins,10 mins,,25 mins,12 ,,12,119,4g,3g,11mg,357mg,18g,2g,2g,3g,120mg,1mg,84mg,4.6,117,0mg
13,6570681,10 mins,30 mins, 2 hrs 20 mins, 3 hrs,15 ,1 - 1 1/2 pound loaf,15,140,4g,1g,4mg,169mg,23g,3g,4g,4g,20mg,1mg,107mg,4.8,562,0mg
14,6589849,30 mins,30 mins, 1 hr 40 mins, 2 hrs 40 mins,16 ,2 loaves,16,215,8g,1g,23mg,157mg,33g,4g,10g,6g,16mg,2mg,164mg,4.5,83,0mg
15,6737810,10 mins,10 mins, 18 hrs 15 mins, 18 hrs 35 mins,4 ,,4,485,8g,1g,,732mg,89g,4g,1g,12g,22mg,6mg,154mg,4.4,83,
16,6590105,20 mins,20 mins,,40 mins,12 ,1 loaf,12,88,2g,1g,2mg,166mg,15g,2g,3g,3g,64mg,1mg,97mg,4.2,356,0mg
17,6591028,15 mins, 1 hr,30 mins, 1 hr 45 mins,12 ,1 loaf,12,185,5g,3g,11mg,401mg,30g,3g,10g,5g,65mg,1mg,151mg,4.5,177,0mg
18,6586897, 3 hrs,25 mins, 2 hrs, 5 hrs 25 mins,8 ,2 loaves,8,48,0g,,,724mg,10g,2g,0g,2g,7mg,1mg,60mg,4.7,110,
19,6596127,30 mins,15 mins, 2 hrs 20 mins, 3 hrs 5 mins,24 ,2 dozen,24,140,4g,3g,18mg,129mg,23g,2g,4g,3g,9mg,1mg,75mg,4.8,526,
20,6600694,10 mins, 2 hrs 30 mins,, 2 hrs 40 mins,10 ,1 to 1 - pound loaf,10,137,2g,0g,,235mg,24g,3g,3g,7g,20mg,2mg,229mg,4.4,18,
