,id_recipe,name,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Prep Time:,Total Fat,Additional Time:,Yield:,Saturated Fat,Cholesterol
10,6565135,Cranberry Orange Sauce,15 mins, 1 hr 25 mins,12 ,12,61,4mg,16g,3g,11g,0g,8mg,15mg,0mg,61mg,4.2,11,10 mins,0g, 1 hr,,,
11,6567157,Orange Cranberry Sauce, 1 hr 10 mins, 2 hrs 35 mins,6 ,6,176,3mg,45g,4g,39g,1g,24mg,11mg,0mg,121mg,4.7,17,5 mins,0g, 1 hr 20 mins,,,
12,6585836,Brandied Orange and Cranberry Sauce,35 mins,50 mins,12 ,12,157,2mg,40g,2g,,0g,19mg,14mg,0mg,66mg,4.7,157,15 mins,0g,,4 cups,,
13,6564737,Holiday Cranberry Sauce,15 mins, 8 hrs 50 mins,16 ,16,111,2mg,29g,2g,26g,0g,3mg,12mg,0mg,25mg,4.8,371,5 mins,0g, 8 hrs 30 mins,,,
14,6580940,Cranberry Sauce with Bourbon, 1 hr, 1 hr 5 mins,12 ,12,295,1mg,70g,1g,68g,0g,4mg,3mg,0mg,25mg,4.6,19,5 mins,,,,,
15,6736470,Maple Syrup Cranberry Sauce,10 mins,20 mins,6 ,6,179,8mg,44g,3g,36g,0g,8mg,43mg,1mg,159mg,4.6,28,10 mins,0g,,,,
16,6596976,Cranberry Sauce with Orange Juice and Brown Sugar,20 mins,30 mins,8 ,8,76,42mg,20g,2g,16g,0g,10mg,21mg,0mg,73mg,5.0,13,10 mins,0g,,,,
17,6565434,Brown Sugar and Port Cranberry Sauce,10 mins, 8 hrs 25 mins,8 ,8,122,7mg,29g,3g,24g,0g,18mg,31mg,0mg,121mg,4.8,23,15 mins,0g, 8 hrs,8 servings,,
18,6565862,Cranberry Sauce II,7 mins,40 mins,6 ,6,146,1mg,38g,2g,35g,0g,5mg,3mg,0mg,33mg,4.8,136,3 mins,,30 mins,6 servings,,
19,6564920,Pear Honey Cranberry Sauce,15 mins,30 mins,10 ,10,177,2mg,47g,3g,43g,0g,7mg,8mg,0mg,88mg,4.5,149,15 mins,0g,,10 servings,,
20,6738911,Ginger Pear Cranberry Sauce,10 mins, 2 hrs 20 mins,8 ,8,172,79mg,44g,3g,34g,1g,26mg,31mg,2mg,323mg,4.6,29,10 mins,0g, 2 hrs,2 cups,,
21,6561461,Easy Cranberry Applesauce,20 mins,30 mins,6 ,6,119,2mg,31g,5g,25g,1g,10mg,13mg,0mg,178mg,4.3,7,10 mins,0g,,6 servings,,
22,6601476,Patti's Triple Cranberry Sauce,15 mins, 2 hrs 25 mins,10 ,10,134,5mg,35g,2g,28g,0g,20mg,10mg,0mg,53mg,4.9,28,10 mins,0g, 2 hrs,10 servings,,
23,6588622,Spiced Cranberry Sauce,15 mins, 8 hrs 20 mins,8 ,8,129,2mg,33g,2g,29g,0g,17mg,11mg,0mg,87mg,5.0,3,5 mins,0g, 8 hrs,8 servings,0g,
