,id_recipe,name,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Prep Time:,Cook Time:,Stand Time:,Total Time:,Rest Time:,Bake Time:,Additional Time:
21,6649567,Sloppy Joes,6 ,6 sandwiches,6,243,16g,6g,57mg,397mg,11g,0g,,14g,10mg,16mg,2mg,340mg,4.7,"7,780",5 mins,30 mins,,35 mins,,,
22,6664414,Best Meatloaf,12 ,1 meatloaf,12,213,12g,5g,76mg,649mg,9g,1g,3g,18g,4mg,39mg,3mg,335mg,4.5,"1,062",15 mins, 1 hr 10 mins,, 1 hr 25 mins,,,
23,6648220,Salisbury Steak,6 ,,6,440,32g,13g,128mg,818mg,14g,1g,4g,23g,2mg,48mg,3mg,381mg,4.4,"4,807",15 mins,25 mins,,40 mins,,,
24,6651006,Chef John's Italian Meatballs,8 ,,8,390,31g,12g,91mg,617mg,5g,1g,,21g,4mg,62mg,2mg,349mg,4.8,"2,322",20 mins,35 mins,, 2 hrs 15 mins,,, 1 hr 20 mins
25,6648412,Tater Tot Casserole,4 ,,4,345,24g,10g,65mg,700mg,17g,1g,1g,19g,1mg,213mg,2mg,313mg,4.5,564,5 mins,40 mins,,45 mins,,,
26,6649620,Baked Ziti,10 ,1 9x13-inch casserole,10,578,25g,13g,71mg,914mg,58g,6g,14g,28g,4mg,359mg,4mg,721mg,4.7,"8,735",15 mins,45 mins,, 1 hr,,,
27,6738826,Hamburger Steak with Onions and Gravy,4 ,,4,319,19g,6g,115mg,597mg,14g,1g,3g,23g,4mg,50mg,3mg,387mg,4.6,"4,288",15 mins,25 mins,,40 mins,,,
28,6649763,Stuffed Peppers,6 ,6 stuffed peppers,6,248,9g,4g,46mg,564mg,26g,4g,6g,16g,96mg,40mg,3mg,659mg,4.4,"2,040",5 mins, 1 hr 25 mins,, 1 hr 30 mins,,,
29,6663165,Juiciest Hamburgers Ever,8 ,8 servings,8,288,18g,7g,96mg,196mg,9g,1g,2g,22g,1mg,53mg,3mg,314mg,4.4,"1,286",15 mins,10 mins,,35 mins,,,10 mins
30,6665025,Simple Beef Stroganoff,4 ,,4,679,41g,17g,159mg,660mg,48g,3g,2g,29g,1mg,76mg,4mg,460mg,4.1,992,5 mins,15 mins,,20 mins,,,
31,6664293,Homemade Lasagna,8 ,1 9x13-inch lasagna,8,638,27g,13g,161mg,2053mg,54g,5g,4g,46g,13mg,637mg,5mg,785mg,4.6,351, 1 hr 25 mins, 1 hr 15 mins,, 2 hrs 50 mins,,,10 mins
32,6651165,The Best Meatballs,8 ,,8,613,53g,15g,149mg,333mg,7g,0g,0g,27g,1mg,190mg,2mg,315mg,4.7,"1,618",30 mins,30 mins,, 1 hr,,,
33,6648974,Italian Baked Meatballs,6 ,,6,343,20g,8g,135mg,612mg,14g,1g,1g,24g,2mg,100mg,3mg,213mg,4.6,126,15 mins,30 mins,,45 mins,,,
34,6648642,Easy Homemade Chili,6 ,,6,394,9g,4g,46mg,526mg,49g,18g,4g,31g,16mg,151mg,8mg,1061mg,4.3,469,10 mins,20 mins,,30 mins,,,
35,6737604,Air Fryer Meatballs,4 ,16 meatballs,4,457,33g,13g,114mg,634mg,8g,1g,,30g,1mg,146mg,3mg,402mg,4.8,42,10 mins,20 mins,,35 mins,,,5 mins
36,6664377,Asian Lettuce Wraps,4 ,,4,388,22g,7g,69mg,580mg,24g,5g,10g,23g,17mg,90mg,4mg,699mg,4.7,"2,842",15 mins,15 mins,,30 mins,,,
37,6663975,Italian Spaghetti Sauce with Meatballs,6 ,6 servings,6,347,21g,6g,77mg,1493mg,23g,5g,11g,19g,33mg,140mg,6mg,1023mg,4.6,"3,688",20 mins, 2 hrs,, 2 hrs 20 mins,,,
38,6650502,Baked Spaghetti,8 ,1 9x13-inch casserole,8,797,41g,21g,126mg,1326mg,61g,5g,,44g,2mg,667mg,4mg,722mg,4.7,"1,504",15 mins, 1 hr 15 mins,, 1 hr 30 mins,,,
39,6649314,Stuffed Cabbage Rolls,8 ,8 cabbage rolls,8,223,13g,5g,66mg,657mg,13g,1g,3g,13g,25mg,33mg,2mg,338mg,4.4,"1,466",15 mins, 1 hr,, 1 hr 15 mins,,,
40,6650288,Classic Goulash,8 ,,8,476,26g,10g,85mg,1476mg,32g,4g,,27g,17mg,97mg,7mg,900mg,4.5,"2,198",8 mins,27 mins,,35 mins,,,
41,6586602,"Easy Bacon, Onion, and Cheese-Stuffed Burgers",6 ,6 burgers,6,669,39g,16g,166mg,929mg,27g,2g,3g,50g,2mg,187mg,6mg,659mg,4.5,111,15 mins,20 mins,,35 mins,,,
42,6663132,Hamburger Potato Casserole,6 ,,6,403,27g,12g,83mg,538mg,17g,1g,4g,22g,7mg,219mg,2mg,515mg,4.3,"1,453",20 mins, 1 hr 20 mins,, 1 hr 40 mins,,,
43,6664574,Best Hamburger Ever,4 ,4 hamburgers,4,445,28g,12g,174mg,967mg,9g,1g,2g,39g,3mg,171mg,4mg,517mg,4.3,810,10 mins,10 mins,,20 mins,,,
44,6649921,Easy Korean Ground Beef Bowl,4 ,4 bowls,4,574,19g,6g,74mg,1142mg,70g,5g,19g,29g,6mg,72mg,7mg,589mg,4.6,607,10 mins,15 mins,,25 mins,,,
45,6664484,Best Damn Chili,12 ,12 servings,12,406,21g,8g,74mg,1015mg,28g,7g,7g,25g,35mg,113mg,6mg,914mg,4.7,723,30 mins, 2 hrs 15 mins,, 2 hrs 45 mins,,,
46,6664122,Easy Mexican Casserole,6 ,1 9x13-inch casserole,6,632,44g,23g,119mg,1308mg,33g,6g,6g,32g,8mg,451mg,4mg,926mg,4.4,"2,678",15 mins, 1 hr,, 1 hr 15 mins,,,
47,6648277,Slow Cooker Taco Soup,8 ,8 servings,8,362,16g,6g,49mg,1356mg,38g,9g,9g,18g,22mg,84mg,5mg,670mg,4.6,"2,365",10 mins, 8 hrs,, 8 hrs 10 mins,,,
48,6648229,Just Like Wendy's Chili,10 ,,10,326,15g,5g,55mg,1521mg,29g,8g,8g,23g,26mg,97mg,5mg,762mg,4.8,832,15 mins, 1 hr 20 mins,, 1 hr 35 mins,,,
49,6648917,Boilermaker Tailgate Chili,12 ,,12,600,30g,11g,70mg,2093mg,55g,12g,12g,31g,59mg,311mg,8mg,1108mg,4.8,"8,067",30 mins, 2 hrs,, 2 hrs 30 mins,,,
50,6738880,Slow Cooker Lasagna,10 ,,10,446,20g,10g,72mg,1420mg,36g,3g,8g,31g,11mg,453mg,3mg,715mg,4.2,"1,132",20 mins, 4 hrs 10 mins,, 4 hrs 30 mins,,,
51,6649650,The Perfect Basic Burger,4 ,4 burgers patties,4,317,18g,7g,125mg,475mg,10g,1g,1g,27g,0mg,39mg,3mg,347mg,4.4,233,5 mins,15 mins,,20 mins,,,
52,6738121,World's Best Pasta Sauce!,16 ,,16,157,9g,3g,24mg,673mg,12g,2g,5g,10g,11mg,39mg,2mg,554mg,4.7,"1,069",15 mins, 1 hr 40 mins,, 1 hr 55 mins,,,
53,6740845,Jeff's Hot Dog Chili,6 ,,6,168,9g,4g,47mg,595mg,8g,1g,6g,14g,5mg,17mg,2mg,332mg,4.6,433,10 mins,20 mins,,30 mins,,,
54,6650125,Shepherd's Pie,6 ,1 (2 quart) casserole,6,452,17g,7g,65mg,295mg,53g,7g,6g,23g,53mg,128mg,4mg,1443mg,4.5,"3,306",30 mins,20 mins,,50 mins,,,
55,6649446,Easy Lasagna,12 ,1 9x13-inch lasagna,12,377,17g,8g,90mg,870mg,26g,3g,8g,29g,2mg,332mg,2mg,463mg,4.6,"1,122",10 mins, 1 hr 10 mins,, 1 hr 30 mins,,,10 mins
56,6663729,Homemade Chili,12 ,,12,274,13g,5g,46mg,959mg,20g,7g,4g,19g,17mg,69mg,5mg,471mg,4.7,78,10 mins, 4 hrs 15 mins,, 4 hrs 25 mins,,,
57,6664150,Meatball Sandwich,4 ,4 meatball subs,4,781,32g,13g,141mg,1473mg,78g,6g,13g,44g,6mg,371mg,8mg,780mg,4.6,"1,170",20 mins,20 mins,,40 mins,,,
58,6592570,Air Fryer Meatloaf,4 ,,4,297,19g,6g,126mg,707mg,6g,1g,1g,25g,3mg,33mg,3mg,361mg,4.3,58,10 mins,25 mins,,45 mins,,,10 mins
59,6649503,Best Beef Enchiladas,8 ,,8,583,29g,12g,94mg,1216mg,46g,7g,1g,33g,10mg,235mg,7mg,791mg,4.6,505,25 mins,30 mins,, 1 hr,,,5 mins
60,6650132,Meat Pie,8 ,1 9-inch pie,8,381,24g,7g,36mg,577mg,28g,3g,1g,14g,6mg,21mg,3mg,291mg,4.5,104,25 mins,25 mins,,50 mins,,,
61,6664418,Cabbage Roll Casserole,12 ,1 9x13-inch caserole,12,352,21g,8g,64mg,840mg,26g,5g,8g,17g,54mg,76mg,4mg,691mg,4.3,"1,848",20 mins, 1 hr 20 mins,, 1 hr 40 mins,,,
62,6737579,Traditional Gyro Meat,10 ,1 7x4-inch loaf,10,179,12g,5g,59mg,97mg,2g,1g,1g,16g,1mg,25mg,2mg,230mg,4.2,391,15 mins,45 mins,, 2 hrs,,, 1 hr
