,id_recipe,Prep Time:,Stand Time:,Rise Time:,Bake Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Cool Time:,Cook Time:,Total Sugars,Calcium,Iron,Additional Time:,Vitamin C
39,6585264,15 mins,,,,40 mins,8 ,1 9x13-inch casserole,8,537,25g,11g,129mg,720mg,73g,2g,8g,158mg,4.7,20,,25 mins,25g,79mg,3mg,,0mg
40,6740963,20 mins,,,, 2 hrs 35 mins,30 ,30 rolls,30,195,8g,4g,22mg,122mg,30g,1g,2g,49mg,4.7,13,,20 mins,17g,12mg,1mg, 1 hr 55 mins,5mg
41,6602685,25 mins,,,, 2 hrs 50 mins,48 ,4 dozen rolls or 4 fancy breads,48,104,2g,1g,8mg,103mg,18g,1g,3g,37mg,4.6,31,,25 mins,2g,11mg,1mg, 2 hrs,
42,6739465,30 mins,,,, 3 hrs 30 mins,16 ,16 cinnamon rolls,16,326,11g,6g,38mg,232mg,52g,2g,5g,116mg,4.2,59,,30 mins,25g,40mg,2mg, 2 hrs 30 mins,0mg
43,6580649,20 mins,,,, 1 hr 20 mins,12 ,12 cinnamon rolls,12,358,13g,7g,60mg,292mg,53g,2g,7g,126mg,5.0,2,,20 mins,23g,64mg,2mg,40 mins,0mg
44,6564036,30 mins,,,, 8 hrs 50 mins,15 ,15 rolls,15,219,7g,4g,18mg,275mg,35g,2g,5g,127mg,3.5,4,,20 mins,11g,85mg,2mg, 8 hrs,0mg
45,6664986,15 mins,,,,35 mins,6 ,6 cinnamon rolls,6,272,11g,6g,28mg,344mg,39g,1g,5g,49mg,4.0,7,,20 mins,,,,,
46,6585540,10 mins,,,,30 mins,6 ,6 servings,6,632,36g,14g,42mg,1176mg,71g,2g,8g,234mg,4.7,259,,20 mins,31g,83mg,3mg,,0mg
47,6597707,25 mins,,,, 3 hrs 40 mins,18 ,18 rolls,18,257,6g,1g,,173mg,47g,2g,4g,87mg,,,,15 mins,20g,30mg,2mg, 3 hrs,0mg
48,6606119,35 mins,,,, 3 hrs,24 ,2 dozen cinnamon rolls,24,272,8g,3g,25mg,227mg,46g,1g,5g,125mg,4.6,14,,20 mins,20g,40mg,2mg, 2 hrs 5 mins,1mg
49,6664429,30 mins,,,, 1 hr 55 mins,12 ,12 pumpkin rolls,12,514,14g,7g,42mg,176mg,91g,3g,8g,239mg,4.2,96,,35 mins,48g,91mg,4mg,50 mins,2mg
50,6584022,30 mins,,,, 2 hrs 25 mins,12 ,12 rolls,12,479,24g,13g,67mg,241mg,61g,2g,7g,107mg,5.0,2,,10 mins,30g,43mg,2mg, 1 hr 45 mins,0mg
51,6590367,45 mins,,,, 2 hrs 15 mins,12 ,12 rolls,12,240,1g,0g,31mg,112mg,51g,2g,7g,144mg,3.9,23,,30 mins,13g,20mg,3mg, 1 hr,0mg
52,6571572,20 mins,,,,50 mins,18 ,18 rolls,18,189,3g,1g,4mg,219mg,37g,1g,4g,58mg,4.7,49,,15 mins,11g,26mg,2mg,15 mins,
53,6587982,20 mins,,,, 1 hr 30 mins,15 ,15 to 20 cinnamon rolls,15,218,8g,1g,25mg,297mg,34g,1g,4g,56mg,4.4,25,,25 mins,14g,70mg,2mg,45 mins,0mg
