,id_recipe,Prep Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Chill Time:
12,6648252,40 mins,, 1 hr,8 ,,8,179,11g,1g,,2623mg,19g,2g,1g,2g,21mg,14mg,1mg,449mg,4.7,230,20 mins,
13,6650098,15 mins,14 days 8 hrs,14 days 8 hrs 35 mins,48 ,6 (1/2-pint) jars,48,8,,,,2mg,2g,1g,0g,1g,4mg,11mg,0mg,55mg,4.6,170,20 mins,
14,6738737,15 mins,,15 mins,12 ,,12,230,22g,5g,57mg,579mg,1g,0g,1g,8g,12mg,10mg,1mg,124mg,4.7,215,,
15,6651133,15 mins,30 mins, 1 hr 20 mins,8 ,,8,489,22g,6g,116mg,140mg,30g,1g,2g,41g,1mg,62mg,3mg,385mg,4.5,739,35 mins,
16,6575082,25 mins,, 1 hr 15 mins,12 ,1 (8-inch square) cake,12,206,9g,5g,55mg,157mg,29g,1g,16g,3g,2mg,40mg,1mg,57mg,4.5,510,50 mins,
17,6738805,10 mins,10 mins,40 mins,2 ,,2,583,10g,2g,18mg,1495mg,83g,4g,3g,38g,80mg,79mg,7mg,544mg,4.3,68,20 mins,
18,6664907,10 mins,,10 mins,120 ,1 gallon,120,104,11g,2g,,13mg,2g,0g,0g,0g,0mg,9mg,0mg,36mg,4.7,"2,084",,
19,6651128,15 mins,20 mins,35 mins,8 ,,8,233,9g,2g,,1255mg,32g,8g,6g,8g,15mg,86mg,3mg,465mg,4.7,271,,
20,6569432,10 mins,, 1 hr 25 mins,8 ,1 4-quart dish,8,435,10g,4g,38mg,953mg,67g,10g,36g,22g,4mg,100mg,4mg,518mg,4.7,232, 1 hr 15 mins,
21,6596085,5 mins,,5 mins,1 ,,1,287,0g,,,25mg,74g,1g,52g,0g,28mg,14mg,0mg,78mg,4.3,52,,
22,6664966,15 mins,30 mins, 1 hr 25 mins,8 ,1 2-quart baking dish,8,416,19g,11g,97mg,124mg,58g,3g,31g,5g,10mg,51mg,2mg,114mg,4.8,137,40 mins,
23,6737798,15 mins,,35 mins,6 ,,6,420,23g,12g,73mg,700mg,47g,0g,47g,11g,15mg,16mg,1mg,136mg,4.7,395,20 mins,
24,6650807,20 mins, 8 hrs, 8 hrs 20 mins,18 ,12 cups,18,167,7g,1g,,412mg,24g,5g,9g,4g,7mg,36mg,1mg,161mg,4.7,269,,
25,6605305,15 mins,,15 mins,4 ,,4,410,29g,5g,222mg,704mg,27g,1g,3g,10g,0mg,105mg,3mg,124mg,4.3,61,,
26,6583533,20 mins, 1 hr, 2 hrs,6 ,,6,476,30g,5g,70mg,302mg,28g,2g,19g,27g,22mg,35mg,2mg,452mg,4.7,39,40 mins,
27,6595246,15 mins,10 mins,25 mins,10 ,,10,203,7g,3g,13mg,172mg,36g,2g,29g,5g,39mg,110mg,1mg,529mg,4.6,78,,
28,6664568,10 mins, 2 hrs, 2 hrs 16 mins,6 ,,6,519,45g,18g,112mg,861mg,2g,0g,1g,25g,2mg,31mg,3mg,359mg,4.7,365,6 mins,
29,6649949,10 mins,,45 mins,10 ,1 9-inch square cake,10,254,11g,6g,63mg,173mg,36g,1g,21g,4g,2mg,81mg,1mg,68mg,4.5,58,35 mins,
30,6583645,20 mins,,20 mins,8 ,,8,231,14g,2g,5mg,95mg,28g,2g,20g,3g,39mg,35mg,1mg,318mg,4.7,78,,
31,6737942,30 mins, 2 hrs, 3 hrs,8 ,,8,480,27g,6g,77mg,650mg,29g,1g,4g,29g,1mg,195mg,3mg,312mg,4.2,181,30 mins,
32,6565261,5 mins,,5 mins,10 ,,10,28,0g,,,130mg,7g,0g,6g,0g,2mg,9mg,0mg,90mg,4.5,108,,
33,6738780,15 mins, 2 hrs, 2 hrs 15 mins,8 ,,8,200,12g,2g,11mg,253mg,23g,1g,15g,1g,19mg,29mg,0mg,108mg,4.8,"3,334",,
34,6648453,40 mins, 8 hrs, 8 hrs 40 mins,8 ,,8,987,63g,19g,97mg,3465mg,63g,4g,2g,41g,16mg,575mg,6mg,482mg,4.8,221,,
35,6572114,10 mins,10 mins,50 mins,15 ,,,,,,,,,,,,,,,,4.6,16,30 mins,
36,6664034,5 mins,, 2 hrs 5 mins,6 ,,6,63,4g,1g,164mg,87mg,0g,,0g,6g,,23mg,1mg,59mg,4.8,11, 2 hrs,
37,6649083,15 mins, 4 hrs, 4 hrs 15 mins,6 ,,6,216,18g,3g,7mg,137mg,14g,3g,9g,2g,55mg,55mg,1mg,288mg,4.6,79,,
38,6664705,20 mins, 6 hrs, 6 hrs 35 mins,20 ,,20,339,28g,4g,54mg,538mg,20g,2g,2g,4g,11mg,25mg,1mg,571mg,4.7,267,15 mins,
39,6648661,30 mins,,45 mins,16 ,,16,310,18g,6g,31mg,913mg,26g,2g,3g,13g,20mg,135mg,2mg,244mg,4.6,710,15 mins,
40,6573145,20 mins, 2 hrs, 2 hrs 30 mins,8 ,,8,327,29g,5g,21mg,382mg,13g,2g,8g,6g,40mg,32mg,1mg,279mg,4.9,93,10 mins,
41,6664036,10 mins,,35 mins,8 ,,8,281,14g,8g,79mg,413mg,34g,1g,9g,6g,1mg,117mg,2mg,140mg,4.4,58,25 mins,
42,6606209,10 mins,15 mins,35 mins,4 ,,4,393,14g,7g,126mg,936mg,34g,1g,2g,33g,3mg,243mg,5mg,489mg,4.7,75,10 mins,
43,6574468,15 mins, 1 hr, 1 hr 25 mins,12 ,,12,330,24g,4g,21mg,408mg,25g,2g,18g,8g,40mg,37mg,1mg,368mg,4.9,88,10 mins,
44,6649356,20 mins, 2 hrs, 2 hrs 35 mins,10 ,10 pieces,10,480,24g,5g,71mg,401mg,42g,2g,5g,25g,4mg,138mg,3mg,360mg,4.2,56,15 mins,
45,6651078,30 mins,,45 mins,8 ,1 10-inch pan,8,408,14g,5g,102mg,272mg,64g,2g,25g,8g,4mg,99mg,2mg,345mg,4.7,55,15 mins,
46,6739312,15 mins,30 mins,45 mins,4 ,,4,238,9g,1g,,1751mg,37g,3g,30g,6g,10mg,48mg,1mg,461mg,4.6,608,,
47,6600291,20 mins,5 mins, 1 hr 15 mins,8 ,1 9x5-inch loaf,8,381,20g,12g,96mg,324mg,48g,1g,30g,5g,3mg,63mg,2mg,192mg,4.6,60,50 mins,
48,6738488,30 mins,, 1 hr,4 ,,4,460,27g,5g,196mg,455mg,45g,5g,7g,11g,43mg,62mg,3mg,998mg,4.6,730,30 mins,
49,6600334,20 mins,,35 mins,8 ,,8,557,27g,4g,134mg,513mg,54g,4g,7g,26g,9mg,43mg,2mg,297mg,4.9,7,15 mins,
50,6599719,20 mins,20 mins, 1 hr,6 ,,6,481,24g,7g,164mg,574mg,25g,1g,1g,39g,3mg,83mg,7mg,555mg,4.8,241,20 mins,
51,6737881,20 mins, 1 hr, 1 hr 35 mins,12 ,,12,451,29g,8g,37mg,978mg,33g,3g,4g,15g,25mg,183mg,3mg,267mg,4.6,"1,544",15 mins,
52,6663206,20 mins,30 mins, 1 hr 15 mins,8 ,,8,279,24g,6g,134mg,413mg,11g,1g,1g,6g,5mg,60mg,1mg,329mg,4.6,280,25 mins,
53,6576927,10 mins, 8 hrs, 8 hrs 25 mins,5 ,,5,351,15g,2g,,471mg,56g,6g,41g,3g,64mg,78mg,2mg,804mg,4.7,63,15 mins,
54,6738640,30 mins, 4 hrs 15 mins, 5 hrs,12 ,,12,295,16g,2g,7mg,508mg,32g,2g,3g,5g,17mg,19mg,2mg,170mg,4.8,421,15 mins,
55,6648155,15 mins,,35 mins,24 ,2 dozen,24,217,10g,2g,23mg,170mg,30g,1g,17g,3g,2mg,15mg,1mg,81mg,4.5,262,20 mins,
56,6663709,20 mins,10 mins,40 mins,2 ,2 servings,2,966,35g,6g,70mg,1429mg,125g,21g,6g,46g,69mg,153mg,7mg,526mg,4.7,7,10 mins,
57,6565069, 1 hr, 12 hrs, 17 hrs 15 mins,128 ,4 quarts,128,14,,,,46mg,4g,,,,0mg,2mg,,8mg,4.7,34, 4 hrs 15 mins,
58,6586561,25 mins,3 days 1 hr 10 mins,3 days 1 hr 40 mins,12 ,,12,78,5g,2g,186mg,1031mg,2g,0g,1g,6g,1mg,31mg,1mg,86mg,4.5,122,5 mins,
59,6593163,15 mins, 1 hr, 1 hr 15 mins,12 ,1 1/2 cups,12,43,4g,3g,8mg,12mg,1g,0g,,1g,1mg,24mg,,41mg,4.4,106,,
60,6663408,30 mins,,30 mins,4 ,,4,426,17g,10g,37mg,94mg,66g,6g,48g,8g,65mg,154mg,2mg,816mg,4.8,5,,
61,6584400,15 mins,30 mins, 1 hr 45 mins,36 ,36 squares,36,125,3g,2g,,12mg,25g,0g,,1g,0mg,10mg,0mg,34mg,4.7,102, 1 hr,
62,6663390,30 mins, 12 hrs, 13 hrs 15 mins,40 ,5 quarts,40,88,,,,2mg,23g,0g,,0g,15mg,11mg,0mg,14mg,4.9,57,45 mins,
