,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:,Rest Time:,Marinate Time:,Stand Time:,Additional Time:
36,6649019,Traditional Filipino Lumpia,40 mins,25 mins, 1 hr 10 mins,15 ,15,168,11g,3g,23mg,288mg,11g,1g,1g,7g,3mg,20mg,1mg,142mg,4.8,508,,30 lumpia,,,,5 mins
37,6664654,Delicious Ham and Potato Soup,20 mins,20 mins,40 mins,8 ,8,195,11g,6g,30mg,394mg,20g,2g,4g,6g,18mg,91mg,1mg,442mg,4.8,"14,820",,,,,,
38,6649166,Best Egg Rolls,25 mins,15 mins,40 mins,8 ,8,334,21g,5g,40mg,220mg,23g,2g,1g,14g,7mg,56mg,2mg,240mg,4.4,714,,8 egg rolls,,,,
39,6650326,Tangy Honey-Glazed Ham,5 mins, 2 hrs 30 mins, 2 hrs 35 mins,20 ,20,511,30g,11g,111mg,2172mg,19g,0g,19g,39g,2mg,26mg,2mg,546mg,4.8,930,,,,,,
40,6648925,Prize-Winning Baby Back Ribs,30 mins, 1 hr 5 mins, 1 hr 35 mins,6 ,6,441,30g,11g,117mg,582mg,17g,1g,11g,25g,2mg,65mg,3mg,469mg,4.7,760,,,,,,
41,6649094,Leftover Ham -n- Potato Casserole,15 mins,50 mins, 1 hr 5 mins,6 ,6,591,37g,21g,108mg,1044mg,40g,4g,,25g,52mg,380mg,2mg,1034mg,4.7,500,,1 1 1/2-quart caserole,,,,
42,6649475,Ukrainian Red Borscht Soup,25 mins,40 mins, 1 hr 5 mins,10 ,10,257,14g,5g,31mg,626mg,24g,5g,8g,10g,39mg,78mg,2mg,837mg,4.6,462,,,,,,
43,6648718,Baked Potato Soup,15 mins,25 mins,40 mins,6 ,6,748,49g,20g,85mg,1335mg,50g,2g,16g,27g,16mg,573mg,2mg,1073mg,4.7,"2,352",,,,,,
44,6649210,Boston Baked Beans,10 mins, 4 hrs 10 mins, 4 hrs 20 mins,6 ,6,382,6g,2g,14mg,1320mg,63g,17g,20g,21g,7mg,141mg,5mg,1174mg,4.6,"1,368",,,,,,
45,6649130,Slow Cooker Ham,5 mins, 8 hrs, 8 hrs 5 mins,24 ,24,360,20g,7g,74mg,1425mg,18g,,18g,26g,,24mg,1mg,367mg,4.6,"1,424",,,,,,
