,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Cool Time:,Bake Time:,Additional Time:,Chill Time:
18,6570380,Game Day Bites,10 mins,30 mins,40 mins,24 ,24,176,9g,4g,25mg,327mg,15g,1g,2g,9g,0mg,122mg,2mg,100mg,4.3,231,,,,,
19,6737648,Philly Steak And Cheese Sliders,20 mins,11 mins,31 mins,12 ,12,404,8g,8g,69mg,512mg,46g,3g,2g,26g,7mg,158mg,1mg,183mg,4.5,32,12 sandwiches,,,,
20,6575137,Cuban Sliders,20 mins,35 mins, 1 hr 15 mins,24 ,24,398,8g,9g,80mg,651mg,46g,2g,1g,24g,0mg,82mg,0mg,19mg,4.7,6,24 servings,,,20 mins,
21,6579395,Grilled Chicken Pineapple Sliders, 1 hr,15 mins, 1 hr 15 mins,6 ,6,397,2g,4g,74mg,505mg,58g,4g,11g,27g,26mg,32mg,1mg,214mg,4.6,126,6 sliders,,,,
22,6592413,Mini Hot Chicken and Waffle Sliders,20 mins,15 mins,35 mins,10 ,10,309,17g,6g,44mg,1617mg,29g,2g,6g,10g,5mg,121mg,3mg,287mg,,,20 mini sliders,,,,
23,6594423,Pulled BBQ Chicken Sliders,25 mins, 3 hrs, 3 hrs 25 mins,8 ,8,396,13g,2g,37mg,746mg,340g,1g,13g,16g,17mg,34mg,1mg,266mg,4.4,13,8 servings,,,,
24,6572828,Spicy Teriyaki Spam® and Pineapple on a Hawaiian Roll,10 mins,6 mins,16 mins,9 ,9,402,10g,8g,66mg,941mg,47g,2g,3g,19g,3mg,6mg,1mg,89mg,5.0,1,9 sandwiches,,,,
25,6591956,Beef Sliders,15 mins,10 mins, 1 hr 25 mins,3 ,3,829,51g,17g,128mg,2179mg,51g,4g,4g,40g,5mg,301mg,6mg,562mg,5.0,1,6 sliders,,, 1 hr,
26,6572998,Hawaiian Roast Beef Sliders,20 mins,15 mins,35 mins,12 ,12,371,7g,6g,60mg,1007mg,44g,2g,1g,22g,1mg,58mg,1mg,128mg,,,12 sliders,,,,
27,6578933,Buffalo Chicken Sliders,25 mins,20 mins,45 mins,12 ,12,255,12g,5g,50mg,876mg,18g,1g,2g,19g,1mg,179mg,2mg,229mg,4.2,52,12 servings,,,,
28,6585443,Juicy Gourmet Burger Sliders,20 mins,20 mins,45 mins,4 ,4,632,29g,9g,85mg,992mg,53g,3g,3g,37g,4mg,178mg,8mg,570mg,5.0,5,10 sliders,,,5 mins,
29,6605903,Banh Mi Sliders,15 mins,10 mins,25 mins,5 ,5,539,20g,5g,95mg,462mg,570g,1g,1g,26g,2mg,37mg,2mg,280mg,5.0,1,10 sliders,,,,
30,6566122,Ground Turkey Sliders,20 mins,10 mins,35 mins,6 ,6,499,31g,6g,65mg,690mg,34g,2g,5g,22g,2mg,124mg,3mg,260mg,,,12 sliders,,,5 mins,
31,6591172,Buffalo Tempeh Sliders,30 mins,12 mins,52 mins,18 ,18,288,9g,3g,7mg,1257mg,38g,1g,1g,15g,8mg,129mg,2mg,276mg,4.5,2,18 sliders,,,10 mins,
32,6582024,Bar Chicks - Blackened Chicken Sliders,30 mins,30 mins, 9 hrs,4 ,4,1046,54g,16g,124mg,3532mg,74g,4g,13g,45g,7mg,419mg,7mg,668mg,4.6,14,4 servings,,, 8 hrs,
33,6567439,Honey-Chipotle Chicken Sliders,15 mins,15 mins,30 mins,8 ,8,525,15g,3g,95mg,1184mg,77g,2g,27g,24g,2mg,56mg,4mg,220mg,,,8 servings,,,,
34,6741600,Asian Turkey Sliders,20 mins,20 mins,40 mins,8 ,8,747,11g,10g,145mg,969mg,101g,4g,2g,43g,1mg,22mg,1mg,159mg,4.8,5,16 sliders,,,,
35,6589653,Pork Burger Sliders with Peach-Tarragon Aioli,15 mins,10 mins,25 mins,4 ,4,296,18g,4g,41mg,517mg,165g,0g,2g,13g,4mg,17mg,1mg,175mg,,,4 mini burgers,,,,
36,6603014,Spicy Roast Beef Sliders,15 mins,15 mins,30 mins,12 ,12,386,7g,8g,67mg,720mg,46g,2g,1g,24g,1mg,150mg,1mg,124mg,,,12 sliders,,,,
37,6576387,Mock Sliders,15 mins,1 mins,16 mins,24 ,24,62,4g,2g,16mg,489mg,2g,0g,0g,4g,1mg,17mg,0mg,54mg,3.2,5,24 miniature burgers,,,,
38,6649980,Deconstructed Big Mac,15 mins,10 mins,25 mins,3 ,3,481,31g,13g,83mg,529mg,29g,11g,,24g,,,,1398mg,,,,,,,
39,6649365,Marinara-Parmesan Meatball Sliders,15 mins,25 mins, 1 hr 40 mins,9 ,9,449,19g,6g,67mg,766mg,331g,3g,,20g,,,,428mg,,,9 meatball sliders,,,, 1 hr
40,6649053,Southwestern Breakfast Sliders,10 mins,2 mins,12 mins,6 ,6,135,10g,5g,142mg,368mg,3g,0g,,9g,,,,150mg,,,6 sliders,,,,
41,6648787,Breakfast Sliders with Corned Beef and Eggs,5 mins,5 mins,10 mins,4 ,4,187,10g,3g,150mg,154mg,159g,0g,,10g,,,,84mg,4.5,2,4 breakfast sliders,,,,
42,6580586,Buffalo Chicken Wing Sliders,15 mins,10 mins,25 mins,12 ,12,173,4g,1g,37mg,230mg,166g,0g,1g,12g,,23mg,1mg,93mg,2.3,3,12 sliders,,,,
43,6583697,Taco Shredded Beef Sliders,20 mins, 6 hrs 10 mins, 6 hrs 30 mins,48 ,48,194,8g,3g,20mg,120mg,235g,1g,0g,8g,1mg,36mg,1mg,90mg,,,48 beef sliders,,,,
